Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1999-07-19,17.33,17.33,17.33,17.33,,,0.0,0.0,,,
1999-07-20,17.0,17.0,17.0,17.0,,,0.0,0.0,,,
1999-07-21,16.9,16.9,16.9,16.9,,,0.0,0.0,,,
1999-07-22,17.08,17.08,17.08,17.08,,,0.0,0.0,,,
1999-07-23,17.48,17.48,17.48,17.48,,,0.0,0.0,,,
1999-07-26,17.41,17.41,17.41,17.41,,,0.0,0.0,,,
1999-07-27,17.27,17.27,17.27,17.27,,,0.0,0.0,,,
1999-07-28,17.44,17.44,17.44,17.44,,,0.0,0.0,,,
1999-07-29,17.64,17.64,17.64,17.64,,,0.0,0.0,,,
1999-07-30,17.28,17.28,17.28,17.28,,,0.0,0.0,,,
1999-08-02,17.42,17.42,17.42,17.42,,,0.0,0.0,,,
1999-08-03,17.41,17.41,17.41,17.41,,,0.0,0.0,,,
1999-08-04,17.65,17.65,17.65,17.65,,,0.0,0.0,,,
1999-08-05,17.61,17.61,17.61,17.61,,,0.0,0.0,,,
1999-08-06,17.61,17.61,17.61,17.61,,,0.0,0.0,,,
1999-08-09,17.85,17.85,17.85,17.85,,,0.0,0.0,,,
1999-08-10,17.82,17.82,17.76,17.76,,,2.0,0.0,,,
1999-08-11,17.85,17.85,17.85,17.85,,,0.0,0.0,,,
1999-08-12,17.71,17.71,17.71,17.71,,,0.0,0.0,,,
1999-08-13,17.77,17.77,17.77,17.77,,,0.0,0.0,,,
1999-08-16,17.77,17.77,17.77,17.77,,,0.0,0.0,,,
1999-08-17,18.02,18.02,18.02,18.02,,,0.0,0.0,,,
1999-08-18,17.86,17.86,17.86,17.86,,,0.0,0.0,,,
1999-08-19,17.96,17.96,17.96,17.96,,,0.0,0.0,,,
1999-08-20,18.05,18.05,17.95,17.95,,,1.0,1.0,,,
1999-08-23,17.92,17.93,17.92,17.93,,,102.0,102.0,,,
1999-08-24,17.72,17.72,17.72,17.72,,,0.0,102.0,,,
1999-08-25,17.3,17.3,17.3,17.3,,,0.0,102.0,,,
1999-08-26,17.42,17.65,17.37,17.65,,,600.0,600.0,,,
1999-08-27,17.77,17.77,17.77,17.77,,,0.0,600.0,,,
1999-08-31,18.0,18.02,18.0,18.02,,,250.0,600.0,,,
1999-09-01,17.94,18.0,17.81,17.81,,,250.0,602.0,,,
1999-09-02,17.61,17.63,17.61,17.63,,,20.0,622.0,,,
