Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-02-24,63.54,63.54,63.54,63.54,,,0.0,0.0,0.0,0.0,0.0
2006-02-27,62.69,62.69,62.69,62.69,-0.85,,0.0,0.0,0.0,0.0,0.0
2006-02-28,63.49,63.49,63.49,63.49,0.8,,0.0,0.0,0.0,0.0,0.0
2006-03-01,63.91,63.91,63.91,63.91,0.42,,0.0,0.0,0.0,0.0,0.0
2006-03-02,64.89,64.89,64.89,64.89,0.98,,0.0,0.0,0.0,0.0,0.0
2006-03-03,64.94,64.94,64.94,64.94,0.05,,0.0,0.0,0.0,0.0,0.0
2006-03-06,63.33,63.33,63.33,63.33,-1.61,,0.0,0.0,0.0,0.0,0.0
2006-03-07,62.06,62.06,62.06,62.06,-1.27,,0.0,0.0,0.0,0.0,0.0
2006-03-08,61.17,61.17,61.17,61.17,-0.89,,0.0,0.0,0.0,0.0,0.0
2006-03-09,61.91,61.91,61.91,61.91,0.74,,0.0,0.0,0.0,0.0,0.0
2006-03-10,61.34,61.34,61.34,61.34,-0.57,,0.0,0.0,0.0,0.0,0.0
2006-03-13,62.69,62.69,62.69,62.69,1.35,,0.0,0.0,0.0,0.0,0.0
2006-03-14,64.01,64.01,64.01,64.01,1.32,,0.0,0.0,0.0,0.0,0.0
2006-03-15,62.48,62.48,62.48,62.48,-1.53,,0.0,0.0,0.0,0.0,0.0
2006-03-16,63.6,63.6,63.6,63.6,1.12,,0.0,0.0,0.0,0.0,0.0
2006-03-17,62.65,62.65,62.65,62.65,-0.95,,0.0,0.0,0.0,0.0,0.0
2006-03-20,61.11,61.11,61.11,61.11,-1.54,,0.0,0.0,0.0,0.0,0.0
2006-03-21,61.96,61.96,61.96,61.96,0.85,,0.0,0.0,0.0,0.0,0.0
2006-03-22,61.27,61.27,61.27,61.27,-0.69,,0.0,0.0,0.0,0.0,0.0
2006-03-23,62.45,62.45,62.45,62.45,1.18,,0.0,0.0,0.0,0.0,0.0
2006-03-24,62.16,62.16,62.16,62.16,-0.29,,0.0,0.0,0.0,0.0,0.0
2006-03-27,62.24,62.24,62.24,62.24,0.08,,0.0,0.0,0.0,0.0,0.0
2006-03-28,62.98,62.98,62.98,62.98,0.74,,0.0,0.0,0.0,0.0,0.0
2006-03-29,63.25,63.25,63.25,63.25,0.27,,0.0,0.0,0.0,0.0,0.0
2006-03-30,63.96,63.96,63.96,63.96,0.71,,0.0,0.0,0.0,0.0,0.0
2006-03-31,63.48,63.48,63.48,63.48,-0.48,,0.0,0.0,0.0,0.0,0.0
2006-04-03,63.86,63.86,63.86,63.86,0.38,,0.0,0.0,0.0,0.0,0.0
2006-04-04,63.73,63.73,63.73,63.73,-0.13,,0.0,0.0,0.0,0.0,0.0
