Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2003-08-15,23.63,23.63,23.63,23.63,,,0.0,0.0,,,
2003-08-18,23.46,23.46,23.46,23.46,,,0.0,0.0,,,
2003-08-19,23.63,23.63,23.63,23.63,,,0.0,0.0,,,
2003-08-20,23.62,23.62,23.62,23.62,,,0.0,0.0,,,
2003-08-21,23.61,23.61,23.61,23.61,,,0.0,0.0,,,
2003-08-22,23.57,23.57,23.57,23.57,,,0.0,0.0,,,
2003-08-26,23.6,23.6,23.6,23.6,,,0.0,0.0,,,
2003-08-27,23.46,23.46,23.46,23.46,,,0.0,0.0,,,
2003-08-28,23.71,23.71,23.71,23.71,,,0.0,0.0,,,
2003-08-29,23.58,23.58,23.58,23.58,,,0.0,0.0,,,
2003-09-01,23.58,23.58,23.58,23.58,,,0.0,0.0,,,
2003-09-02,23.16,23.16,23.16,23.16,,,0.0,0.0,,,
2003-09-03,23.51,23.51,23.51,23.51,,,0.0,0.0,,,
2003-09-04,23.57,23.57,23.57,23.57,,,0.0,0.0,,,
2003-09-05,23.52,23.52,23.52,23.52,,,0.0,0.0,,,
2003-09-08,23.64,23.64,23.64,23.64,,,0.0,0.0,0.0,0.0,0.0
2003-09-09,23.83,23.83,23.83,23.83,0.19,,0.0,0.0,0.0,0.0,0.0
2003-09-10,23.83,23.83,23.83,23.83,0.0,,0.0,0.0,0.0,0.0,0.0
2003-09-11,23.61,23.61,23.61,23.61,-0.22,,0.0,0.0,0.0,0.0,0.0
2003-09-12,23.57,23.57,23.57,23.57,-0.04,,0.0,0.0,0.0,0.0,0.0
2003-09-15,23.72,23.72,23.72,23.72,0.15,,0.0,0.0,0.0,0.0,0.0
2003-09-16,23.59,23.59,23.59,23.59,-0.13,,0.0,0.0,0.0,0.0,0.0
2003-09-17,23.62,23.62,23.62,23.62,0.03,,0.0,0.0,0.0,0.0,0.0
2003-09-18,23.69,23.69,23.69,23.69,0.07,,0.0,0.0,0.0,0.0,0.0
2003-09-19,23.66,23.66,23.66,23.66,-0.03,,0.0,0.0,0.0,0.0,0.0
2003-09-22,23.89,23.89,23.89,23.89,0.23,,0.0,0.0,0.0,0.0,0.0
2003-09-23,23.45,23.45,23.45,23.45,-0.44,,0.0,0.0,0.0,0.0,0.0
2003-09-24,23.71,23.71,23.71,23.71,0.26,,0.0,0.0,0.0,0.0,0.0
2003-09-25,23.69,23.69,23.69,23.69,-0.02,,0.0,0.0,0.0,0.0,0.0
2003-09-26,23.71,23.71,23.71,23.71,0.02,,0.0,0.0,0.0,0.0,0.0
2003-09-29,23.69,23.69,23.69,23.69,-0.02,,0.0,0.0,0.0,0.0,0.0
2003-09-30,23.91,23.91,23.91,23.91,0.22,,0.0,0.0,0.0,0.0,0.0
2003-10-01,23.98,23.98,23.98,23.98,0.07,,0.0,0.0,0.0,0.0,0.0
2003-10-02,23.9,23.9,23.9,23.9,-0.08,,0.0,0.0,0.0,0.0,0.0
2003-10-03,24.03,24.03,24.03,24.03,0.13,,0.0,0.0,0.0,0.0,0.0
2003-10-06,23.96,23.96,23.96,23.96,-0.07,,0.0,0.0,0.0,0.0,0.0
2003-10-07,24.24,24.24,24.24,24.24,0.28,,0.0,0.0,0.0,0.0,0.0
