Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2013-06-17,89.78,89.78,89.78,89.78,-0.67,,,0.0,,,
2013-06-18,89.64,89.64,89.64,89.64,-0.14,,,0.0,,,
2013-06-19,89.42,89.42,89.42,89.42,-0.22,,,0.0,,,
2013-06-20,87.18,87.18,87.18,87.18,-2.24,,,0.0,,,
2013-06-21,86.53,86.53,86.53,86.53,-0.65,,,0.0,,,
2013-06-24,87.46,87.46,87.46,87.46,0.93,,,0.0,,,
2013-06-25,87.84,87.84,87.84,87.84,0.38,,,0.0,,,
2013-06-26,88.03,88.03,88.03,88.03,0.19,,,0.0,,,
2013-06-27,87.89,87.89,87.89,87.89,-0.14,,,0.0,,,
2013-06-28,87.23,87.23,87.23,87.23,-0.66,,,0.0,,,
2013-07-01,86.47,86.47,86.47,86.47,-0.76,,,0.0,,,
2013-07-02,87.2,87.2,87.2,87.2,0.73,,,0.0,,,
2013-07-03,87.08,87.08,87.08,87.08,-0.12,,,0.0,,,
2013-07-04,87.12,87.12,87.12,87.12,0.04,,,0.0,,,
2013-07-05,86.8,86.8,86.8,86.8,-0.32,,,0.0,,,
2013-07-08,87.05,87.05,87.05,87.05,0.25,,,0.0,,,
2013-07-09,87.17,87.17,87.17,87.17,0.12,,,0.0,,,
2013-07-10,87.81,87.81,87.81,87.81,0.64,,,0.0,,,
2013-07-11,88.34,88.34,88.34,88.34,0.53,,,0.0,,,
2013-07-12,88.0,88.0,88.0,88.0,-0.34,,,0.0,,,
2013-07-15,87.62,87.62,87.62,87.62,-0.38,,,0.0,,,
2013-07-16,87.41,87.41,87.41,87.41,-0.21,,,0.0,,,
2013-07-17,87.33,87.33,87.33,87.33,-0.08,,,0.0,,,
2013-07-18,87.35,87.35,87.35,87.35,0.02,,,0.0,,,
2013-07-19,87.4,87.4,87.4,87.4,0.05,,,0.0,,,
2013-07-22,87.54,87.54,87.54,87.54,0.14,,,0.0,,,
2013-07-23,88.07,88.07,88.07,88.07,0.53,,,0.0,,,
2013-07-24,88.19,88.19,88.19,88.19,0.12,,,0.0,,,
2013-07-25,88.7,88.7,88.7,88.7,0.51,,,0.0,,,
2013-07-26,89.53,89.53,89.53,89.53,0.83,,,0.0,,,
2013-07-29,89.47,89.47,89.47,89.47,-0.06,,,0.0,,,
2013-07-30,89.49,89.49,89.49,89.49,0.02,,,0.0,,,
2013-07-31,89.34,89.34,89.34,89.34,-0.15,,,0.0,,,
2013-08-01,89.0,89.0,89.0,89.0,-0.34,,,0.0,,,
2013-08-02,89.05,89.05,89.05,89.05,0.05,,,0.0,,,
2013-08-05,89.36,89.36,89.36,89.36,0.31,,,0.0,,,
2013-08-06,89.21,89.21,89.21,89.21,-0.15,,,0.0,,,
2013-08-07,88.98,88.98,88.98,88.98,-0.23,,,0.0,,,
2013-08-08,89.56,89.56,89.56,89.56,0.58,,,0.0,,,
2013-08-09,89.44,89.44,89.44,89.44,-0.12,,,0.0,,,
2013-08-12,89.38,89.38,89.38,89.38,-0.06,,,0.0,,,
2013-08-13,89.44,89.44,89.44,89.44,0.06,,,0.0,,,
2013-08-14,89.6,89.6,89.6,89.6,0.16,,,0.0,,,
2013-08-15,89.52,89.52,89.52,89.52,-0.08,,,0.0,,,
2013-08-16,89.38,89.38,89.38,89.38,-0.14,,,0.0,,,
2013-08-19,89.08,89.08,89.08,89.08,-0.3,,,0.0,,,
2013-08-20,89.46,89.46,89.46,89.46,0.38,,,0.0,,,
2013-08-21,89.58,89.58,89.58,89.58,0.12,,,0.0,,,
2013-08-22,89.3,89.3,89.3,89.3,-0.28,,,0.0,,,
2013-08-23,88.83,88.83,88.83,88.83,-0.47,,,0.0,,,
2013-08-26,89.08,89.08,89.08,89.08,0.25,,,0.0,,,
2013-08-27,89.05,89.05,89.05,89.05,-0.03,,,0.0,,,
2013-08-28,88.78,88.78,88.78,88.78,-0.27,,,0.0,,,
2013-08-29,88.56,88.56,88.56,88.56,-0.22,,,0.0,,,
2013-08-30,89.12,89.12,89.12,89.12,0.56,,,0.0,,,
2013-09-02,89.64,89.64,89.64,89.64,0.52,,,0.0,,,
2013-09-03,89.17,89.17,89.17,89.17,-0.47,,,0.0,,,
2013-09-04,89.45,89.45,89.45,89.45,0.28,,,0.0,,,
2013-09-05,89.38,89.38,89.38,89.38,-0.07,,,0.0,,,
2013-09-06,89.29,89.29,89.29,89.29,-0.09,,,0.0,,,
2013-09-09,88.7,88.7,88.7,88.7,-0.59,,,0.0,,,
2013-09-10,88.82,88.82,88.82,88.82,0.12,,,0.0,,,
2013-09-11,88.8,88.8,88.8,88.8,-0.02,,,0.0,,,
2013-09-12,89.05,89.05,89.05,89.05,0.25,,,0.0,,,
2013-09-13,89.07,89.07,89.07,89.07,0.02,,,0.0,,,
2013-09-16,89.1,89.1,89.1,89.1,0.03,,,0.0,,,
2013-09-17,88.94,88.94,88.94,88.94,-0.16,,,0.0,,,
2013-09-18,88.94,88.94,88.94,88.94,0.0,,,0.0,,,
2013-09-19,88.96,88.96,88.96,88.96,0.02,,,0.0,,,
2013-09-20,89.05,89.05,89.05,89.05,0.09,,,0.0,,,
2013-09-23,89.13,89.13,89.13,89.13,0.08,,,0.0,,,
2013-09-24,89.31,89.31,89.31,89.31,0.18,,,0.0,,,
2013-09-25,89.09,89.09,89.09,89.09,-0.22,,,0.0,,,
2013-09-26,89.56,89.56,89.56,89.56,0.47,,,0.0,,,
2013-09-27,89.01,89.01,89.01,89.01,-0.55,,,0.0,,,
2013-09-30,89.14,89.14,89.14,89.14,0.13,,,0.0,,,
2013-10-01,89.38,89.38,89.38,89.38,0.24,,,0.0,,,
2013-10-02,89.4,89.4,89.4,89.4,0.02,,,0.0,,,
2013-10-03,89.08,89.08,89.08,89.08,-0.32,,,0.0,,,
2013-10-04,89.47,89.47,89.47,89.47,0.39,,,0.0,,,
2013-10-07,89.6,89.6,89.6,89.6,0.13,,,0.0,,,
2013-10-08,89.2,89.2,89.2,89.2,-0.4,,,0.0,,,
2013-10-09,89.29,89.29,89.29,89.29,0.09,,,0.0,,,
2013-10-10,89.17,89.17,89.17,89.17,-0.12,,,0.0,,,
2013-10-11,89.35,89.35,89.35,89.35,0.18,,,0.0,,,
2013-10-14,89.1,89.1,89.1,89.1,-0.25,,,0.0,,,
2013-10-15,89.1,89.1,89.1,89.1,0.0,,,0.0,,,
2013-10-16,88.43,88.43,88.43,88.43,-0.67,,,0.0,,,
2013-10-17,88.43,88.43,88.43,88.43,0.0,,,0.0,,,
2013-10-18,89.18,89.18,89.18,89.18,0.75,,,0.0,,,
2013-10-21,89.47,89.47,89.47,89.47,0.29,,,0.0,,,
2013-10-22,89.27,89.27,89.27,89.27,-0.2,,,0.0,,,
2013-10-23,88.71,88.71,88.71,88.71,-0.56,,,0.0,,,
2013-10-24,88.33,88.33,88.33,88.33,-0.38,,,0.0,,,
2013-10-25,88.63,88.63,88.63,88.63,0.3,,,0.0,,,
