Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1990-08-17,26.1,27.12,25.97,27.12,,,16834.0,54216.0,,,
1990-08-20,27.0,27.6,26.85,27.38,,,16210.0,55470.0,,,
1990-08-21,27.8,28.07,27.0,27.63,,,18565.0,57650.0,,,
1990-08-22,28.0,30.2,27.8,30.19,,,20984.0,62033.0,,,
1990-08-23,30.9,31.1,29.7,30.85,,,17869.0,59062.0,,,
1990-08-24,30.55,30.55,29.5,30.1,,,12000.0,59062.0,,,
1990-08-28,25.5,26.7,24.9,26.68,,,12000.0,62470.0,,,
1990-08-29,26.53,26.53,24.2,24.8,,,10537.0,59733.0,,,
1990-08-30,25.2,26.18,25.2,25.9,,,11590.0,59824.0,,,
1990-08-31,26.2,26.77,26.2,26.75,,,12901.0,59824.0,,,
1990-09-03,27.6,28.55,27.6,28.54,,,7412.0,59384.0,,,
1990-09-04,28.8,29.2,27.8,29.2,,,14740.0,61418.0,,,
1990-09-05,30.0,30.0,28.98,29.89,,,13745.0,58024.0,,,
1990-09-06,30.1,31.0,30.0,30.8,,,13826.0,60081.0,,,
1990-09-07,30.6,30.65,29.5,30.25,,,7191.0,46772.0,,,
1990-09-10,29.5,31.1,28.35,30.9,,,8357.0,45587.0,,,
1990-09-11,29.5,31.14,29.5,30.63,,,8450.0,41913.0,,,
1990-09-12,30.05,30.9,30.05,30.63,,,7245.0,33777.0,,,
1990-09-13,30.85,31.5,30.84,31.2,,,6200.0,33777.0,,,
