Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2010-11-16,90.13,90.13,90.13,90.13,90.13,,,0.0,,,
2010-11-17,88.44,88.44,88.44,88.44,-1.69,,,0.0,,,
2010-11-18,89.71,89.71,89.71,89.71,1.27,,,0.0,,,
2010-11-19,88.91,88.91,88.91,88.91,-0.8,,,0.0,,,
2010-11-22,88.65,88.65,88.65,88.65,-0.26,,,0.0,,,
2010-11-23,88.23,88.23,88.23,88.23,-0.42,,,0.0,,,
2010-11-24,90.38,90.38,90.38,90.38,2.15,,,0.0,,,
2010-11-25,90.77,90.77,90.77,90.77,0.39,,,0.0,,,
2010-11-26,90.25,90.25,90.25,90.25,-0.52,,,0.0,,,
2010-11-29,91.77,91.77,91.77,91.77,1.52,,,0.0,,,
2010-11-30,89.96,89.96,89.96,89.96,-1.81,,,0.0,,,
2010-12-01,91.8,91.8,91.8,91.8,1.84,,,0.0,,,
2010-12-02,91.58,91.58,91.58,91.58,-0.22,,,0.0,,,
2010-12-03,89.72,89.72,89.72,89.72,-1.86,,,0.0,,,
2010-12-06,88.65,88.65,88.65,88.65,-1.07,,,0.0,,,
2010-12-07,90.69,90.69,90.69,90.69,2.04,,,0.0,,,
2010-12-08,91.86,91.86,91.86,91.86,1.17,,,0.0,,,
2010-12-09,91.83,91.83,91.83,91.83,-0.03,,,0.0,,,
2010-12-10,91.29,91.29,91.29,91.29,-0.54,,,0.0,,,
2010-12-13,91.71,91.71,91.71,91.71,0.42,,,0.0,,,
2010-12-14,92.2,92.2,92.2,92.2,0.49,,,0.0,,,
2010-12-15,92.84,92.84,92.84,92.84,0.64,,,0.0,,,
2010-12-16,92.5,92.5,92.5,92.5,-0.34,,,0.0,,,
2010-12-17,92.56,92.56,92.56,92.56,0.06,,,0.0,,,
2010-12-20,93.39,93.39,93.39,93.39,0.83,,,0.0,,,
