Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1996-11-15,19.45,19.45,19.45,19.45,,,500.0,500.0,,,
1996-11-18,19.3,19.3,19.1,19.1,,,15.0,515.0,,,
1996-11-19,19.52,19.52,19.52,19.52,,,0.0,515.0,,,
1996-11-20,18.58,18.58,18.58,18.58,,,500.0,1015.0,,,
1996-11-21,19.06,19.06,19.06,19.06,,,0.0,1015.0,,,
1996-11-22,19.15,19.15,19.0,19.0,,,100.0,1115.0,,,
1996-11-25,18.72,18.72,18.72,18.72,,,0.0,1115.0,,,
1996-11-26,18.76,18.76,18.76,18.76,,,0.0,1115.0,,,
1996-11-27,18.81,18.81,18.79,18.79,,,125.0,1240.0,,,
1996-11-28,18.61,18.61,18.61,18.61,,,0.0,1240.0,,,
1996-11-29,18.71,18.71,18.71,18.71,,,0.0,1240.0,,,
1996-12-02,18.65,19.38,18.65,19.38,,,175.0,1315.0,,,
1996-12-03,19.22,19.24,19.22,19.24,,,175.0,1490.0,,,
1996-12-04,19.2,19.2,19.2,19.2,,,0.0,1415.0,,,
1996-12-05,19.3,19.56,19.26,19.56,,,300.0,1615.0,,,
1996-12-06,19.42,19.58,19.42,19.58,,,100.0,1615.0,,,
1996-12-09,19.3,19.35,19.15,19.35,,,810.0,2110.0,,,
1996-12-10,19.25,19.25,18.81,18.81,,,656.0,2302.0,,,
1996-12-11,17.97,17.97,17.97,17.97,,,0.0,2252.0,,,
1996-12-12,18.2,18.37,18.2,18.37,,,25.0,2252.0,,,
1996-12-13,18.52,18.99,18.52,18.99,,,584.0,2586.0,,,
1996-12-16,19.55,19.55,19.55,19.55,,,0.0,2586.0,,,
1996-12-17,19.32,19.32,19.15,19.2,,,700.0,3096.0,,,
1996-12-18,19.46,19.46,19.46,19.46,,,0.0,3096.0,,,
1996-12-19,19.2,19.24,19.2,19.24,,,176.0,3272.0,,,
1996-12-20,19.22,19.22,19.11,19.11,,,240.0,3302.0,,,
1996-12-23,18.97,18.97,18.97,18.97,,,500.0,3781.0,,,
1996-12-24,19.27,19.27,19.27,19.27,,,0.0,3781.0,,,
1996-12-27,19.14,19.14,19.14,19.14,,,0.0,3781.0,,,
1996-12-30,19.06,19.06,19.06,19.06,,,0.0,3781.0,,,
1996-12-31,19.1,19.1,19.1,19.1,,,0.0,3781.0,,,
1997-01-02,19.38,19.38,19.21,19.21,,,250.0,4031.0,,,
1997-01-03,19.21,19.43,19.21,19.43,,,250.0,3281.0,,,
