Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2005-02-07,37.2,37.2,37.2,37.2,,,0.0,0.0,0.0,0.0,0.0
2005-02-08,37.41,37.41,37.41,37.41,0.21,,0.0,0.0,0.0,0.0,0.0
2005-02-09,37.26,37.26,37.26,37.26,-0.15,,0.0,0.0,0.0,0.0,0.0
2005-02-10,37.81,37.81,37.81,37.81,0.55,,0.0,0.0,0.0,0.0,0.0
2005-02-11,37.11,37.11,37.11,37.11,-0.7,,0.0,0.0,0.0,0.0,0.0
2005-02-14,37.2,37.2,37.2,37.2,0.09,,0.0,0.0,0.0,0.0,0.0
2005-02-15,37.15,37.15,37.15,37.15,-0.05,,0.0,0.0,0.0,0.0,0.0
2005-02-16,37.22,37.22,37.22,37.22,0.07,,0.0,0.0,0.0,0.0,0.0
2005-02-17,37.53,37.53,37.53,37.53,0.31,,0.0,0.0,0.0,0.0,0.0
2005-02-18,37.94,37.94,37.94,37.94,0.41,,0.0,0.0,0.0,0.0,0.0
2005-02-21,38.22,38.22,38.22,38.22,0.28,,0.0,0.0,0.0,0.0,0.0
2005-02-22,38.7,38.7,38.7,38.7,0.48,,0.0,0.0,0.0,0.0,0.0
2005-02-23,38.38,38.38,38.38,38.38,-0.32,,0.0,0.0,0.0,0.0,0.0
2005-02-24,38.85,38.85,38.85,38.85,0.47,,0.0,0.0,0.0,0.0,0.0
2005-02-25,38.81,38.81,38.81,38.81,-0.04,,0.0,0.0,0.0,0.0,0.0
2005-02-28,39.16,39.16,39.16,39.16,0.35,,0.0,0.0,0.0,0.0,0.0
2005-03-01,39.51,39.51,39.51,39.51,0.35,,0.0,0.0,0.0,0.0,0.0
2005-03-02,40.19,40.19,40.19,40.19,0.68,,0.0,0.0,0.0,0.0,0.0
2005-03-03,40.93,40.93,40.93,40.93,0.74,,0.0,0.0,0.0,0.0,0.0
2005-03-04,40.74,40.74,40.74,40.74,-0.19,,0.0,0.0,0.0,0.0,0.0
2005-03-07,41.8,41.8,41.8,41.8,1.06,,0.0,0.0,0.0,0.0,0.0
2005-03-08,42.02,42.02,42.02,42.02,0.22,,0.0,0.0,0.0,0.0,0.0
2005-03-09,41.85,41.85,41.85,41.85,-0.17,,0.0,0.0,0.0,0.0,0.0
2005-03-10,42.31,42.31,42.31,42.31,0.46,,0.0,0.0,0.0,0.0,0.0
2005-03-11,42.77,42.77,42.77,42.77,0.46,,0.0,0.0,0.0,0.0,0.0
2005-03-14,43.91,43.91,43.91,43.91,1.14,,0.0,0.0,0.0,0.0,0.0
2005-03-15,44.71,44.71,44.71,44.71,0.8,,0.0,0.0,0.0,0.0,0.0
2005-03-16,46.59,46.59,46.59,46.59,1.88,,0.0,0.0,0.0,0.0,0.0
2005-03-17,46.97,46.97,46.97,46.97,0.38,,0.0,0.0,0.0,0.0,0.0
2005-03-18,46.9,46.9,46.9,46.9,-0.07,,0.0,0.0,0.0,0.0,0.0
2005-03-21,47.45,47.45,47.45,47.45,0.55,,0.0,0.0,0.0,0.0,0.0
2005-03-22,48.24,48.24,48.24,48.24,0.79,,0.0,0.0,0.0,0.0,0.0
2005-03-23,47.88,47.88,47.88,47.88,-0.36,,0.0,0.0,0.0,0.0,0.0
2005-03-24,47.54,47.54,47.54,47.54,-0.34,,0.0,0.0,0.0,0.0,0.0
2005-03-29,45.12,45.12,45.12,45.12,-2.42,,0.0,0.0,0.0,0.0,0.0
2005-03-30,45.71,45.71,45.71,45.71,0.59,,0.0,0.0,0.0,0.0,0.0
2005-03-31,47.24,47.24,47.24,47.24,1.53,,0.0,0.0,0.0,0.0,0.0
2005-04-01,48.74,48.74,48.74,48.74,1.5,,0.0,0.0,0.0,0.0,0.0
2005-04-04,48.34,48.34,48.34,48.34,-0.4,,0.0,0.0,0.0,0.0,0.0
2005-04-05,47.66,47.66,47.66,47.66,-0.68,,0.0,0.0,0.0,0.0,0.0
2005-04-06,47.48,47.48,47.48,47.48,-0.18,,0.0,0.0,0.0,0.0,0.0
2005-04-07,46.93,46.93,46.93,46.93,-0.55,,0.0,0.0,0.0,0.0,0.0
2005-04-08,46.52,46.52,46.52,46.52,-0.41,,0.0,0.0,0.0,0.0,0.0
2005-04-11,47.3,47.3,47.3,47.3,0.78,,0.0,0.0,0.0,0.0,0.0
2005-04-12,45.59,45.59,45.59,45.59,-1.71,,0.0,0.0,0.0,0.0,0.0
2005-04-13,45.2,45.2,45.2,45.2,-0.39,,0.0,0.0,0.0,0.0,0.0
2005-04-14,45.12,45.12,45.12,45.12,-0.08,,0.0,0.0,0.0,0.0,0.0
2005-04-15,44.81,44.81,44.81,44.81,-0.31,,0.0,0.0,0.0,0.0,0.0
2005-04-18,44.22,44.22,44.22,44.22,-0.59,,0.0,0.0,0.0,0.0,0.0
