Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1993-03-12,182.0,182.0,182.0,182.0,,,200.0,200.0,,,
1993-03-15,182.25,182.25,182.25,182.25,,,0.0,200.0,,,
1993-03-16,182.25,182.25,182.25,182.25,,,0.0,200.0,,,
1993-03-17,182.25,182.25,181.75,181.75,,,100.0,250.0,,,
1993-03-18,182.5,182.75,182.5,182.75,,,100.0,300.0,,,
1993-03-19,183.5,183.5,182.75,182.75,,,109.0,409.0,,,
1993-03-22,181.0,181.0,181.0,181.0,,,0.0,409.0,,,
1993-03-23,179.75,179.75,179.75,179.75,,,0.0,409.0,,,
1993-03-24,182.25,182.25,181.75,181.75,,,100.0,509.0,,,
1993-03-25,182.0,182.0,181.25,181.5,,,200.0,709.0,,,
1993-03-26,182.25,182.25,182.0,182.0,,,125.0,834.0,,,
1993-03-29,183.5,183.5,183.5,183.5,,,25.0,834.0,,,
1993-03-30,183.0,183.0,182.5,182.75,,,65.0,899.0,,,
1993-03-31,183.5,183.5,183.5,183.5,,,0.0,899.0,,,
1993-04-01,184.5,184.5,184.5,184.5,,,0.0,899.0,,,
1993-04-02,184.5,184.5,184.0,184.0,,,100.0,999.0,,,
1993-04-05,184.75,184.75,184.75,184.75,,,0.0,999.0,,,
1993-04-06,183.25,183.5,183.25,183.5,,,100.0,999.0,,,
1993-04-07,184.75,184.75,184.75,184.75,,,0.0,999.0,,,
1993-04-08,182.75,182.75,182.75,182.75,,,0.0,999.0,,,
1993-04-13,183.0,183.0,183.0,183.0,,,0.0,100.0,,,
1993-04-14,182.25,182.25,182.25,182.25,,,0.0,100.0,,,
1993-04-15,182.25,182.25,182.25,182.25,,,0.0,100.0,,,
1993-04-16,181.75,181.75,181.75,181.75,,,0.0,100.0,,,
1993-04-19,180.75,180.75,180.75,180.75,,,0.0,100.0,,,
1993-04-20,181.25,181.25,181.25,181.25,,,0.0,100.0,,,
1993-04-21,181.5,181.5,181.5,181.5,,,0.0,100.0,,,
1993-04-22,180.25,181.0,180.25,181.0,,,80.0,180.0,,,
1993-04-23,181.25,181.25,181.25,181.25,,,0.0,180.0,,,
1993-04-26,181.0,181.0,181.0,181.0,,,0.0,180.0,,,
1993-04-27,180.75,180.75,180.75,180.75,,,0.0,180.0,,,
1993-04-28,181.5,181.5,181.5,181.5,,,0.0,180.0,,,
1993-04-29,184.0,184.0,184.0,184.0,,,0.0,180.0,,,
1993-04-30,183.5,183.5,183.5,183.5,,,0.0,180.0,,,
1993-05-04,183.5,183.5,183.5,183.5,,,0.0,180.0,,,
1993-05-05,183.5,183.5,183.5,183.5,,,0.0,180.0,,,
1993-05-06,184.75,184.75,184.75,184.75,,,0.0,180.0,,,
1993-05-07,184.0,184.5,184.0,184.5,,,50.0,230.0,,,
1993-05-10,184.5,184.5,184.5,184.5,,,0.0,230.0,,,
1993-05-11,184.0,184.0,184.0,184.0,,,0.0,230.0,,,
1993-05-12,184.25,184.25,184.25,184.25,,,0.0,230.0,,,
1993-05-13,179.25,179.25,179.25,179.25,,,0.0,510.0,,,
1993-05-14,176.5,176.5,176.5,176.5,,,0.0,510.0,,,
1993-05-17,176.5,176.5,176.5,176.5,,,0.0,510.0,,,
1993-05-18,176.5,177.75,176.5,177.25,,,153.0,623.0,,,
1993-05-19,177.25,177.25,177.25,177.25,,,0.0,583.0,,,
1993-05-20,177.75,177.75,177.75,177.75,,,0.0,583.0,,,
1993-05-21,177.25,177.25,177.25,177.25,,,0.0,583.0,,,
1993-05-24,176.5,176.5,176.5,176.5,,,0.0,583.0,,,
1993-05-25,176.75,176.75,176.75,176.75,,,0.0,563.0,,,
1993-05-26,176.25,176.25,176.25,176.25,,,0.0,563.0,,,
1993-05-27,176.25,176.25,176.25,176.25,,,0.0,563.0,,,
1993-05-28,177.75,177.75,177.75,177.75,,,0.0,563.0,,,
1993-06-01,176.75,176.75,176.75,176.75,,,0.0,563.0,,,
1993-06-02,176.75,176.75,176.75,176.75,,,0.0,563.0,,,
1993-06-03,176.25,176.25,176.25,176.25,,,0.0,563.0,,,
1993-06-04,176.0,176.0,176.0,176.0,,,0.0,563.0,,,
1993-06-07,176.0,176.0,176.0,176.0,,,0.0,563.0,,,
1993-06-08,177.5,178.5,177.5,178.5,,,33.0,596.0,,,
1993-06-09,177.5,177.5,177.25,177.25,,,100.0,696.0,,,
