Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2005-01-13,,,,370.75,,,0.0,227.0,0.0,0.0,0.0
2005-01-14,,,,372.25,1.5,,0.0,300.0,0.0,0.0,0.0
2005-01-17,,,,376.25,4.0,,0.0,300.0,0.0,0.0,0.0
2005-01-18,,,,370.75,-5.5,,0.0,300.0,0.0,0.0,0.0
2005-01-19,,,,374.5,3.75,,0.0,300.0,0.0,0.0,0.0
2005-01-20,,,,371.5,-3.0,,0.0,300.0,0.0,0.0,0.0
2005-01-21,,,,384.0,12.5,,0.0,300.0,0.0,0.0,0.0
2005-01-24,,,,382.25,-1.75,,0.0,300.0,0.0,0.0,0.0
2005-01-25,,,,389.25,7.0,,0.0,300.0,0.0,0.0,0.0
2005-01-26,,,,389.5,0.25,,0.0,300.0,0.0,0.0,0.0
2005-01-27,,,,392.25,2.75,,0.0,300.0,0.0,0.0,0.0
2005-01-28,,,,375.25,-17.0,,0.0,550.0,0.0,0.0,0.0
2005-01-31,,,,379.25,4.0,,0.0,550.0,0.0,0.0,0.0
2005-02-01,,,,385.25,6.0,,0.0,650.0,0.0,0.0,0.0
2005-02-02,,,,379.5,-5.75,,0.0,650.0,0.0,0.0,0.0
2005-02-03,,,,377.0,-2.5,,0.0,650.0,0.0,0.0,0.0
2005-02-04,,,,378.0,1.0,,0.0,650.0,0.0,0.0,0.0
2005-02-07,,,,374.25,-3.75,,0.0,900.0,0.0,0.0,0.0
2005-02-08,,,,372.25,-2.0,,0.0,1100.0,0.0,0.0,0.0
2005-02-09,,,,379.25,7.0,,0.0,1100.0,0.0,0.0,0.0
2005-02-10,,,,382.25,3.0,,0.0,1100.0,0.0,0.0,0.0
2005-02-11,385.25,385.25,385.25,378.0,-4.25,,65.0,1165.0,0.0,0.0,0.0
2005-02-14,,,,377.0,-1.0,,0.0,1165.0,0.0,0.0,0.0
2005-02-15,,,,384.0,7.0,,0.0,1165.0,0.0,0.0,0.0
2005-02-16,,,,382.5,-1.5,,0.0,1165.0,0.0,0.0,0.0
2005-02-17,,,,389.25,6.75,,0.0,1165.0,0.0,0.0,0.0
2005-02-18,,,,390.25,1.0,,0.0,1165.0,0.0,0.0,0.0
2005-02-21,,,,400.5,10.25,,0.0,1215.0,0.0,0.0,0.0
2005-02-22,,,,411.75,11.25,,0.0,1215.0,0.0,0.0,0.0
2005-02-23,,,,412.25,0.5,,0.0,1215.0,0.0,0.0,0.0
2005-02-24,,,,417.25,5.0,,0.0,1315.0,0.0,0.0,0.0
2005-02-25,,,,418.5,1.25,,0.0,1315.0,0.0,0.0,0.0
2005-02-28,,,,420.25,1.75,,0.0,1365.0,0.0,0.0,0.0
2005-03-01,,,,425.0,4.75,,0.0,1365.0,0.0,0.0,0.0
2005-03-02,,,,430.5,5.5,,0.0,1740.0,0.0,0.0,0.0
2005-03-03,,,,447.25,16.75,,0.0,1740.0,0.0,0.0,0.0
2005-03-04,,,,437.75,-9.5,,0.0,1890.0,0.0,0.0,0.0
2005-03-07,,,,438.25,0.5,,0.0,1890.0,0.0,0.0,0.0
2005-03-08,,,,450.75,12.5,,0.0,1890.0,0.0,0.0,0.0
2005-03-09,,,,457.25,6.5,,0.0,1890.0,0.0,0.0,0.0
2005-03-10,,,,451.25,-6.0,,0.0,1890.0,0.0,0.0,0.0
2005-03-11,,,,451.25,0.0,,0.0,1890.0,0.0,0.0,0.0
2005-03-14,,,,451.75,0.5,,0.0,2340.0,0.0,0.0,0.0
2005-03-15,,,,461.0,9.25,,0.0,2340.0,0.0,0.0,0.0
2005-03-16,,,,474.5,13.5,,0.0,2340.0,0.0,0.0,0.0
2005-03-17,,,,479.5,5.0,,0.0,2340.0,0.0,0.0,0.0
2005-03-18,,,,477.25,-2.25,,0.0,2767.0,0.0,0.0,0.0
2005-03-21,,,,480.5,3.25,,0.0,2617.0,0.0,0.0,0.0
2005-03-22,480.5,480.5,480.5,484.5,4.0,,25.0,3725.0,0.0,0.0,0.0
2005-03-23,476.25,477.0,476.25,472.75,-11.75,,500.0,4150.0,0.0,0.0,0.0
2005-03-24,,,,473.75,1.0,,0.0,4150.0,0.0,0.0,0.0
2005-03-29,467.75,467.75,467.75,469.75,-4.0,,25.0,4175.0,0.0,0.0,0.0
2005-03-30,,,,470.5,0.75,,0.0,4175.0,0.0,0.0,0.0
2005-03-31,,,,497.25,26.75,,0.0,4005.0,0.0,0.0,0.0
2005-04-01,508.75,508.75,506.5,509.5,12.25,,125.0,4000.0,0.0,0.0,0.0
2005-04-04,519.75,519.75,519.75,525.25,15.75,,50.0,4090.0,0.0,0.0,0.0
2005-04-05,520.75,520.75,517.5,521.25,-4.0,,800.0,4425.0,0.0,0.0,600.0
2005-04-06,,,,516.25,-5.0,,0.0,4779.0,0.0,0.0,0.0
2005-04-07,,,,509.75,-6.5,,0.0,4579.0,0.0,0.0,0.0
