Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2016-12-13,,,,560.75,,,,,,,
2016-12-14,,,,562.75,2.0,,,0.0,,,
2016-12-15,,,,552.75,-10.0,,,0.0,,,
2016-12-16,,,,561.0,8.25,,,0.0,,,
2016-12-19,,,,556.5,-4.5,,,0.0,,,
2016-12-20,,,,561.5,5.0,,,0.0,,,
2016-12-21,,,,561.0,-0.5,,,0.0,,,
2016-12-22,,,,560.5,-0.5,,,0.0,,,
2016-12-23,,,,557.25,-3.25,,,0.0,,,
2016-12-27,,,,567.25,,,,0.0,,,
2016-12-28,,,,564.5,-2.75,,,0.0,,,
2016-12-29,,,,569.0,4.5,,,0.0,,,
2016-12-30,,,,568.25,-0.75,,,0.0,,,
2017-01-02,,,,568.25,0.0,,,0.0,,,
2017-01-03,,,,562.25,-6.0,,,0.0,,,
2017-01-04,,,,564.75,2.5,,,0.0,,,
2017-01-05,,,,563.75,-1.0,,,0.0,,,
2017-01-06,,,,569.25,5.5,,,0.0,,,
2017-01-09,,,,563.0,-6.25,,,0.0,,,
2017-01-10,,,,553.25,-9.75,,,0.0,,,
2017-01-11,,,,556.0,2.75,,,0.0,,,
2017-01-12,,,,557.5,1.5,,,0.0,,,
2017-01-13,,,,553.0,-4.5,,,0.0,,,
2017-01-16,,,,552.25,-0.75,,,0.0,,,
2017-01-17,,,,555.75,3.5,,,0.0,,,
2017-01-18,,,,553.75,-2.0,,,0.0,,,
2017-01-19,,,,550.5,-3.25,,,0.0,,,
2017-01-20,,,,558.75,8.25,,,0.0,,,
2017-01-23,,,,556.0,-2.75,,,0.0,,,
2017-01-24,,,,557.25,1.25,,,0.0,,,
2017-01-25,,,,556.75,-0.5,,,0.0,,,
2017-01-26,,,,557.5,0.75,,,0.0,,,
2017-01-27,,,,550.25,-7.25,,,0.0,,,
2017-01-30,,,,546.5,-3.75,,,0.0,,,
2017-01-31,,,,553.25,6.75,,,0.0,,,
2017-02-01,,,,555.75,2.5,,,0.0,,,
2017-02-02,,,,556.5,0.75,,,0.0,,,
2017-02-03,,,,554.25,-2.25,,,0.0,,,
2017-02-06,,,,554.0,-0.25,,,0.0,,,
2017-02-07,,,,546.75,-7.25,,,0.0,,,
2017-02-08,,,,549.75,3.0,,,0.0,,,
2017-02-09,,,,551.0,1.25,,,0.0,,,
2017-02-10,,,,554.5,3.5,,,0.0,,,
2017-02-13,,,,545.25,-9.25,,,0.0,,,
2017-02-14,,,,549.25,4.0,,,0.0,,,
2017-02-15,,,,545.0,-4.25,,,0.0,,,
2017-02-16,,,,543.0,-2.0,,,0.0,,,
2017-02-17,,,,542.25,-0.75,,,0.0,,,
2017-02-20,,,,546.25,4.0,,,0.0,,,
2017-02-21,,,,540.75,-5.5,,,0.0,,,
2017-02-22,,,,534.5,-6.25,,,0.0,,,
2017-02-23,,,,537.75,3.25,,,0.0,,,
2017-02-24,,,,536.25,-1.5,,,0.0,,,
2017-02-27,,,,539.0,2.75,,,0.0,,,
2017-02-28,,,,536.25,-2.75,,,0.0,,,
2017-03-01,,,,542.5,6.25,,,0.0,,,
2017-03-02,,,,535.5,-7.0,,,0.0,,,
2017-03-03,,,,537.0,1.5,,,0.0,,,
2017-03-06,,,,539.25,2.25,,,0.0,,,
2017-03-07,,,,540.0,0.75,,,0.0,,,
2017-03-08,,,,533.5,-6.5,,,0.0,,,
2017-03-09,,,,516.5,-17.0,,,0.0,,,
2017-03-10,,,,517.5,1.0,,,0.0,,,
2017-03-13,,,,518.0,0.5,,,0.0,,,
2017-03-14,,,,515.0,-3.0,,,0.0,,,
2017-03-15,,,,518.75,3.75,,,0.0,,,
2017-03-16,,,,518.75,0.0,,,0.0,,,
2017-03-17,,,,517.25,-1.5,,,0.0,,,
2017-03-20,,,,520.25,3.0,,,0.0,,,
2017-03-21,,,,517.0,-3.25,,,0.0,,,
2017-03-22,,,,516.75,-0.25,,,0.0,,,
2017-03-23,,,,516.75,0.0,,,0.0,,,
2017-03-24,,,,515.5,-1.25,,,0.0,,,
2017-03-27,,,,519.75,4.25,,,0.0,,,
2017-03-28,,,,522.75,3.0,,,0.0,,,
2017-03-29,,,,522.5,-0.25,,,0.0,,,
2017-03-30,,,,528.5,6.0,,,0.0,,,
2017-03-31,,,,529.5,1.0,,,0.0,,,
2017-04-03,,,,529.75,0.25,,,0.0,,,
2017-04-04,,,,535.75,6.0,,,0.0,,,
2017-04-05,,,,535.0,-0.75,,,0.0,,,
