Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2002-02-13,181.75,181.75,181.75,181.75,,,0.0,0.0,,,
2002-02-14,183.5,183.5,183.5,183.5,,,0.0,0.0,,,
2002-02-15,183.5,183.5,183.5,183.5,,,0.0,0.0,,,
2002-02-18,180.75,180.75,180.75,180.75,,,0.0,0.0,,,
2002-02-19,181.75,181.75,181.75,181.75,,,0.0,0.0,,,
2002-02-20,177.25,177.25,177.25,177.25,,,0.0,0.0,,,
2002-02-21,180.25,180.25,180.25,180.25,,,0.0,0.0,,,
2002-02-22,180.25,180.25,180.25,180.25,,,0.0,0.0,,,
2002-02-25,177.75,177.75,177.75,177.75,,,0.0,0.0,,,
2002-02-26,178.25,178.25,178.25,178.25,,,0.0,0.0,,,
2002-02-27,183.75,183.75,183.75,183.75,,,0.0,0.0,,,
2002-02-28,183.5,183.5,182.75,182.75,,,250.0,250.0,,,
2002-03-01,190.25,190.25,190.25,190.25,,,0.0,250.0,,,
2002-03-04,189.0,189.0,189.0,189.0,,,0.0,250.0,,,
2002-03-05,192.5,192.5,192.5,192.5,,,0.0,250.0,,,
2002-03-06,192.5,192.5,192.5,192.5,,,0.0,250.0,,,
2002-03-07,201.0,201.0,201.0,201.0,,,0.0,250.0,,,
2002-03-08,196.75,196.75,196.75,196.75,,,0.0,250.0,,,
2002-03-11,203.25,203.25,203.25,203.25,,,0.0,250.0,,,
2002-03-12,201.0,201.0,201.0,201.0,,,0.0,250.0,,,
2002-03-13,203.75,203.75,203.75,203.75,,,0.0,250.0,,,
2002-03-14,201.0,201.0,201.0,201.0,,,0.0,250.0,,,
2002-03-15,201.0,201.0,201.0,201.0,,,0.0,250.0,,,
2002-03-18,202.75,202.75,202.75,202.75,,,0.0,250.0,,,
2002-03-19,205.25,205.25,205.25,205.25,,,0.0,250.0,,,
2002-03-20,207.5,207.5,207.5,207.5,,,0.0,250.0,,,
2002-03-21,203.25,203.25,203.25,203.25,,,0.0,250.0,,,
2002-03-22,206.5,206.5,206.5,206.5,,,0.0,250.0,,,
2002-03-25,204.25,204.25,204.25,204.25,,,0.0,250.0,,,
2002-03-26,206.25,206.25,206.25,206.25,,,0.0,250.0,,,
2002-03-27,207.5,207.5,207.5,207.5,,,0.0,250.0,,,
2002-03-28,208.75,208.75,208.75,208.75,,,0.0,250.0,,,
2002-04-02,217.5,217.5,217.5,217.5,,,0.0,250.0,,,
2002-04-03,217.0,217.0,217.0,217.0,,,0.0,250.0,,,
2002-04-04,218.5,218.5,218.5,218.5,,,0.0,250.0,,,
2002-04-05,211.0,211.0,211.0,211.0,,,0.0,250.0,,,
2002-04-08,212.5,212.5,212.5,212.5,,,0.0,250.0,,,
2002-04-09,207.0,207.0,207.0,207.0,,,0.0,250.0,,,
2002-04-10,206.0,206.0,206.0,206.0,,,0.0,250.0,,,
2002-04-11,201.25,201.25,201.25,201.25,,,0.0,250.0,,,
2002-04-12,196.25,196.25,195.75,195.75,,,100.0,350.0,,,
2002-04-15,198.25,198.25,198.25,198.25,,,0.0,350.0,,,
