Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1999-09-13,165.5,165.5,165.5,165.5,,,0.0,0.0,,,
1999-09-14,167.5,167.5,167.5,167.5,,,0.0,0.0,,,
1999-09-15,163.5,164.5,161.0,164.5,,,20.0,20.0,,,
1999-09-16,160.25,160.25,160.25,160.25,,,0.0,20.0,,,
1999-09-17,161.25,161.25,161.25,161.25,,,0.0,20.0,,,
1999-09-20,160.5,160.5,160.5,160.5,,,0.0,20.0,,,
1999-09-21,162.0,162.0,162.0,162.0,,,0.0,20.0,,,
1999-09-22,160.25,160.25,160.25,160.25,,,0.0,20.0,,,
1999-09-23,162.75,162.75,162.75,162.75,,,0.0,20.0,,,
1999-09-24,163.25,163.25,163.25,163.25,,,0.0,20.0,,,
1999-09-27,165.5,165.5,165.5,165.5,,,0.0,20.0,,,
1999-09-28,164.5,164.5,164.5,164.5,,,0.0,20.0,,,
1999-09-29,165.25,165.25,165.25,165.25,,,0.0,20.0,,,
1999-09-30,163.5,163.5,163.5,163.5,,,0.0,20.0,,,
1999-10-01,169.5,169.5,169.5,169.5,,,0.0,20.0,,,
1999-10-04,167.25,167.25,167.25,167.25,,,0.0,20.0,,,
1999-10-05,165.5,165.5,165.5,165.5,,,0.0,20.0,,,
1999-10-06,167.25,167.25,167.25,167.25,,,0.0,20.0,,,
1999-10-07,164.0,164.0,164.0,164.0,,,0.0,20.0,,,
1999-10-08,158.25,158.25,158.25,158.25,,,0.0,20.0,,,
1999-10-11,158.0,158.0,158.0,158.0,,,0.0,20.0,,,
1999-10-12,164.0,164.0,164.0,164.0,,,0.0,20.0,,,
1999-10-13,167.0,167.0,166.5,166.5,,,50.0,70.0,,,
1999-10-14,167.75,167.75,167.75,167.75,,,0.0,70.0,,,
1999-10-15,164.75,164.75,164.75,164.75,,,0.0,70.0,,,
1999-10-18,166.25,166.25,166.25,166.25,,,0.0,70.0,,,
1999-10-19,167.25,167.25,167.25,167.25,,,0.0,70.0,,,
1999-10-20,165.25,165.25,165.25,165.25,,,0.0,70.0,,,
1999-10-21,168.0,168.0,168.0,168.0,,,0.0,70.0,,,
1999-10-22,169.75,169.75,169.75,169.75,,,0.0,70.0,,,
1999-10-25,171.25,171.25,171.25,171.25,,,0.0,70.0,,,
1999-10-26,171.75,171.75,171.75,171.75,,,0.0,70.0,,,
1999-10-27,170.0,170.0,170.0,170.0,,,0.0,70.0,,,
1999-10-28,166.25,166.25,166.25,166.25,,,0.0,70.0,,,
1999-10-29,164.0,164.0,164.0,164.0,,,0.0,70.0,,,
1999-11-01,166.0,166.0,166.0,166.0,,,0.0,70.0,,,
1999-11-02,167.0,167.0,167.0,167.0,,,0.0,70.0,,,
1999-11-03,166.25,166.25,166.25,166.25,,,0.0,70.0,,,
1999-11-04,165.0,165.0,165.0,165.0,,,0.0,70.0,,,
1999-11-05,166.0,166.0,166.0,166.0,,,0.0,70.0,,,
1999-11-08,163.75,163.75,163.75,163.75,,,0.0,70.0,,,
1999-11-09,165.75,165.75,165.75,165.75,,,0.0,70.0,,,
1999-11-10,170.5,170.5,170.5,170.5,,,0.0,70.0,,,
1999-11-11,165.75,165.75,165.75,165.75,,,0.0,70.0,,,
1999-11-12,165.75,165.75,165.75,165.75,,,1550.0,70.0,,,
1999-11-15,170.0,170.0,170.0,170.0,,,600.0,70.0,,,
1999-11-16,170.25,170.25,170.25,170.25,,,200.0,70.0,,,
1999-11-17,171.75,171.75,171.75,171.75,,,0.0,70.0,,,
1999-11-18,169.25,169.25,169.25,169.25,,,0.0,70.0,,,
1999-11-19,166.25,166.25,166.25,166.25,,,0.0,70.0,,,
1999-11-22,166.25,166.25,166.25,166.25,,,0.0,70.0,,,
1999-11-23,166.5,166.5,166.5,166.5,,,0.0,70.0,,,
1999-11-24,166.5,166.5,166.5,166.5,,,0.0,70.0,,,
1999-11-25,162.25,162.25,162.25,162.25,,,0.0,70.0,,,
1999-11-26,160.75,160.75,160.75,160.75,,,0.0,70.0,,,
1999-11-29,161.5,161.5,161.5,161.5,,,0.0,70.0,,,
1999-11-30,160.0,160.0,160.0,160.0,,,0.0,70.0,,,
1999-12-01,157.25,157.25,157.25,157.25,,,0.0,70.0,,,
1999-12-02,162.75,162.75,162.75,162.75,,,0.0,70.0,,,
1999-12-03,164.0,164.0,164.0,164.0,,,0.0,70.0,,,
1999-12-06,167.5,167.5,167.5,167.5,,,0.0,70.0,,,
1999-12-07,164.5,164.5,164.5,164.5,,,0.0,70.0,,,
1999-12-08,167.0,167.0,167.0,167.0,,,0.0,70.0,,,
1999-12-09,168.0,168.0,168.0,168.0,,,0.0,70.0,,,
1999-12-10,164.5,164.5,164.5,164.5,,,0.0,70.0,,,
1999-12-13,166.25,166.25,166.25,166.25,,,0.0,70.0,,,
1999-12-14,168.5,168.5,168.5,168.5,,,0.0,70.0,,,
1999-12-15,171.0,171.0,171.0,171.0,,,0.0,70.0,,,
1999-12-16,169.5,169.5,169.5,169.5,,,0.0,70.0,,,
1999-12-17,167.75,167.75,167.75,167.75,,,0.0,70.0,,,
1999-12-20,170.0,170.0,170.0,170.0,,,0.0,70.0,,,
1999-12-21,169.75,169.75,169.75,169.75,,,0.0,70.0,,,
1999-12-22,170.25,170.25,170.25,170.25,,,0.0,70.0,,,
1999-12-23,170.25,170.25,170.25,170.25,,,0.0,70.0,,,
1999-12-24,172.0,172.0,172.0,172.0,,,0.0,70.0,,,
1999-12-29,174.75,174.75,174.75,174.75,,,0.0,70.0,,,
1999-12-30,170.75,170.75,170.75,170.75,,,0.0,70.0,,,
2000-01-04,165.25,165.25,165.25,165.25,,,0.0,70.0,,,
2000-01-05,168.25,168.25,168.25,168.25,,,0.0,70.0,,,
2000-01-06,170.0,170.0,170.0,170.0,,,0.0,70.0,,,
2000-01-07,168.5,168.5,168.5,168.5,,,0.0,70.0,,,
2000-01-10,166.5,166.5,166.5,166.5,,,0.0,70.0,,,
2000-01-11,170.25,170.25,170.25,170.25,,,0.0,70.0,,,
2000-01-12,176.0,176.0,176.0,176.0,,,0.0,70.0,,,
2000-01-13,178.25,178.25,178.25,178.25,,,0.0,70.0,,,
2000-01-14,180.75,180.75,180.75,180.75,,,0.0,70.0,,,
2000-01-17,180.0,180.0,180.0,180.0,,,0.0,70.0,,,
2000-01-18,180.0,180.0,180.0,180.0,,,0.0,70.0,,,
2000-01-19,180.75,180.75,180.75,180.75,,,0.0,70.0,,,
2000-01-20,180.0,180.0,180.0,180.0,,,0.0,70.0,,,
2000-01-21,183.25,183.25,183.25,183.25,,,0.0,70.0,,,
2000-01-24,177.0,177.0,177.0,177.0,,,0.0,70.0,,,
2000-01-25,181.0,181.0,181.0,181.0,,,0.0,70.0,,,
2000-01-26,184.25,184.25,184.25,184.25,,,0.0,70.0,,,
2000-01-27,182.5,182.5,182.5,182.5,,,0.0,70.0,,,
2000-01-28,181.25,181.25,181.25,181.25,,,0.0,70.0,,,
2000-01-31,186.0,186.0,186.0,186.0,,,0.0,70.0,,,
2000-02-01,187.75,187.75,187.75,187.75,,,0.0,70.0,,,
2000-02-02,177.25,177.25,177.25,177.25,,,0.0,70.0,,,
2000-02-03,180.75,180.75,178.0,178.0,,,300.0,310.0,,,
2000-02-04,181.75,181.75,181.75,181.75,,,0.0,310.0,,,
2000-02-07,185.0,185.0,185.0,185.0,,,0.0,310.0,,,
2000-02-08,183.5,183.5,183.5,183.5,,,0.0,310.0,,,
2000-02-09,182.25,182.25,182.25,182.25,,,0.0,310.0,,,
2000-02-10,180.25,180.25,180.25,180.25,,,0.0,310.0,,,
2000-02-11,182.0,182.0,182.0,182.0,,,0.0,300.0,,,
2000-02-14,184.25,184.25,184.25,184.25,,,0.0,300.0,,,
2000-02-15,183.75,183.75,183.75,183.75,,,0.0,300.0,,,
2000-02-16,184.25,184.25,184.25,184.25,,,0.0,300.0,,,
2000-02-17,183.0,183.0,183.0,183.0,,,0.0,300.0,,,
2000-02-18,181.75,181.75,181.75,181.75,,,0.0,300.0,,,
2000-02-21,179.5,179.5,179.5,179.5,,,0.0,300.0,,,
2000-02-22,181.25,181.25,181.25,181.25,,,0.0,300.0,,,
2000-02-23,183.75,183.75,183.75,183.75,,,0.0,300.0,,,
2000-02-24,182.5,182.5,182.5,182.5,,,0.0,300.0,,,
2000-02-25,185.5,185.5,185.5,185.5,,,0.0,300.0,,,
2000-02-28,185.0,185.0,185.0,185.0,,,0.0,300.0,,,
2000-02-29,186.75,186.75,186.75,186.75,,,0.0,300.0,,,
2000-03-01,188.5,188.5,188.5,188.5,,,0.0,300.0,,,
2000-03-02,191.0,191.0,191.0,191.0,,,0.0,300.0,,,
2000-03-03,193.0,193.75,193.0,193.75,,,55.0,355.0,,,
2000-03-06,194.75,195.0,193.75,193.75,,,25.0,375.0,,,
2000-03-07,204.25,204.25,204.25,204.25,,,0.0,375.0,,,
2000-03-08,201.0,201.0,201.0,201.0,,,0.0,375.0,,,
2000-03-09,189.75,189.75,189.75,189.75,,,0.0,375.0,,,
2000-03-10,192.5,192.5,192.5,192.5,,,0.0,300.0,,,
2000-03-13,191.25,191.25,191.25,191.25,,,0.0,300.0,,,
2000-03-14,189.25,189.25,189.25,189.25,,,0.0,300.0,,,
2000-03-15,192.0,192.0,192.0,192.0,,,0.0,300.0,,,
2000-03-16,191.25,191.25,191.25,191.25,,,0.0,300.0,,,
2000-03-17,192.75,192.75,192.75,192.75,,,0.0,300.0,,,
2000-03-20,189.25,189.25,189.25,189.25,,,0.0,300.0,,,
2000-03-21,191.0,191.0,191.0,191.0,,,10.0,300.0,,,
2000-03-22,192.25,192.25,192.25,192.25,,,0.0,300.0,,,
2000-03-23,189.25,189.25,189.25,189.25,,,0.0,300.0,,,
2000-03-24,192.25,192.25,192.25,192.25,,,0.0,300.0,,,
2000-03-27,190.5,190.5,190.5,190.5,,,0.0,300.0,,,
2000-03-28,189.5,189.5,189.5,189.5,,,0.0,300.0,,,
2000-03-29,188.25,188.25,188.25,188.25,,,0.0,300.0,,,
2000-03-30,191.0,191.0,191.0,191.0,,,0.0,300.0,,,
2000-03-31,192.5,192.5,192.5,192.5,,,0.0,300.0,,,
2000-04-03,195.0,195.0,195.0,195.0,,,0.0,300.0,,,
2000-04-04,192.25,192.25,192.25,192.25,,,0.0,300.0,,,
2000-04-05,192.5,192.5,192.5,192.5,,,0.0,300.0,,,
