Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2007-04-20,0.0,0.0,0.0,599.75,,,0.0,0.0,0.0,0.0,0.0
2007-04-23,0.0,0.0,0.0,602.0,2.25,,0.0,0.0,0.0,0.0,0.0
2007-04-24,0.0,0.0,0.0,602.25,0.25,,0.0,0.0,0.0,0.0,0.0
2007-04-25,0.0,0.0,0.0,601.25,-1.0,,0.0,0.0,0.0,0.0,0.0
2007-04-26,0.0,0.0,0.0,604.0,2.75,,0.0,0.0,0.0,0.0,0.0
2007-04-27,0.0,0.0,0.0,600.5,-3.5,,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,604.25,3.75,,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,607.25,3.0,,0.0,0.0,0.0,0.0,0.0
2007-05-02,0.0,0.0,0.0,596.25,-11.0,,0.0,0.0,0.0,0.0,0.0
2007-05-03,0.0,0.0,0.0,596.0,-0.25,,0.0,0.0,0.0,0.0,0.0
2007-05-04,0.0,0.0,0.0,604.75,8.75,,0.0,0.0,0.0,0.0,0.0
2007-05-07,0.0,0.0,0.0,588.75,-16.0,,0.0,0.0,0.0,0.0,0.0
2007-05-08,0.0,0.0,0.0,592.25,3.5,,0.0,0.0,0.0,0.0,0.0
2007-05-09,0.0,0.0,0.0,587.5,-4.75,,0.0,0.0,0.0,0.0,0.0
2007-05-10,0.0,0.0,0.0,591.0,3.5,,0.0,0.0,0.0,0.0,0.0
2007-05-11,0.0,0.0,0.0,598.75,7.75,,0.0,0.0,0.0,0.0,0.0
2007-05-14,0.0,0.0,0.0,597.75,-1.0,,0.0,0.0,0.0,0.0,0.0
2007-05-15,0.0,0.0,0.0,601.25,3.5,,0.0,0.0,0.0,0.0,0.0
2007-05-16,0.0,0.0,0.0,594.0,-7.25,,0.0,0.0,0.0,0.0,0.0
2007-05-17,0.0,0.0,0.0,601.25,7.25,,0.0,0.0,0.0,0.0,0.0
2007-05-18,0.0,0.0,0.0,600.0,-1.25,,0.0,0.0,0.0,0.0,0.0
2007-05-21,0.0,0.0,0.0,601.5,1.5,,0.0,0.0,0.0,0.0,0.0
2007-05-22,0.0,0.0,0.0,599.75,-1.75,,0.0,0.0,0.0,0.0,0.0
2007-05-23,0.0,0.0,0.0,600.25,0.5,,0.0,0.0,0.0,0.0,0.0
2007-05-24,0.0,0.0,0.0,605.25,5.0,,0.0,0.0,0.0,0.0,0.0
2007-05-25,0.0,0.0,0.0,599.25,-6.0,,0.0,0.0,0.0,0.0,0.0
2007-05-28,0.0,0.0,0.0,592.75,-6.5,,0.0,0.0,0.0,0.0,0.0
2007-05-29,0.0,0.0,0.0,597.5,4.75,,0.0,0.0,0.0,0.0,0.0
2007-05-30,0.0,0.0,0.0,589.0,-8.5,,0.0,0.0,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0,592.0,3.0,,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,596.75,4.75,,0.0,0.0,0.0,0.0,0.0
2007-06-04,0.0,0.0,0.0,612.0,15.25,,0.0,0.0,0.0,0.0,0.0
2007-06-05,0.0,0.0,0.0,607.0,-5.0,,0.0,0.0,0.0,0.0,0.0
2007-06-06,0.0,0.0,0.0,608.0,1.0,,0.0,0.0,0.0,0.0,0.0
2007-06-07,0.0,0.0,0.0,614.25,6.25,,0.0,0.0,0.0,0.0,0.0
2007-06-08,0.0,0.0,0.0,604.5,-9.75,,0.0,0.0,0.0,0.0,0.0
2007-06-11,0.0,0.0,0.0,603.0,-1.5,,0.0,0.0,0.0,0.0,0.0
2007-06-12,0.0,0.0,0.0,607.5,4.5,,0.0,0.0,0.0,0.0,0.0
2007-06-13,0.0,0.0,0.0,611.25,3.75,,0.0,755.0,0.0,0.0,0.0
2007-06-14,0.0,0.0,0.0,617.0,5.75,,0.0,0.0,0.0,0.0,0.0
2007-06-15,0.0,0.0,0.0,616.5,-0.5,,0.0,0.0,0.0,0.0,0.0
2007-06-18,0.0,0.0,0.0,620.75,4.25,,0.0,0.0,0.0,0.0,0.0
2007-06-19,0.0,0.0,0.0,615.0,-5.75,,0.0,0.0,0.0,0.0,0.0
2007-06-20,0.0,0.0,0.0,607.5,-7.5,,0.0,0.0,0.0,0.0,0.0
2007-06-21,0.0,0.0,0.0,616.0,8.5,,0.0,0.0,0.0,0.0,0.0
2007-06-22,0.0,0.0,0.0,616.75,0.75,,0.0,0.0,0.0,0.0,0.0
2007-06-25,0.0,0.0,0.0,613.25,-3.5,,0.0,0.0,0.0,0.0,0.0
2007-06-26,0.0,0.0,0.0,611.0,-2.25,,0.0,0.0,0.0,0.0,0.0
2007-06-27,0.0,0.0,0.0,613.5,2.5,,0.0,0.0,0.0,0.0,0.0
2007-06-28,0.0,0.0,0.0,604.0,-9.5,,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.0,0.0,0.0,607.5,3.5,,0.0,0.0,0.0,0.0,0.0
2007-07-02,0.0,0.0,0.0,603.0,-4.5,,0.0,0.0,0.0,0.0,0.0
2007-07-03,0.0,0.0,0.0,618.75,15.75,,0.0,0.0,0.0,0.0,0.0
2007-07-04,0.0,0.0,0.0,619.5,0.75,,0.0,0.0,0.0,0.0,0.0
2007-07-05,0.0,0.0,0.0,618.5,-1.0,,0.0,0.0,0.0,0.0,0.0
2007-07-06,0.0,0.0,0.0,619.25,0.75,,0.0,0.0,0.0,0.0,0.0
2007-07-09,0.0,0.0,0.0,625.75,6.5,,0.0,0.0,0.0,0.0,0.0
2007-07-10,0.0,0.0,0.0,632.0,6.25,,0.0,0.0,0.0,0.0,0.0
2007-07-11,0.0,0.0,0.0,628.75,-3.25,,0.0,0.0,0.0,0.0,0.0
2007-07-12,0.0,0.0,0.0,632.0,3.25,,0.0,0.0,0.0,0.0,0.0
2007-07-13,0.0,0.0,0.0,625.5,-6.5,,0.0,0.0,0.0,0.0,0.0
2007-07-16,0.0,0.0,0.0,627.5,2.0,,0.0,0.0,0.0,0.0,0.0
2007-07-17,0.0,0.0,0.0,627.75,0.25,,0.0,0.0,0.0,0.0,0.0
2007-07-18,0.0,0.0,0.0,618.0,-9.75,,0.0,0.0,0.0,0.0,0.0
2007-07-19,0.0,0.0,0.0,617.0,-1.0,,0.0,0.0,0.0,0.0,0.0
2007-07-20,0.0,0.0,0.0,618.0,1.0,,0.0,0.0,0.0,0.0,0.0
2007-07-23,0.0,0.0,0.0,612.75,-5.25,,0.0,0.0,0.0,0.0,0.0
2007-07-24,0.0,0.0,0.0,617.5,4.75,,0.0,0.0,0.0,0.0,0.0
2007-07-25,0.0,0.0,0.0,611.75,-5.75,,0.0,0.0,0.0,0.0,0.0
2007-07-26,0.0,0.0,0.0,621.5,9.75,,0.0,0.0,0.0,0.0,0.0
2007-07-27,0.0,0.0,0.0,613.25,-8.25,,0.0,0.0,0.0,0.0,0.0
2007-07-30,0.0,0.0,0.0,610.0,-3.25,,0.0,0.0,0.0,0.0,0.0
2007-07-31,0.0,0.0,0.0,617.0,7.0,,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,617.75,0.75,,0.0,0.0,0.0,0.0,0.0
2007-08-02,0.0,0.0,0.0,613.75,-4.0,,0.0,0.0,0.0,0.0,0.0
2007-08-03,0.0,0.0,0.0,613.0,-0.75,,0.0,0.0,0.0,0.0,0.0
2007-08-06,0.0,0.0,0.0,613.0,0.0,,0.0,0.0,0.0,0.0,0.0
2007-08-07,0.0,0.0,0.0,609.0,-4.0,,0.0,0.0,0.0,0.0,0.0
2007-08-08,0.0,0.0,0.0,606.5,-2.5,,0.0,0.0,0.0,0.0,0.0
2007-08-09,0.0,0.0,0.0,609.75,3.25,,0.0,0.0,0.0,0.0,0.0
2007-08-10,0.0,0.0,0.0,609.0,-0.75,,0.0,0.0,0.0,0.0,0.0
2007-08-13,0.0,0.0,0.0,610.25,1.25,,0.0,0.0,0.0,0.0,0.0
2007-08-14,0.0,0.0,0.0,598.0,-12.25,,0.0,0.0,0.0,0.0,0.0
2007-08-15,0.0,0.0,0.0,611.0,13.0,,0.0,0.0,0.0,0.0,0.0
2007-08-16,0.0,0.0,0.0,599.0,-12.0,,0.0,0.0,0.0,0.0,0.0
2007-08-17,0.0,0.0,0.0,603.5,4.5,,0.0,0.0,0.0,0.0,0.0
2007-08-20,0.0,0.0,0.0,596.25,-7.25,,0.0,0.0,0.0,0.0,0.0
2007-08-21,0.0,0.0,0.0,595.5,-0.75,,0.0,0.0,0.0,0.0,0.0
2007-08-22,0.0,0.0,0.0,590.25,-5.25,,0.0,0.0,0.0,0.0,0.0
2007-08-23,0.0,0.0,0.0,597.25,7.0,,0.0,0.0,0.0,0.0,0.0
2007-08-24,0.0,0.0,0.0,600.75,3.5,,0.0,0.0,0.0,0.0,0.0
2007-08-27,0.0,0.0,0.0,597.25,-3.5,,0.0,0.0,0.0,0.0,0.0
2007-08-28,0.0,0.0,0.0,603.75,6.5,,0.0,0.0,0.0,0.0,0.0
2007-08-29,0.0,0.0,0.0,601.5,-2.25,,0.0,0.0,0.0,0.0,0.0
2007-08-30,0.0,0.0,0.0,601.0,-0.5,,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0,601.0,0.0,,0.0,0.0,0.0,0.0,0.0
2007-09-03,0.0,0.0,0.0,603.75,2.75,,0.0,0.0,0.0,0.0,0.0
2007-09-04,0.0,0.0,0.0,607.75,4.0,,0.0,0.0,0.0,0.0,0.0
2007-09-05,0.0,0.0,0.0,603.75,-4.0,,0.0,0.0,0.0,0.0,0.0
2007-09-06,0.0,0.0,0.0,607.75,4.0,,0.0,0.0,0.0,0.0,0.0
2007-09-07,0.0,0.0,0.0,608.0,0.25,,0.0,0.0,0.0,0.0,0.0
2007-09-10,0.0,0.0,0.0,609.75,1.75,,0.0,0.0,0.0,0.0,0.0
2007-09-11,0.0,0.0,0.0,618.25,8.5,,0.0,0.0,0.0,0.0,0.0
2007-09-12,0.0,0.0,0.0,626.5,8.25,,0.0,0.0,0.0,0.0,0.0
2007-09-13,0.0,0.0,0.0,616.25,-10.25,,0.0,0.0,0.0,0.0,0.0
2007-09-14,0.0,0.0,0.0,619.25,3.0,,0.0,0.0,0.0,0.0,0.0
2007-09-17,0.0,0.0,0.0,622.75,3.5,,0.0,0.0,0.0,0.0,0.0
2007-09-18,0.0,0.0,0.0,617.75,-5.0,,0.0,0.0,0.0,0.0,0.0
2007-09-19,0.0,0.0,0.0,621.5,3.75,,0.0,0.0,0.0,0.0,0.0
2007-09-20,0.0,0.0,0.0,625.5,4.0,,0.0,0.0,0.0,0.0,0.0
2007-09-21,0.0,0.0,0.0,635.25,9.75,,0.0,0.0,0.0,0.0,0.0
2007-09-24,0.0,0.0,0.0,640.0,4.75,,0.0,0.0,0.0,0.0,0.0
2007-09-25,0.0,0.0,0.0,634.0,-6.0,,0.0,0.0,0.0,0.0,0.0
2007-09-26,0.0,0.0,0.0,625.75,-8.25,,0.0,0.0,0.0,0.0,0.0
2007-09-27,0.0,0.0,0.0,630.0,4.25,,0.0,0.0,,,
2007-09-28,0.0,0.0,0.0,638.5,8.5,,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,624.5,-14.0,,0.0,0.0,,,
2007-10-02,0.0,0.0,0.0,618.25,-6.25,,0.0,0.0,,,
2007-10-03,0.0,0.0,0.0,624.0,5.75,,0.0,0.0,,,
2007-10-04,0.0,0.0,0.0,624.5,0.5,,0.0,0.0,,,
2007-10-05,0.0,0.0,0.0,633.5,9.0,,0.0,0.0,,,
2007-10-08,0.0,0.0,0.0,626.0,-7.5,,0.0,0.0,,,
2007-10-09,0.0,0.0,0.0,635.5,9.5,,0.0,0.0,,,
2007-10-10,0.0,0.0,0.0,633.5,-2.0,,0.0,0.0,,,
2007-10-11,0.0,0.0,0.0,648.5,15.0,,0.0,0.0,,,
2007-10-12,0.0,0.0,0.0,647.5,-1.0,,0.0,0.0,,,
2007-10-15,0.0,0.0,0.0,649.0,1.5,,0.0,0.0,,,
2007-10-16,0.0,0.0,0.0,653.5,4.5,,0.0,0.0,,,
2007-10-17,0.0,0.0,0.0,652.75,-0.75,,0.0,0.0,,,
2007-10-18,0.0,0.0,0.0,653.75,1.0,,0.0,0.0,,,
2007-10-19,0.0,0.0,0.0,654.0,0.25,,0.0,0.0,,,
2007-10-22,0.0,0.0,0.0,649.5,-4.5,,0.0,0.0,,,
2007-10-23,0.0,0.0,0.0,647.5,-2.0,,0.0,0.0,,,
2007-10-24,0.0,0.0,0.0,660.25,12.75,,0.0,0.0,,,
2007-10-25,0.0,0.0,0.0,666.25,6.0,,0.0,0.0,,,
2007-10-26,0.0,0.0,0.0,672.75,6.5,,0.0,0.0,,,
