Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-04-13,,,,632.75,,,0.0,0.0,0.0,0.0,0.0
2006-04-17,,,,641.0,8.25,,0.0,0.0,0.0,0.0,0.0
2006-04-18,,,,648.75,7.75,,0.0,0.0,0.0,0.0,0.0
2006-04-19,,,,658.0,9.25,,0.0,0.0,0.0,0.0,0.0
2006-04-20,,,,655.75,-2.25,,0.0,0.0,0.0,0.0,0.0
2006-04-21,,,,664.5,8.75,,0.0,0.0,0.0,0.0,0.0
2006-04-24,,,,666.0,1.5,,0.0,0.0,0.0,0.0,0.0
2006-04-25,,,,662.5,-3.5,,0.0,0.0,0.0,0.0,0.0
2006-04-26,,,,667.0,4.5,,0.0,0.0,0.0,0.0,0.0
2006-04-27,,,,657.5,-9.5,,0.0,0.0,0.0,0.0,0.0
2006-04-28,,,,656.75,-0.75,,0.0,0.0,0.0,0.0,0.0
2006-05-01,,,,664.0,7.25,,0.0,0.0,0.0,0.0,0.0
2006-05-02,,,,673.75,9.75,,0.0,0.0,0.0,0.0,0.0
2006-05-03,,,,666.75,-7.0,,0.0,0.0,0.0,0.0,0.0
2006-05-04,,,,652.25,-14.5,,0.0,0.0,0.0,0.0,0.0
2006-05-05,650.25,650.25,650.25,648.25,-4.0,,50.0,50.0,0.0,0.0,0.0
2006-05-08,,,,642.5,-5.75,,0.0,50.0,0.0,0.0,0.0
2006-05-09,,,,662.0,19.5,,0.0,50.0,0.0,0.0,0.0
2006-05-10,,,,660.25,-1.75,,0.0,50.0,0.0,0.0,0.0
2006-05-11,677.5,677.5,677.5,679.75,19.5,,100.0,150.0,0.0,0.0,0.0
2006-05-12,,,,675.0,-4.75,,0.0,150.0,0.0,0.0,0.0
2006-05-15,,,,651.75,-23.25,,0.0,150.0,0.0,0.0,0.0
2006-05-16,652.75,655.75,651.75,654.75,3.0,,500.0,650.0,0.0,0.0,0.0
2006-05-17,,,,644.0,-10.75,,0.0,650.0,0.0,0.0,0.0
2006-05-18,,,,647.5,3.5,,0.0,650.0,0.0,0.0,0.0
2006-05-19,,,,642.25,-5.25,,0.0,650.0,0.0,0.0,0.0
2006-05-22,,,,640.75,-1.5,,0.0,650.0,0.0,0.0,0.0
2006-05-23,,,,662.0,21.25,,0.0,650.0,0.0,0.0,0.0
2006-05-24,,,,653.75,-8.25,,0.0,650.0,0.0,0.0,0.0
2006-05-25,,,,651.0,-2.75,,0.0,650.0,0.0,0.0,0.0
2006-05-26,660.0,660.0,660.0,662.75,11.75,,50.0,700.0,0.0,0.0,0.0
2006-05-30,,,,666.5,3.75,,0.0,700.0,0.0,0.0,0.0
2006-05-31,,,,651.75,-14.75,,0.0,700.0,0.0,0.0,0.0
2006-06-01,,,,661.5,9.75,,0.0,700.0,0.0,0.0,0.0
2006-06-02,,,,661.0,-0.5,,0.0,700.0,0.0,0.0,0.0
2006-06-05,,,,668.0,7.0,,0.0,700.0,0.0,0.0,0.0
2006-06-06,671.25,671.25,670.75,663.5,-4.5,,100.0,700.0,0.0,0.0,0.0
2006-06-07,,,,660.75,-2.75,,0.0,700.0,0.0,0.0,0.0
2006-06-08,660.0,660.0,660.0,650.25,-10.5,,25.0,725.0,0.0,0.0,0.0
2006-06-09,672.0,672.0,672.0,669.5,19.25,,100.0,825.0,0.0,0.0,0.0
2006-06-12,,,,665.75,-3.75,,0.0,825.0,0.0,0.0,0.0
2006-06-13,,,,643.75,-22.0,,0.0,825.0,0.0,0.0,0.0
2006-06-14,,,,644.0,0.25,,0.0,825.0,0.0,0.0,0.0
2006-06-15,,,,646.5,2.5,,0.0,825.0,0.0,0.0,0.0
2006-06-16,,,,637.0,-9.5,,0.0,825.0,0.0,0.0,0.0
2006-06-19,,,,636.5,-0.5,,0.0,825.0,0.0,0.0,0.0
2006-06-20,,,,644.75,8.25,,0.0,825.0,0.0,0.0,0.0
2006-06-21,,,,645.25,0.5,,0.0,825.0,0.0,0.0,0.0
2006-06-22,,,,657.5,12.25,,0.0,825.0,0.0,0.0,0.0
2006-06-23,,,,659.75,2.25,,0.0,825.0,0.0,0.0,0.0
2006-06-26,,,,657.5,-2.25,,0.0,825.0,0.0,0.0,0.0
