Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2016-12-13,,,,554.0,,,,,,,
2016-12-14,,,,556.0,2.0,,,0.0,,,
2016-12-15,,,,546.0,-10.0,,,0.0,,,
2016-12-16,,,,554.25,8.25,,,0.0,,,
2016-12-19,,,,549.75,-4.5,,,0.0,,,
2016-12-20,,,,554.75,5.0,,,0.0,,,
2016-12-21,,,,554.25,-0.5,,,0.0,,,
2016-12-22,,,,553.75,-0.5,,,0.0,,,
2016-12-23,,,,550.5,-3.25,,,0.0,,,
2016-12-27,,,,560.5,,,,0.0,,,
2016-12-28,,,,557.75,-2.75,,,0.0,,,
2016-12-29,,,,562.25,4.5,,,0.0,,,
2016-12-30,,,,561.5,-0.75,,,0.0,,,
2017-01-02,,,,561.5,0.0,,,0.0,,,
2017-01-03,,,,555.5,-6.0,,,0.0,,,
2017-01-04,,,,558.0,2.5,,,0.0,,,
2017-01-05,,,,557.0,-1.0,,,0.0,,,
2017-01-06,,,,562.5,5.5,,,0.0,,,
2017-01-09,,,,556.25,-6.25,,,0.0,,,
2017-01-10,,,,546.5,-9.75,,,0.0,,,
2017-01-11,,,,549.25,2.75,,,0.0,,,
2017-01-12,,,,550.75,1.5,,,0.0,,,
2017-01-13,,,,546.25,-4.5,,,0.0,,,
2017-01-16,,,,545.5,-0.75,,,0.0,,,
2017-01-17,,,,549.0,3.5,,,0.0,,,
2017-01-18,,,,547.0,-2.0,,,0.0,,,
2017-01-19,,,,543.75,-3.25,,,0.0,,,
2017-01-20,,,,552.0,8.25,,,0.0,,,
2017-01-23,,,,549.25,-2.75,,,0.0,,,
2017-01-24,,,,550.5,1.25,,,0.0,,,
2017-01-25,,,,550.0,-0.5,,,0.0,,,
2017-01-26,,,,550.75,0.75,,,0.0,,,
2017-01-27,,,,543.5,-7.25,,,0.0,,,
2017-01-30,,,,539.75,-3.75,,,0.0,,,
2017-01-31,,,,546.5,6.75,,,0.0,,,
2017-02-01,,,,549.0,2.5,,,0.0,,,
2017-02-02,,,,549.75,0.75,,,0.0,,,
2017-02-03,,,,547.5,-2.25,,,0.0,,,
2017-02-06,,,,547.25,-0.25,,,0.0,,,
2017-02-07,,,,540.0,-7.25,,,0.0,,,
2017-02-08,,,,543.0,3.0,,,0.0,,,
2017-02-09,,,,544.25,1.25,,,0.0,,,
2017-02-10,,,,547.75,3.5,,,0.0,,,
2017-02-13,,,,538.5,-9.25,,,0.0,,,
2017-02-14,,,,542.5,4.0,,,0.0,,,
2017-02-15,,,,538.25,-4.25,,,0.0,,,
2017-02-16,,,,536.25,-2.0,,,0.0,,,
2017-02-17,,,,535.5,-0.75,,,0.0,,,
2017-02-20,,,,539.5,4.0,,,0.0,,,
2017-02-21,,,,534.0,-5.5,,,0.0,,,
2017-02-22,,,,527.75,-6.25,,,0.0,,,
2017-02-23,,,,531.0,3.25,,,0.0,,,
2017-02-24,,,,529.5,-1.5,,,0.0,,,
2017-02-27,,,,532.25,2.75,,,0.0,,,
2017-02-28,,,,529.5,-2.75,,,0.0,,,
2017-03-01,,,,535.75,6.25,,,0.0,,,
2017-03-02,,,,528.75,-7.0,,,0.0,,,
2017-03-03,,,,530.25,1.5,,,0.0,,,
2017-03-06,,,,532.5,2.25,,,0.0,,,
2017-03-07,,,,533.25,0.75,,,0.0,,,
2017-03-08,,,,526.75,-6.5,,,0.0,,,
2017-03-09,,,,509.75,-17.0,,,0.0,,,
2017-03-10,,,,510.75,1.0,,,0.0,,,
2017-03-13,,,,511.25,0.5,,,0.0,,,
2017-03-14,,,,508.25,-3.0,,,0.0,,,
2017-03-15,,,,512.0,3.75,,,0.0,,,
2017-03-16,,,,512.0,0.0,,,0.0,,,
2017-03-17,,,,510.5,-1.5,,,0.0,,,
2017-03-20,,,,513.5,3.0,,,0.0,,,
2017-03-21,,,,510.25,-3.25,,,0.0,,,
2017-03-22,,,,510.0,-0.25,,,0.0,,,
2017-03-23,,,,510.0,0.0,,,0.0,,,
2017-03-24,,,,508.75,-1.25,,,0.0,,,
2017-03-27,,,,513.0,4.25,,,0.0,,,
2017-03-28,,,,516.0,3.0,,,0.0,,,
2017-03-29,,,,515.75,-0.25,,,0.0,,,
2017-03-30,,,,521.75,6.0,,,0.0,,,
2017-03-31,,,,522.75,1.0,,,0.0,,,
2017-04-03,,,,523.0,0.25,,,0.0,,,
2017-04-04,,,,529.0,6.0,,,0.0,,,
2017-04-05,,,,528.25,-0.75,,,0.0,,,
