Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2013-06-17,0.0,0.0,0.0,859.0,,,0.0,0.0,,,
2013-06-18,0.0,0.0,0.0,859.5,,,0.0,0.0,,,
2013-06-19,0.0,0.0,0.0,860.25,,,0.0,0.0,,,
2013-06-20,0.0,0.0,0.0,839.25,,,0.0,0.0,,,
2013-06-21,0.0,0.0,0.0,820.75,,,0.0,0.0,,,
2013-06-24,0.0,0.0,0.0,817.0,,,0.0,0.0,,,
2014-04-08,,,,92.39,1.18,,163.0,1000.0,,,
2014-04-25,92.5,92.5,92.5,92.57,-0.92,92.5,181.0,1099.0,,,
2014-05-12,,,,91.91,0.64,,282.0,1218.0,,,400.0
2014-05-22,,,,94.49,-0.01,,550.0,1632.0,,,
2014-06-02,893.75,893.75,893.75,892.75,0.0,,2.0,467.0,,,
2014-06-03,,,,891.0,-1.75,,754.0,469.0,,,
2014-06-04,892.0,892.0,887.75,890.75,-0.25,,773.0,475.0,,,
2014-06-05,887.5,892.25,887.5,889.75,-1.0,,124.0,456.0,,,
2014-06-06,895.5,895.5,895.5,889.25,-0.5,,27.0,493.0,,,
2014-06-09,892.0,892.0,892.0,896.75,7.5,,99.0,498.0,,,
2014-06-10,,,,889.75,-7.0,,10.0,498.0,,,
2014-06-11,895.0,895.0,894.25,895.0,5.25,,65.0,493.0,,,
2014-06-12,906.5,906.5,906.5,908.75,13.75,,52.0,536.0,,,
2014-06-13,920.0,920.0,912.25,912.0,3.25,,331.0,502.0,,,
2014-06-16,914.75,914.75,914.75,918.75,6.75,,37.0,555.0,,,
2014-06-17,923.75,924.25,923.75,925.5,6.75,,101.0,549.0,,,
2014-06-18,929.25,929.25,929.25,927.75,2.25,,150.0,558.0,,,
2014-06-19,932.0,936.25,931.5,933.25,5.5,,296.0,616.0,,,
2014-06-20,,,,931.75,-1.5,,,684.0,,,
2014-06-23,,,,929.0,-2.75,,1.0,684.0,,,
2014-06-24,932.75,932.75,932.75,935.25,6.25,,67.0,684.0,,,
2014-06-25,,,,928.25,-7.0,,3.0,678.0,,,
2014-06-26,,,,926.25,-2.0,,11.0,678.0,,,
2014-06-27,,,,924.5,-1.75,,39.0,678.0,,,
