Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2016-12-13,,,,563.75,,,,,,,
2016-12-14,,,,565.75,2.0,,,0.0,,,
2016-12-15,,,,555.75,-10.0,,,0.0,,,
2016-12-16,,,,564.0,8.25,,,0.0,,,
2016-12-19,,,,559.5,-4.5,,,0.0,,,
2016-12-20,,,,564.5,5.0,,,0.0,,,
2016-12-21,,,,564.0,-0.5,,,0.0,,,
2016-12-22,,,,563.5,-0.5,,,0.0,,,
2016-12-23,,,,560.25,-3.25,,,0.0,,,
2016-12-27,,,,570.25,,,,0.0,,,
2016-12-28,,,,567.5,-2.75,,,0.0,,,
2016-12-29,,,,572.0,4.5,,,0.0,,,
2016-12-30,,,,571.25,-0.75,,,0.0,,,
2017-01-02,,,,571.25,0.0,,,0.0,,,
2017-01-03,,,,565.25,-6.0,,,0.0,,,
2017-01-04,,,,567.75,2.5,,,0.0,,,
2017-01-05,,,,566.75,-1.0,,,0.0,,,
2017-01-06,,,,572.25,5.5,,,0.0,,,
2017-01-09,,,,566.0,-6.25,,,0.0,,,
2017-01-10,,,,556.25,-9.75,,,0.0,,,
2017-01-11,,,,559.0,2.75,,,0.0,,,
2017-01-12,,,,560.5,1.5,,,0.0,,,
2017-01-13,,,,556.0,-4.5,,,0.0,,,
2017-01-16,,,,555.25,-0.75,,,0.0,,,
2017-01-17,,,,558.75,3.5,,,0.0,,,
2017-01-18,,,,556.75,-2.0,,,0.0,,,
2017-01-19,,,,553.5,-3.25,,,0.0,,,
2017-01-20,,,,561.75,8.25,,,0.0,,,
2017-01-23,,,,559.0,-2.75,,,0.0,,,
2017-01-24,,,,560.25,1.25,,,0.0,,,
2017-01-25,,,,559.75,-0.5,,,0.0,,,
2017-01-26,,,,560.5,0.75,,,0.0,,,
2017-01-27,,,,553.25,-7.25,,,0.0,,,
2017-01-30,,,,549.5,-3.75,,,0.0,,,
2017-01-31,,,,556.25,6.75,,,0.0,,,
2017-02-01,,,,558.75,2.5,,,0.0,,,
2017-02-02,,,,559.5,0.75,,,0.0,,,
2017-02-03,,,,557.25,-2.25,,,0.0,,,
2017-02-06,,,,557.0,-0.25,,,0.0,,,
2017-02-07,,,,549.75,-7.25,,,0.0,,,
2017-02-08,,,,552.75,3.0,,,0.0,,,
2017-02-09,,,,554.0,1.25,,,0.0,,,
2017-02-10,,,,557.5,3.5,,,0.0,,,
2017-02-13,,,,548.25,-9.25,,,0.0,,,
2017-02-14,,,,552.25,4.0,,,0.0,,,
2017-02-15,,,,548.0,-4.25,,,0.0,,,
2017-02-16,,,,546.0,-2.0,,,0.0,,,
2017-02-17,,,,545.25,-0.75,,,0.0,,,
2017-02-20,,,,549.25,4.0,,,0.0,,,
2017-02-21,,,,543.75,-5.5,,,0.0,,,
2017-02-22,,,,537.5,-6.25,,,0.0,,,
2017-02-23,,,,540.75,3.25,,,0.0,,,
2017-02-24,,,,539.25,-1.5,,,0.0,,,
2017-02-27,,,,542.0,2.75,,,0.0,,,
2017-02-28,,,,539.25,-2.75,,,0.0,,,
2017-03-01,,,,545.5,6.25,,,0.0,,,
2017-03-02,,,,538.5,-7.0,,,0.0,,,
2017-03-03,,,,540.0,1.5,,,0.0,,,
2017-03-06,,,,542.25,2.25,,,0.0,,,
2017-03-07,,,,543.0,0.75,,,0.0,,,
2017-03-08,,,,536.5,-6.5,,,0.0,,,
2017-03-09,,,,519.5,-17.0,,,0.0,,,
2017-03-10,,,,520.5,1.0,,,0.0,,,
2017-03-13,,,,521.0,0.5,,,0.0,,,
2017-03-14,,,,518.0,-3.0,,,0.0,,,
2017-03-15,,,,521.75,3.75,,,0.0,,,
2017-03-16,,,,521.75,0.0,,,0.0,,,
2017-03-17,,,,520.25,-1.5,,,0.0,,,
2017-03-20,,,,523.25,3.0,,,0.0,,,
2017-03-21,,,,520.0,-3.25,,,0.0,,,
2017-03-22,,,,519.75,-0.25,,,0.0,,,
2017-03-23,,,,519.75,0.0,,,0.0,,,
2017-03-24,,,,518.5,-1.25,,,0.0,,,
2017-03-27,,,,522.75,4.25,,,0.0,,,
2017-03-28,,,,525.75,3.0,,,0.0,,,
2017-03-29,,,,525.5,-0.25,,,0.0,,,
2017-03-30,,,,531.5,6.0,,,0.0,,,
2017-03-31,,,,532.5,1.0,,,0.0,,,
2017-04-03,,,,532.75,0.25,,,0.0,,,
2017-04-04,,,,538.75,6.0,,,0.0,,,
2017-04-05,,,,538.0,-0.75,,,0.0,,,
