Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1999-10-04,165.75,165.75,165.75,165.75,,,0.0,0.0,,,
1999-10-05,163.75,163.75,163.75,163.75,,,0.0,0.0,,,
1999-10-06,165.5,165.5,165.5,165.5,,,0.0,0.0,,,
1999-10-07,162.25,162.25,162.25,162.25,,,0.0,0.0,,,
1999-10-08,156.5,156.5,156.5,156.5,,,0.0,0.0,,,
1999-10-11,156.25,156.25,156.25,156.25,,,0.0,0.0,,,
1999-10-12,162.25,162.25,162.25,162.25,,,0.0,0.0,,,
1999-10-13,164.75,164.75,164.75,164.75,,,0.0,0.0,,,
1999-10-14,166.0,166.0,166.0,166.0,,,0.0,0.0,,,
1999-10-15,163.0,163.0,163.0,163.0,,,0.0,0.0,,,
1999-10-18,164.5,164.5,164.5,164.5,,,0.0,0.0,,,
1999-10-19,165.5,165.5,165.5,165.5,,,0.0,0.0,,,
1999-10-20,163.5,163.5,163.5,163.5,,,0.0,0.0,,,
1999-10-21,166.25,166.25,166.25,166.25,,,0.0,0.0,,,
1999-10-22,168.0,168.0,168.0,168.0,,,0.0,0.0,,,
1999-10-25,169.5,169.5,169.5,169.5,,,0.0,0.0,,,
1999-10-26,170.0,170.0,170.0,170.0,,,0.0,0.0,,,
1999-10-27,168.25,168.25,168.25,168.25,,,0.0,0.0,,,
1999-10-28,164.5,164.5,164.5,164.5,,,0.0,0.0,,,
1999-10-29,162.25,162.25,162.25,162.25,,,0.0,0.0,,,
1999-11-01,164.25,164.25,164.25,164.25,,,0.0,0.0,,,
1999-11-02,165.25,165.25,165.25,165.25,,,0.0,0.0,,,
1999-11-03,164.5,164.5,164.5,164.5,,,0.0,0.0,,,
1999-11-04,163.25,163.25,163.25,163.25,,,0.0,0.0,,,
1999-11-05,164.25,164.25,164.25,164.25,,,0.0,0.0,,,
1999-11-08,162.0,162.0,162.0,162.0,,,0.0,0.0,,,
1999-11-09,164.0,164.0,164.0,164.0,,,0.0,0.0,,,
1999-11-10,168.75,168.75,168.75,168.75,,,0.0,0.0,,,
1999-11-11,164.0,164.0,164.0,164.0,,,0.0,0.0,,,
1999-11-12,164.0,164.0,164.0,164.0,,,0.0,0.0,,,
1999-11-15,168.25,168.25,168.25,168.25,,,0.0,0.0,,,
1999-11-16,168.5,168.5,168.5,168.5,,,0.0,0.0,,,
1999-11-17,170.0,170.0,170.0,170.0,,,0.0,0.0,,,
1999-11-18,167.5,167.5,167.5,167.5,,,0.0,0.0,,,
1999-11-19,164.5,164.5,164.5,164.5,,,0.0,0.0,,,
1999-11-22,164.5,164.5,164.5,164.5,,,0.0,0.0,,,
1999-11-23,164.75,164.75,164.75,164.75,,,0.0,0.0,,,
1999-11-24,164.75,164.75,164.75,164.75,,,0.0,0.0,,,
1999-11-25,160.5,160.5,160.5,160.5,,,0.0,0.0,,,
1999-11-26,159.0,159.0,159.0,159.0,,,0.0,0.0,,,
1999-11-29,159.75,159.75,159.75,159.75,,,0.0,0.0,,,
1999-11-30,158.25,158.25,158.25,158.25,,,0.0,0.0,,,
1999-12-01,155.5,155.5,155.5,155.5,,,0.0,0.0,,,
1999-12-02,161.0,161.0,161.0,161.0,,,0.0,0.0,,,
1999-12-03,162.25,162.25,162.25,162.25,,,0.0,0.0,,,
1999-12-06,165.75,165.75,165.75,165.75,,,0.0,0.0,,,
1999-12-07,162.75,162.75,162.75,162.75,,,0.0,0.0,,,
1999-12-08,165.25,165.25,165.25,165.25,,,0.0,0.0,,,
1999-12-09,166.25,166.25,166.25,166.25,,,0.0,0.0,,,
1999-12-10,162.75,162.75,162.75,162.75,,,0.0,0.0,,,
1999-12-13,164.5,164.5,164.5,164.5,,,0.0,0.0,,,
1999-12-14,166.75,166.75,166.75,166.75,,,0.0,0.0,,,
1999-12-15,169.25,169.25,169.25,169.25,,,0.0,0.0,,,
1999-12-16,167.75,167.75,167.75,167.75,,,0.0,0.0,,,
1999-12-17,166.0,166.0,166.0,166.0,,,0.0,0.0,,,
1999-12-20,168.25,168.25,168.25,168.25,,,0.0,0.0,,,
1999-12-21,168.0,168.0,168.0,168.0,,,0.0,0.0,,,
1999-12-22,168.5,168.5,168.5,168.5,,,0.0,0.0,,,
1999-12-23,168.5,168.5,168.5,168.5,,,0.0,0.0,,,
1999-12-24,170.25,170.25,170.25,170.25,,,0.0,0.0,,,
1999-12-29,173.0,173.0,173.0,173.0,,,0.0,0.0,,,
1999-12-30,169.0,169.0,169.0,169.0,,,0.0,0.0,,,
2000-01-04,163.5,163.5,163.5,163.5,,,0.0,0.0,,,
2000-01-05,166.5,166.5,166.5,166.5,,,0.0,0.0,,,
2000-01-06,168.25,168.25,168.25,168.25,,,0.0,0.0,,,
2000-01-07,167.0,167.0,167.0,167.0,,,0.0,0.0,,,
2000-01-10,165.0,165.0,165.0,165.0,,,0.0,0.0,,,
2000-01-11,168.75,168.75,168.75,168.75,,,0.0,0.0,,,
2000-01-12,174.5,174.5,174.5,174.5,,,0.0,0.0,,,
2000-01-13,176.75,176.75,176.75,176.75,,,0.0,0.0,,,
2000-01-14,177.75,177.75,177.75,177.75,,,0.0,0.0,,,
2000-01-17,176.0,176.0,176.0,176.0,,,0.0,0.0,,,
2000-01-18,170.0,176.0,165.0,176.0,,,110.0,70.0,,,
2000-01-19,176.75,176.75,176.75,176.75,,,0.0,70.0,,,
2000-01-20,176.0,176.0,176.0,176.0,,,0.0,70.0,,,
2000-01-21,176.5,176.5,176.5,176.5,,,0.0,70.0,,,
2000-01-24,170.25,170.25,170.25,170.25,,,0.0,70.0,,,
2000-01-25,175.0,175.0,175.0,175.0,,,0.0,70.0,,,
2000-01-26,178.25,178.25,178.25,178.25,,,0.0,70.0,,,
2000-01-27,176.5,176.5,176.5,176.5,,,0.0,70.0,,,
2000-01-28,175.25,175.25,175.25,175.25,,,0.0,70.0,,,
2000-01-31,180.0,180.0,180.0,180.0,,,0.0,70.0,,,
2000-02-01,181.75,181.75,181.75,181.75,,,0.0,70.0,,,
2000-02-02,171.5,171.5,170.0,170.0,,,500.0,570.0,,,
2000-02-03,171.0,171.0,171.0,171.0,,,0.0,570.0,,,
2000-02-04,171.0,171.0,171.0,171.0,,,0.0,570.0,,,
2000-02-07,174.25,174.25,174.25,174.25,,,0.0,570.0,,,
2000-02-08,172.75,172.75,172.75,172.75,,,0.0,570.0,,,
2000-02-09,171.75,171.75,171.75,171.75,,,0.0,570.0,,,
2000-02-10,169.75,169.75,169.75,169.75,,,0.0,570.0,,,
2000-02-11,171.5,171.5,171.5,171.5,,,0.0,570.0,,,
2000-02-14,174.0,174.0,174.0,174.0,,,0.0,570.0,,,
2000-02-15,173.5,173.5,173.5,173.5,,,0.0,570.0,,,
2000-02-16,174.0,174.0,174.0,174.0,,,0.0,570.0,,,
2000-02-17,172.75,172.75,172.75,172.75,,,0.0,570.0,,,
2000-02-18,171.5,171.5,171.5,171.5,,,0.0,570.0,,,
2000-02-21,169.25,169.25,169.25,169.25,,,0.0,570.0,,,
2000-02-22,171.0,171.0,171.0,171.0,,,0.0,570.0,,,
2000-02-23,173.5,173.5,173.5,173.5,,,0.0,570.0,,,
2000-02-24,172.25,172.25,172.25,172.25,,,0.0,570.0,,,
2000-02-25,175.25,175.25,175.25,175.25,,,0.0,570.0,,,
2000-02-28,174.75,174.75,174.75,174.75,,,0.0,570.0,,,
2000-02-29,176.25,176.25,176.25,176.25,,,0.0,570.0,,,
2000-03-01,178.0,178.0,178.0,178.0,,,0.0,570.0,,,
2000-03-02,180.5,180.5,180.5,180.5,,,0.0,570.0,,,
2000-03-03,183.25,183.25,183.25,183.25,,,0.0,570.0,,,
2000-03-06,183.75,183.75,180.0,183.25,,,210.0,735.0,,,
2000-03-07,182.25,193.75,182.25,193.75,,,150.0,885.0,,,
2000-03-08,183.5,190.5,183.5,190.5,,,150.0,995.0,,,
2000-03-09,179.25,179.25,179.25,179.25,,,0.0,995.0,,,
2000-03-10,182.0,182.0,182.0,182.0,,,0.0,995.0,,,
2000-03-13,180.75,180.75,180.75,180.75,,,0.0,995.0,,,
2000-03-14,178.75,178.75,178.75,178.75,,,0.0,995.0,,,
2000-03-15,181.5,181.5,181.5,181.5,,,0.0,995.0,,,
2000-03-16,180.75,180.75,180.75,180.75,,,0.0,995.0,,,
2000-03-17,182.25,182.25,182.25,182.25,,,0.0,995.0,,,
2000-03-20,178.75,178.75,178.75,178.75,,,0.0,995.0,,,
2000-03-21,178.5,180.5,178.5,180.5,,,0.0,995.0,,,
2000-03-22,179.5,181.25,179.5,181.25,,,35.0,995.0,,,
2000-03-23,178.25,178.25,178.25,178.25,,,0.0,995.0,,,
2000-03-24,181.25,181.25,181.25,181.25,,,0.0,995.0,,,
2000-03-27,179.5,179.5,179.5,179.5,,,0.0,995.0,,,
2000-03-28,179.5,179.5,178.5,178.5,,,10.0,995.0,,,
2000-03-29,177.25,177.25,177.25,177.25,,,0.0,995.0,,,
2000-03-30,180.0,180.0,180.0,180.0,,,0.0,995.0,,,
2000-03-31,181.5,181.5,181.5,181.5,,,0.0,995.0,,,
2000-04-03,184.0,184.0,184.0,184.0,,,0.0,995.0,,,
2000-04-04,181.25,181.25,181.25,181.25,,,0.0,995.0,,,
2000-04-05,181.5,181.5,181.5,181.5,,,0.0,995.0,,,
2000-04-06,181.75,181.75,181.75,181.75,,,0.0,995.0,,,
2000-04-07,183.25,183.25,183.25,183.25,,,0.0,995.0,,,
2000-04-10,177.25,177.25,177.25,177.25,,,0.0,995.0,,,
2000-04-11,175.75,175.75,175.75,175.75,,,0.0,995.0,,,
2000-04-12,176.5,176.5,176.5,176.5,,,0.0,995.0,,,
2000-04-13,182.0,182.0,182.0,182.0,,,0.0,995.0,,,
2000-04-14,181.25,181.25,180.25,180.25,,,100.0,1095.0,,,
2000-04-17,179.5,179.5,179.5,179.5,,,0.0,1095.0,,,
2000-04-18,180.5,180.5,180.5,180.5,,,0.0,1095.0,,,
2000-04-19,183.0,183.0,183.0,183.0,,,0.0,1095.0,,,
2000-04-20,184.5,184.5,184.5,184.5,,,0.0,1095.0,,,
2000-04-25,183.0,183.0,183.0,183.0,,,0.0,1095.0,,,
2000-04-26,182.0,182.0,182.0,182.0,,,0.0,1095.0,,,
2000-04-27,184.25,184.25,184.25,184.25,,,0.0,1095.0,,,
2000-04-28,185.5,185.5,185.5,185.5,,,0.0,1095.0,,,
2000-05-02,190.25,190.25,190.25,190.25,,,0.0,1095.0,,,
2000-05-03,190.0,190.0,190.0,190.0,,,0.0,1095.0,,,
2000-05-04,188.25,188.25,188.25,188.25,,,0.0,1095.0,,,
2000-05-05,186.75,186.75,186.75,186.75,,,0.0,1095.0,,,
2000-05-08,188.5,188.5,188.5,188.5,,,0.0,1095.0,,,
2000-05-09,194.25,194.25,194.25,194.25,,,0.0,1095.0,,,
2000-05-10,196.0,196.0,196.0,196.0,,,0.0,1095.0,,,
2000-05-11,199.75,199.75,199.75,199.75,,,0.0,1095.0,,,
2000-05-12,196.0,196.0,196.0,196.0,,,0.0,1095.0,,,
2000-05-15,194.25,194.25,194.25,194.25,,,0.0,1095.0,,,
2000-05-16,195.5,196.0,195.5,196.0,,,0.0,1095.0,,,
2000-05-17,195.0,195.75,194.75,195.25,,,430.0,1245.0,,,
2000-05-18,196.5,198.5,196.5,198.5,,,10.0,1245.0,,,
2000-05-19,199.5,199.75,196.25,196.25,,,25.0,1270.0,,,
2000-05-22,191.25,191.25,191.25,191.25,,,100.0,1370.0,,,
2000-05-23,192.25,192.25,192.25,192.25,,,0.0,1370.0,,,
2000-05-24,196.5,196.5,196.5,196.5,,,0.0,1370.0,,,
2000-05-25,199.0,199.5,198.5,199.25,,,400.0,1770.0,,,
2000-05-26,200.75,201.5,200.75,201.25,,,135.0,1895.0,,,
2000-05-30,196.75,200.0,196.75,200.0,,,200.0,2095.0,,,
2000-05-31,200.5,200.5,196.75,196.75,,,250.0,2245.0,,,
2000-06-01,196.5,196.5,196.5,196.5,,,0.0,1995.0,,,
2000-06-02,198.5,198.5,198.5,198.5,,,0.0,1995.0,,,
2000-06-05,198.5,198.5,197.0,197.25,,,900.0,2795.0,,,
2000-06-06,201.0,201.75,197.5,201.75,,,5.0,2695.0,,,
2000-06-07,197.5,197.5,195.0,195.25,,,1015.0,3710.0,,,
2000-06-08,200.0,200.0,200.0,200.0,,,0.0,3545.0,,,
2000-06-09,197.75,197.75,197.75,197.75,,,0.0,3545.0,,,
2000-06-12,204.25,204.25,204.25,204.25,,,0.0,3545.0,,,
2000-06-13,203.75,206.5,203.5,206.5,,,15.0,3545.0,,,
2000-06-14,204.0,206.5,203.5,206.5,,,205.0,3590.0,,,
2000-06-15,203.0,203.0,201.25,201.25,,,15.0,3600.0,,,
2000-06-16,196.5,196.5,196.5,196.5,,,0.0,3600.0,,,
2000-06-19,191.0,191.0,191.0,191.0,,,0.0,3600.0,,,
2000-06-20,196.0,196.0,196.0,196.0,,,0.0,3600.0,,,
2000-06-21,198.0,205.0,198.0,205.0,,,820.0,3605.0,,,
2000-06-22,201.0,205.0,201.0,205.0,,,350.0,3855.0,,,
2000-06-23,207.5,207.5,207.5,207.5,,,0.0,3855.0,,,
