Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-06-13,,,,625.25,,,0.0,0.0,0.0,0.0,0.0
2006-06-14,,,,624.75,-0.5,,0.0,0.0,0.0,0.0,0.0
2006-06-15,,,,627.25,2.5,,0.0,0.0,0.0,0.0,0.0
2006-06-16,,,,620.0,-7.25,,0.0,0.0,0.0,0.0,0.0
2006-06-19,,,,614.25,-5.75,,0.0,0.0,0.0,0.0,0.0
2006-06-20,,,,608.25,-6.0,,0.0,0.0,0.0,0.0,0.0
2006-06-21,,,,608.5,0.25,,0.0,0.0,0.0,0.0,0.0
2006-06-22,,,,617.25,8.75,,0.0,0.0,0.0,0.0,0.0
2006-06-23,,,,618.75,1.5,,0.0,0.0,0.0,0.0,0.0
2006-06-26,,,,618.75,0.0,,0.0,0.0,0.0,0.0,0.0
2006-06-27,,,,630.25,11.5,,0.0,0.0,0.0,0.0,0.0
2006-06-28,,,,629.75,-0.5,,0.0,0.0,0.0,0.0,0.0
2006-06-29,,,,638.75,9.0,,0.0,0.0,0.0,0.0,0.0
2006-06-30,,,,640.0,1.25,,0.0,0.0,0.0,0.0,0.0
2006-07-03,,,,644.5,4.5,,0.0,0.0,0.0,0.0,0.0
2006-07-04,,,,640.25,-4.25,,0.0,0.0,0.0,0.0,0.0
2006-07-05,,,,646.5,6.25,,0.0,0.0,0.0,0.0,0.0
2006-07-06,,,,647.0,0.5,,0.0,0.0,0.0,0.0,0.0
2006-07-07,,,,658.5,11.5,,0.0,0.0,0.0,0.0,0.0
2006-07-10,,,,647.5,-11.0,,0.0,0.0,0.0,0.0,0.0
2006-07-11,,,,651.75,4.25,,0.0,0.0,0.0,0.0,0.0
2006-07-12,,,,647.5,-4.25,,0.0,0.0,0.0,0.0,0.0
2006-07-13,,,,663.0,15.5,,0.0,0.0,0.0,0.0,0.0
2006-07-14,,,,666.75,3.75,,0.0,0.0,0.0,0.0,0.0
2006-07-17,,,,664.75,-2.0,,0.0,0.0,0.0,0.0,0.0
2006-07-18,,,,666.5,1.75,,0.0,0.0,0.0,0.0,0.0
2006-07-19,,,,646.0,-20.5,,0.0,0.0,0.0,0.0,0.0
2006-07-20,,,,646.75,0.75,,0.0,0.0,0.0,0.0,0.0
2006-07-21,,,,647.25,0.5,,0.0,0.0,0.0,0.0,0.0
2006-07-24,,,,644.0,-3.25,,0.0,0.0,0.0,0.0,0.0
2006-07-25,,,,646.0,2.0,,0.0,0.0,0.0,0.0,0.0
2006-07-26,,,,654.0,8.0,,0.0,0.0,0.0,0.0,0.0
2006-07-27,,,,657.5,3.5,,0.0,0.0,0.0,0.0,0.0
2006-07-28,,,,647.75,-9.75,,0.0,0.0,0.0,0.0,0.0
2006-07-31,,,,651.75,4.0,,0.0,0.0,0.0,0.0,0.0
2006-08-01,,,,665.5,13.75,,0.0,0.0,0.0,0.0,0.0
2006-08-02,,,,670.75,5.25,,0.0,0.0,0.0,0.0,0.0
