Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1992-10-13,178.5,179.25,178.5,179.25,,,15.0,15.0,,,
1992-10-14,179.25,179.25,179.25,179.25,,,0.0,15.0,,,
1992-10-15,179.5,180.25,179.5,180.25,,,8.0,23.0,,,
1992-10-16,181.25,181.25,180.5,180.5,,,62.0,78.0,,,
1992-10-19,180.5,180.5,180.5,180.5,,,0.0,78.0,,,
1992-10-20,179.75,179.75,179.75,179.75,,,0.0,78.0,,,
1992-10-21,177.75,177.75,177.75,177.75,,,0.0,78.0,,,
1992-10-22,176.5,176.5,176.5,176.5,,,0.0,78.0,,,
1992-10-23,176.0,176.5,176.0,176.5,,,20.0,98.0,,,
1992-10-26,175.5,175.5,175.5,175.5,,,0.0,90.0,,,
1992-10-27,178.5,178.5,176.75,176.75,,,18.0,99.0,,,
1992-10-28,175.75,175.75,175.25,175.25,,,20.0,119.0,,,
1992-10-29,175.0,175.0,174.0,174.0,,,5.0,124.0,,,
1992-10-30,173.0,174.0,173.0,174.0,,,10.0,134.0,,,
1992-11-02,174.0,174.0,174.0,174.0,,,75.0,209.0,,,
1992-11-03,175.5,175.5,175.5,175.5,,,0.0,209.0,,,
1992-11-04,173.25,173.25,173.0,173.0,,,48.0,242.0,,,
1992-11-05,172.5,175.75,172.5,175.75,,,5.0,247.0,,,
1992-11-06,176.0,176.0,174.0,174.0,,,10.0,252.0,,,
1992-11-09,174.5,174.5,173.25,173.25,,,110.0,242.0,,,
1992-11-10,174.0,174.0,174.0,174.0,,,0.0,242.0,,,
1992-11-11,175.5,175.5,175.0,175.0,,,95.0,332.0,,,
1992-11-12,175.0,175.75,175.0,175.25,,,84.0,416.0,,,
1992-11-13,174.0,174.25,173.5,174.25,,,85.0,501.0,,,
1992-11-16,172.25,174.75,172.25,174.75,,,192.0,439.0,,,
1992-11-17,175.5,175.5,173.25,173.25,,,150.0,389.0,,,
1992-11-18,173.0,173.0,172.75,172.75,,,100.0,489.0,,,
1992-11-19,174.75,174.75,174.75,174.75,,,0.0,489.0,,,
1992-11-20,174.25,174.25,174.25,174.25,,,0.0,462.0,,,
1992-11-23,173.5,173.5,173.0,173.0,,,8.0,470.0,,,
1992-11-24,173.75,173.75,173.75,173.75,,,0.0,470.0,,,
1992-11-25,173.5,173.5,173.5,173.5,,,0.0,470.0,,,
1992-11-26,169.5,169.5,169.5,169.5,,,0.0,470.0,,,
1992-11-27,169.75,169.75,169.75,169.75,,,0.0,470.0,,,
1992-11-30,173.25,173.25,172.75,172.75,,,3.0,473.0,,,
1992-12-01,169.25,169.75,169.25,169.75,,,40.0,493.0,,,
1992-12-02,169.25,169.5,168.75,169.25,,,407.0,796.0,,,
1992-12-03,168.75,169.0,168.75,168.75,,,86.0,698.0,,,
1992-12-04,170.0,170.0,169.5,169.5,,,21.0,710.0,,,
1992-12-07,168.0,168.0,168.0,168.0,,,0.0,710.0,,,
1992-12-08,169.25,169.25,167.5,167.5,,,58.0,755.0,,,
1992-12-09,165.25,166.0,165.0,166.0,,,25.0,760.0,,,
1992-12-10,169.0,169.0,168.5,168.5,,,25.0,735.0,,,
1992-12-11,171.5,171.5,169.0,169.0,,,101.0,836.0,,,
1992-12-14,167.0,168.0,166.25,168.0,,,15.0,746.0,,,
1992-12-15,167.0,167.75,167.0,167.75,,,20.0,756.0,,,
1992-12-16,169.5,169.5,169.5,169.5,,,0.0,736.0,,,
1992-12-17,170.25,171.0,170.25,170.25,,,267.0,842.0,,,
1992-12-18,172.5,173.0,172.5,173.0,,,5.0,813.0,,,
1992-12-21,174.5,174.5,174.5,174.5,,,0.0,813.0,,,
1992-12-22,172.5,172.5,172.5,172.5,,,0.0,813.0,,,
1992-12-23,173.75,174.5,173.75,174.5,,,55.0,841.0,,,
1992-12-24,175.25,175.5,175.25,175.5,,,58.0,846.0,,,
1992-12-29,173.0,173.25,172.5,173.25,,,140.0,927.0,,,
1992-12-30,171.0,171.0,171.0,171.0,,,14.0,940.0,,,
1992-12-31,171.0,171.0,170.75,171.0,,,135.0,985.0,,,
1993-01-04,169.5,169.5,169.5,169.5,,,250.0,1129.0,,,
1993-01-05,168.5,169.0,168.5,169.0,,,22.0,1147.0,,,
1993-01-06,168.25,168.25,167.75,168.0,,,70.0,1169.0,,,
1993-01-07,169.0,169.25,168.0,168.0,,,221.0,1383.0,,,
1993-01-08,167.25,167.25,167.25,167.25,,,0.0,1195.0,,,
1993-01-11,168.0,168.25,167.75,167.75,,,7.0,1202.0,,,
1993-01-12,166.5,166.5,165.0,165.0,,,40.0,1209.0,,,
1993-01-13,167.0,167.0,167.0,167.0,,,0.0,1209.0,,,
1993-01-14,166.75,167.0,166.0,166.0,,,97.0,1275.0,,,
1993-01-15,168.25,168.25,168.25,168.25,,,108.0,1383.0,,,
1993-01-18,168.5,168.5,166.75,166.75,,,724.0,1797.0,,,
