Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1989-11-09,157.0,157.0,156.75,156.75,,,400.0,0.0,,,
1989-11-10,157.75,157.75,157.75,157.75,,,0.0,0.0,,,
1989-11-13,156.5,156.5,156.5,156.5,,,0.0,0.0,,,
1989-11-14,155.5,157.25,155.5,157.25,,,15.0,15.0,,,
1989-11-15,157.0,157.0,157.0,157.0,,,0.0,15.0,,,
1989-11-16,158.0,158.0,158.0,158.0,,,0.0,15.0,,,
1989-11-17,158.75,158.75,158.75,158.75,,,0.0,15.0,,,
1989-11-20,159.25,159.25,159.25,159.25,,,0.0,15.0,,,
1989-11-21,159.5,159.5,159.5,159.5,,,20.0,35.0,,,
1989-11-22,158.5,158.5,158.5,158.5,,,0.0,35.0,,,
1989-11-23,160.0,160.0,160.0,160.0,,,0.0,35.0,,,
1989-11-24,160.0,160.0,160.0,160.0,,,0.0,35.0,,,
1989-11-27,159.75,159.75,159.75,159.75,,,0.0,35.0,,,
1989-11-28,159.5,159.5,159.5,159.5,,,0.0,35.0,,,
1989-11-29,157.25,157.25,157.25,157.25,,,0.0,35.0,,,
1989-11-30,158.75,158.75,158.75,158.75,,,0.0,35.0,,,
1989-12-01,160.5,160.5,160.5,160.5,,,0.0,35.0,,,
1989-12-04,165.0,165.0,165.0,165.0,,,0.0,35.0,,,
1989-12-05,165.25,165.25,165.25,165.25,,,0.0,35.0,,,
1989-12-06,163.0,163.0,163.0,163.0,,,0.0,35.0,,,
1989-12-07,165.5,165.5,165.5,165.5,,,0.0,35.0,,,
1989-12-08,164.5,164.5,164.5,164.5,,,0.0,35.0,,,
1989-12-11,166.5,166.5,166.5,166.5,,,0.0,35.0,,,
1989-12-12,165.25,165.25,165.25,165.25,,,0.0,35.0,,,
1989-12-13,162.25,162.25,162.25,162.25,,,5.0,35.0,,,
1989-12-14,161.0,161.0,161.0,161.0,,,0.0,35.0,,,
1989-12-15,164.0,164.0,164.0,164.0,,,0.0,35.0,,,
