Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2011-08-12,0.0,0.0,0.0,911.25,911.25,,0.0,0.0,,,
2011-08-15,0.0,0.0,0.0,919.5,8.25,,0.0,0.0,,,
2011-08-16,0.0,0.0,0.0,927.25,7.75,,0.0,0.0,,,
2011-08-17,0.0,0.0,0.0,916.5,-10.75,,0.0,0.0,,,
2011-08-18,0.0,0.0,0.0,895.0,-21.5,,0.0,0.0,,,
2011-08-19,0.0,0.0,0.0,898.5,3.5,,0.0,0.0,,,
2011-08-22,0.0,0.0,0.0,894.5,-4.0,,0.0,0.0,,,
2011-08-23,0.0,0.0,0.0,901.75,7.25,,0.0,0.0,,,
2011-08-24,0.0,0.0,0.0,912.5,10.75,,0.0,0.0,,,
2011-08-25,0.0,0.0,0.0,914.75,2.25,,0.0,0.0,,,
2011-08-26,0.0,0.0,0.0,915.25,0.5,,0.0,0.0,,,
2011-08-29,0.0,0.0,0.0,923.25,8.0,,0.0,0.0,,,
2011-08-30,0.0,0.0,0.0,930.5,7.25,,0.0,0.0,,,
2011-08-31,0.0,0.0,0.0,925.25,-5.25,,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,922.75,-2.5,,0.0,0.0,,,
2011-09-02,0.0,0.0,0.0,912.0,-10.75,,0.0,0.0,,,
2011-09-05,0.0,0.0,0.0,897.5,-14.5,,0.0,0.0,,,
2011-09-06,0.0,0.0,0.0,902.0,4.5,,0.0,0.0,,,
2011-09-07,0.0,0.0,0.0,932.0,30.0,,0.0,0.0,,,
2011-09-08,0.0,0.0,0.0,920.0,-12.0,,0.0,0.0,,,
2011-09-09,0.0,0.0,0.0,891.75,-28.25,,0.0,0.0,,,
2011-09-12,0.0,0.0,0.0,889.0,-2.75,,0.0,0.0,,,
2011-09-13,0.0,0.0,0.0,885.5,-3.5,,0.0,0.0,,,
2011-09-14,0.0,0.0,0.0,882.75,-2.75,,0.0,0.0,,,
2011-09-15,0.0,0.0,0.0,901.25,18.5,,0.0,0.0,,,
2011-09-16,0.0,0.0,0.0,892.75,-8.5,,0.0,0.0,,,
2011-09-19,0.0,0.0,0.0,877.75,-15.0,,0.0,0.0,,,
2011-09-20,0.0,0.0,0.0,883.0,5.25,,0.0,0.0,,,
2011-09-21,0.0,0.0,0.0,884.5,1.5,,0.0,0.0,,,
2011-09-22,0.0,0.0,0.0,847.0,-37.5,,0.0,0.0,,,
2011-09-23,0.0,0.0,0.0,842.75,-4.25,,0.0,0.0,,,
2011-09-26,0.0,0.0,0.0,839.75,-3.0,,0.0,0.0,,,
2011-09-27,0.0,0.0,0.0,852.25,12.5,,0.0,0.0,,,
2011-09-28,0.0,0.0,0.0,843.0,-9.25,,0.0,0.0,,,
2011-09-29,0.0,0.0,0.0,835.0,-8.0,,0.0,0.0,,,
2011-09-30,0.0,0.0,0.0,825.25,-9.75,,0.0,0.0,,,
2011-10-03,0.0,0.0,0.0,815.75,-9.5,,0.0,0.0,,,
2011-10-04,0.0,0.0,0.0,805.5,-10.25,,0.0,0.0,,,
2011-10-05,0.0,0.0,0.0,818.0,12.5,,0.0,0.0,,,
2011-10-06,0.0,0.0,0.0,826.75,8.75,,0.0,0.0,,,
2011-10-07,0.0,0.0,0.0,837.75,11.0,,0.0,0.0,,,
2011-10-10,0.0,0.0,0.0,849.25,11.5,,0.0,0.0,,,
2011-10-11,0.0,0.0,0.0,846.5,-2.75,,0.0,0.0,,,
2011-10-12,0.0,0.0,0.0,851.25,4.75,,0.0,0.0,,,
2011-10-13,0.0,0.0,0.0,842.75,-8.5,,0.0,0.0,,,
2011-10-14,0.0,0.0,0.0,854.75,12.0,,0.0,0.0,,,
2011-10-17,0.0,0.0,0.0,857.0,2.25,,0.0,0.0,,,
2011-10-18,0.0,0.0,0.0,853.0,-4.0,,0.0,0.0,,,
2011-10-19,0.0,0.0,0.0,864.5,11.5,,0.0,0.0,,,
2011-10-20,0.0,0.0,0.0,844.5,-20.0,,0.0,0.0,,,
2011-10-21,0.0,0.0,0.0,857.5,13.0,,0.0,0.0,,,
2011-10-24,0.0,0.0,0.0,853.25,-4.25,,0.0,0.0,,,
2011-10-25,0.0,0.0,0.0,850.75,-2.5,,0.0,0.0,,,
2011-10-26,0.0,0.0,0.0,853.75,3.0,,0.0,0.0,,,
2011-10-27,0.0,0.0,0.0,873.75,20.0,,0.0,0.0,,,
2011-10-28,0.0,0.0,0.0,871.0,-2.75,,0.0,0.0,,,
2011-10-31,0.0,0.0,0.0,858.0,-13.0,,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,843.75,-14.25,,0.0,0.0,,,
2011-11-02,0.0,0.0,0.0,864.25,20.5,,0.0,0.0,,,
2011-11-03,0.0,0.0,0.0,867.5,3.25,,0.0,0.0,,,
2011-11-04,0.0,0.0,0.0,873.5,6.0,,0.0,0.0,,,
2011-11-07,0.0,0.0,0.0,880.5,7.0,,0.0,0.0,,,
2011-11-08,0.0,0.0,0.0,884.25,3.75,,0.0,0.0,,,
2011-11-09,0.0,0.0,0.0,887.75,3.5,,0.0,0.0,,,
2011-11-10,0.0,0.0,0.0,873.25,-14.5,,0.0,0.0,,,
2011-11-11,0.0,0.0,0.0,882.75,9.5,,0.0,0.0,,,
2011-11-14,0.0,0.0,0.0,885.5,2.75,,0.0,0.0,,,
2011-11-15,0.0,0.0,0.0,892.75,7.25,,0.0,0.0,,,
2011-11-16,0.0,0.0,0.0,891.0,-1.75,,0.0,0.0,,,
2011-11-17,0.0,0.0,0.0,889.75,-1.25,,0.0,0.0,,,
2011-11-18,0.0,0.0,0.0,885.75,-4.0,,0.0,0.0,,,
2011-11-21,0.0,0.0,0.0,871.5,-14.25,,0.0,0.0,,,
2011-11-22,0.0,0.0,0.0,880.25,8.75,,0.0,0.0,,,
2011-11-23,0.0,0.0,0.0,874.75,-5.5,,0.0,0.0,,,
2011-11-24,0.0,0.0,0.0,873.25,-1.5,,0.0,0.0,,,
2011-11-25,0.0,0.0,0.0,862.25,-11.0,,0.0,0.0,,,
2011-11-28,0.0,0.0,0.0,865.0,2.75,,0.0,0.0,,,
2011-11-29,0.0,0.0,0.0,870.5,5.5,,0.0,0.0,,,
2011-11-30,0.0,0.0,0.0,878.5,8.0,,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,873.75,-4.75,,0.0,0.0,,,
2011-12-02,0.0,0.0,0.0,882.25,8.5,,0.0,0.0,,,
2011-12-05,0.0,0.0,0.0,886.25,4.0,,0.0,0.0,,,
2011-12-06,0.0,0.0,0.0,885.25,-1.0,,0.0,0.0,,,
2011-12-07,0.0,0.0,0.0,884.5,-0.75,,0.0,0.0,,,
2011-12-08,0.0,0.0,0.0,884.25,-0.25,,0.0,0.0,,,
2011-12-09,0.0,0.0,0.0,886.0,1.75,,0.0,0.0,,,
2011-12-12,0.0,0.0,0.0,882.75,-3.25,,0.0,0.0,,,
2011-12-13,0.0,0.0,0.0,888.0,5.25,,0.0,0.0,,,
2011-12-14,0.0,0.0,0.0,864.75,-23.25,,0.0,0.0,,,
2011-12-15,0.0,0.0,0.0,859.0,-5.75,,0.0,0.0,,,
2011-12-16,0.0,0.0,0.0,853.5,-5.5,,0.0,0.0,,,
2011-12-19,0.0,0.0,0.0,848.0,-5.5,,0.0,0.0,,,
2011-12-20,0.0,0.0,0.0,860.25,12.25,,0.0,0.0,,,
2011-12-21,0.0,0.0,0.0,865.25,5.0,,0.0,0.0,,,
2011-12-22,0.0,0.0,0.0,869.25,4.0,,0.0,0.0,,,
2011-12-23,0.0,0.0,0.0,864.25,-5.0,,0.0,0.0,,,
2011-12-27,0.0,0.0,0.0,876.25,,,0.0,0.0,,,
2011-12-28,0.0,0.0,0.0,864.0,-12.25,,0.0,0.0,,,
2011-12-29,0.0,0.0,0.0,866.5,2.5,,0.0,0.0,,,
2011-12-30,0.0,0.0,0.0,867.0,0.5,,0.0,0.0,,,
2012-01-03,0.0,0.0,0.0,882.75,,,0.0,0.0,,,
2012-01-04,0.0,0.0,0.0,901.5,18.75,,0.0,0.0,,,
2012-01-05,0.0,0.0,0.0,908.5,7.0,,0.0,0.0,,,
2012-01-06,0.0,0.0,0.0,908.25,-0.25,,0.0,0.0,,,
2012-01-09,0.0,0.0,0.0,906.5,-1.75,,0.0,0.0,,,
2012-01-10,0.0,0.0,0.0,912.5,6.0,,0.0,0.0,,,
2012-01-11,0.0,0.0,0.0,905.5,-7.0,,0.0,0.0,,,
2012-01-12,0.0,0.0,0.0,909.0,3.5,,0.0,0.0,,,
2012-01-13,0.0,0.0,0.0,892.5,-16.5,,0.0,0.0,,,
2012-01-16,0.0,0.0,0.0,903.0,10.5,,0.0,0.0,,,
2012-01-17,0.0,0.0,0.0,903.5,0.5,,0.0,0.0,,,
2012-01-18,0.0,0.0,0.0,896.5,-7.0,,0.0,0.0,,,
2012-01-19,0.0,0.0,0.0,897.25,0.75,,0.0,0.0,,,
2012-01-20,0.0,0.0,0.0,889.5,-7.75,,0.0,0.0,,,
2012-01-23,0.0,0.0,0.0,894.0,4.5,,0.0,0.0,,,
2012-01-24,0.0,0.0,0.0,894.25,0.25,,0.0,0.0,,,
2012-01-25,0.0,0.0,0.0,894.0,-0.25,,0.0,0.0,,,
2012-01-26,0.0,0.0,0.0,894.0,0.0,,0.0,0.0,,,
2012-01-27,0.0,0.0,0.0,893.25,-0.75,,0.0,0.0,,,
2012-01-30,0.0,0.0,0.0,891.25,-2.0,,0.0,0.0,,,
2012-01-31,0.0,0.0,0.0,889.25,-2.0,,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,896.75,7.5,,0.0,0.0,,,
2012-02-02,0.0,0.0,0.0,892.75,-4.0,,0.0,0.0,,,
2012-02-03,0.0,0.0,0.0,898.75,6.0,,0.0,0.0,,,
2012-02-06,0.0,0.0,0.0,914.75,16.0,,0.0,0.0,,,
2012-02-07,0.0,0.0,0.0,920.75,6.0,,0.0,0.0,,,
2012-02-08,0.0,0.0,0.0,914.5,-6.25,,0.0,0.0,,,
2012-02-09,0.0,0.0,0.0,924.0,9.5,,0.0,0.0,,,
2012-02-10,0.0,0.0,0.0,918.5,-5.5,,0.0,0.0,,,
2012-02-13,0.0,0.0,0.0,921.5,3.0,,0.0,0.0,,,
2012-02-14,0.0,0.0,0.0,917.5,-4.0,,0.0,0.0,,,
2012-02-15,0.0,0.0,0.0,921.75,4.25,,0.0,0.0,,,
2012-02-16,0.0,0.0,0.0,920.25,-1.5,,0.0,0.0,,,
2012-02-17,0.0,0.0,0.0,918.25,-2.0,,0.0,0.0,,,
2012-02-20,0.0,0.0,0.0,930.75,12.5,,0.0,0.0,,,
2012-02-21,0.0,0.0,0.0,933.5,2.75,,0.0,0.0,,,
2012-02-22,0.0,0.0,0.0,925.75,-7.75,,0.0,0.0,,,
2012-02-23,0.0,0.0,0.0,927.75,2.0,,0.0,0.0,,,
2012-02-24,0.0,0.0,0.0,933.25,5.5,,0.0,0.0,,,
2012-02-27,0.0,0.0,0.0,935.0,1.75,,0.0,0.0,,,
2012-02-28,0.0,0.0,0.0,932.0,-3.0,,0.0,0.0,,,
2012-02-29,0.0,0.0,0.0,913.25,-18.75,,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,925.25,12.0,,0.0,0.0,,,
2012-03-02,0.0,0.0,0.0,921.75,-3.5,,0.0,0.0,,,
2012-03-05,0.0,0.0,0.0,929.0,7.25,,0.0,0.0,,,
2012-03-06,0.0,0.0,0.0,927.25,-1.75,,0.0,0.0,,,
2012-03-07,0.0,0.0,0.0,933.25,6.0,,0.0,0.0,,,
2012-03-08,0.0,0.0,0.0,945.25,12.0,,0.0,0.0,,,
2012-03-09,0.0,0.0,0.0,942.75,-2.5,,0.0,0.0,,,
2012-03-12,0.0,0.0,0.0,943.5,0.75,,0.0,0.0,,,
2012-03-13,0.0,0.0,0.0,949.5,6.0,,0.0,0.0,,,
2012-03-14,0.0,0.0,0.0,948.25,-1.25,,0.0,0.0,,,
2012-03-15,0.0,0.0,0.0,939.25,-9.0,,0.0,0.0,,,
2012-03-16,0.0,0.0,0.0,944.75,5.5,,0.0,0.0,,,
2012-03-19,0.0,0.0,0.0,946.25,1.5,,0.0,0.0,,,
2012-03-20,0.0,0.0,0.0,944.0,-2.25,,0.0,0.0,,,
2012-03-21,0.0,0.0,0.0,939.25,-4.75,,0.0,0.0,,,
2012-03-22,0.0,0.0,0.0,932.0,-7.25,,0.0,0.0,,,
