Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2010-09-13,0.0,0.0,0.0,776.0,776.0,,0.0,0.0,,,
2010-09-14,0.0,0.0,0.0,778.5,2.5,,0.0,0.0,,,
2010-09-15,0.0,0.0,0.0,775.5,-3.0,,0.0,0.0,,,
2010-09-16,0.0,0.0,0.0,775.0,-0.5,,0.0,0.0,,,
2010-09-17,0.0,0.0,0.0,762.5,-12.5,,0.0,0.0,,,
2010-09-20,0.0,0.0,0.0,774.25,11.75,,0.0,0.0,,,
2010-09-21,0.0,0.0,0.0,769.25,-5.0,,0.0,0.0,,,
2010-09-22,0.0,0.0,0.0,763.5,-5.75,,0.0,0.0,,,
2010-09-23,0.0,0.0,0.0,767.0,3.5,,0.0,0.0,,,
2010-09-24,0.0,0.0,0.0,771.25,4.25,,0.0,0.0,,,
2010-09-27,0.0,0.0,0.0,761.75,-9.5,,0.0,0.0,,,
2010-09-28,0.0,0.0,0.0,773.75,12.0,,0.0,0.0,,,
2010-09-29,0.0,0.0,0.0,777.5,3.75,,0.0,0.0,,,
2010-09-30,0.0,0.0,0.0,787.5,10.0,,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,801.0,13.5,,0.0,0.0,,,
2010-10-04,0.0,0.0,0.0,804.25,3.25,,0.0,0.0,,,
2010-10-05,0.0,0.0,0.0,805.75,1.5,,0.0,0.0,,,
2010-10-06,0.0,0.0,0.0,813.25,7.5,,0.0,0.0,,,
2010-10-07,0.0,0.0,0.0,799.0,-14.25,,0.0,0.0,,,
2010-10-08,0.0,0.0,0.0,800.75,1.75,,0.0,0.0,,,
2010-10-11,0.0,0.0,0.0,798.25,-2.5,,0.0,0.0,,,
2010-10-12,0.0,0.0,0.0,796.0,-2.25,,0.0,0.0,,,
2010-10-13,0.0,0.0,0.0,805.0,9.0,,0.0,0.0,,,
2010-10-14,0.0,0.0,0.0,802.0,-3.0,,0.0,0.0,,,
2010-10-15,0.0,0.0,0.0,791.25,-10.75,,0.0,0.0,,,
2010-10-18,0.0,0.0,0.0,795.0,3.75,,0.0,0.0,,,
2010-10-19,0.0,0.0,0.0,784.25,-10.75,,0.0,0.0,,,
2010-10-20,0.0,0.0,0.0,788.0,3.75,,0.0,0.0,,,
2010-10-21,0.0,0.0,0.0,783.75,-4.25,,0.0,0.0,,,
2010-10-22,0.0,0.0,0.0,780.5,-3.25,,0.0,0.0,,,
2010-10-25,0.0,0.0,0.0,790.75,10.25,,0.0,0.0,,,
2010-10-26,0.0,0.0,0.0,790.0,-0.75,,0.0,0.0,,,
2010-10-27,0.0,0.0,0.0,777.0,-13.0,,0.0,0.0,,,
2010-10-28,0.0,0.0,0.0,788.75,11.75,,0.0,0.0,,,
2010-10-29,0.0,0.0,0.0,783.25,-5.5,,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,792.25,9.0,,0.0,0.0,,,
2010-11-02,0.0,0.0,0.0,796.25,4.0,,0.0,0.0,,,
2010-11-03,0.0,0.0,0.0,799.5,3.25,,0.0,0.0,,,
2010-11-04,0.0,0.0,0.0,808.5,9.0,,0.0,0.0,,,
2010-11-05,0.0,0.0,0.0,806.0,-2.5,,0.0,0.0,,,
2010-11-08,0.0,0.0,0.0,811.75,5.75,,0.0,0.0,,,
2010-11-09,0.0,0.0,0.0,815.75,4.0,,0.0,0.0,,,
2010-11-10,0.0,0.0,0.0,813.25,-2.5,,0.0,0.0,,,
2010-11-11,0.0,0.0,0.0,815.75,2.5,,0.0,0.0,,,
2010-11-12,0.0,0.0,0.0,803.25,-12.5,,0.0,0.0,,,
2010-11-15,0.0,0.0,0.0,799.75,-3.5,,0.0,0.0,,,
2010-11-16,0.0,0.0,0.0,786.5,-13.25,,0.0,0.0,,,
2010-11-17,0.0,0.0,0.0,777.75,-8.75,,0.0,0.0,,,
2010-11-18,0.0,0.0,0.0,778.75,1.0,,0.0,0.0,,,
2010-11-19,0.0,0.0,0.0,771.25,-7.5,,0.0,0.0,,,
2010-11-22,0.0,0.0,0.0,768.0,-3.25,,0.0,0.0,,,
2010-11-23,0.0,0.0,0.0,768.5,0.5,,0.0,0.0,,,
2010-11-24,0.0,0.0,0.0,784.75,16.25,,0.0,0.0,,,
2010-11-25,0.0,0.0,0.0,792.5,7.75,,0.0,0.0,,,
2010-11-26,0.0,0.0,0.0,786.25,-6.25,,0.0,0.0,,,
2010-11-29,0.0,0.0,0.0,797.75,11.5,,0.0,0.0,,,
2010-11-30,0.0,0.0,0.0,793.25,-4.5,,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,798.0,4.75,,0.0,0.0,,,
2010-12-02,0.0,0.0,0.0,805.25,7.25,,0.0,0.0,,,
2010-12-03,0.0,0.0,0.0,797.5,-7.75,,0.0,0.0,,,
2010-12-06,0.0,0.0,0.0,789.75,-7.75,,0.0,0.0,,,
2010-12-07,0.0,0.0,0.0,798.25,8.5,,0.0,0.0,,,
2010-12-08,0.0,0.0,0.0,802.5,4.25,,0.0,0.0,,,
2010-12-09,0.0,0.0,0.0,804.25,1.75,,0.0,0.0,,,
2010-12-10,0.0,0.0,0.0,796.5,-7.75,,0.0,0.0,,,
2010-12-13,0.0,0.0,0.0,803.25,6.75,,0.0,0.0,,,
2010-12-14,0.0,0.0,0.0,805.5,2.25,,0.0,0.0,,,
2010-12-15,0.0,0.0,0.0,808.25,2.75,,0.0,0.0,,,
2010-12-16,0.0,0.0,0.0,805.75,-2.5,,0.0,0.0,,,
2010-12-17,0.0,0.0,0.0,804.0,-1.75,,0.0,0.0,,,
2010-12-20,0.0,0.0,0.0,804.0,0.0,,0.0,0.0,,,
2010-12-21,0.0,0.0,0.0,815.75,11.75,,0.0,0.0,,,
2010-12-22,0.0,0.0,0.0,816.75,1.0,,0.0,0.0,,,
2010-12-23,0.0,0.0,0.0,820.5,3.75,,0.0,0.0,,,
2010-12-24,0.0,0.0,0.0,816.0,-4.5,,0.0,0.0,,,
2010-12-27,0.0,0.0,0.0,815.25,-0.75,,0.0,0.0,,,
2010-12-28,0.0,0.0,0.0,818.5,3.25,,0.0,0.0,,,
2010-12-29,0.0,0.0,0.0,820.0,1.5,,0.0,0.0,,,
2010-12-30,0.0,0.0,0.0,809.25,-10.75,,0.0,0.0,,,
2010-12-31,0.0,0.0,0.0,807.25,-2.0,,0.0,0.0,,,
2011-01-03,0.0,0.0,0.0,831.0,23.75,,0.0,0.0,,,
2011-01-04,0.0,0.0,0.0,815.25,-15.75,,0.0,0.0,,,
2011-01-05,0.0,0.0,0.0,828.5,13.25,,0.0,0.0,,,
2011-01-06,0.0,0.0,0.0,834.25,5.75,,0.0,0.0,,,
2011-01-07,0.0,0.0,0.0,825.75,-8.5,,0.0,0.0,,,
2011-01-10,0.0,0.0,0.0,836.25,10.5,,0.0,0.0,,,
2011-01-11,0.0,0.0,0.0,843.5,7.25,,0.0,0.0,,,
2011-01-12,0.0,0.0,0.0,849.25,5.75,,0.0,0.0,,,
2011-01-13,0.0,0.0,0.0,849.75,0.5,,0.0,0.0,,,
2011-01-14,0.0,0.0,0.0,851.75,2.0,,0.0,0.0,,,
2011-01-17,0.0,0.0,0.0,850.25,-1.5,,0.0,0.0,,,
2011-01-18,0.0,0.0,0.0,854.0,3.75,,0.0,0.0,,,
2011-01-19,0.0,0.0,0.0,855.0,1.0,,0.0,0.0,,,
2011-01-20,0.0,0.0,0.0,844.5,-10.5,,0.0,0.0,,,
2011-01-21,0.0,0.0,0.0,851.75,7.25,,0.0,0.0,,,
2011-01-24,0.0,0.0,0.0,858.5,6.75,,0.0,0.0,,,
2011-01-25,0.0,0.0,0.0,848.0,-10.5,,0.0,0.0,,,
2011-01-26,0.0,0.0,0.0,858.5,10.5,,0.0,0.0,,,
2011-01-27,0.0,0.0,0.0,863.5,5.0,,0.0,0.0,,,
2011-01-28,0.0,0.0,0.0,871.25,7.75,,0.0,0.0,,,
2011-01-31,0.0,0.0,0.0,880.25,9.0,,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,887.25,7.0,,0.0,0.0,,,
2011-02-02,0.0,0.0,0.0,899.25,12.0,,0.0,0.0,,,
2011-02-03,0.0,0.0,0.0,906.75,7.5,,0.0,0.0,,,
2011-02-04,0.0,0.0,0.0,892.75,-14.0,,0.0,0.0,,,
2011-02-07,0.0,0.0,0.0,895.0,2.25,,0.0,0.0,,,
2011-02-08,0.0,0.0,0.0,894.5,-0.5,,0.0,0.0,,,
2011-02-09,0.0,0.0,0.0,899.75,5.25,,0.0,0.0,,,
2011-02-10,0.0,0.0,0.0,906.75,7.0,,0.0,0.0,,,
2011-02-11,0.0,0.0,0.0,898.0,-8.75,,0.0,0.0,,,
2011-02-14,0.0,0.0,0.0,916.0,18.0,,0.0,0.0,,,
