Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2014-06-03,,,,92.83,0.19,,,0.0,,,
2014-06-13,,,,789.25,789.25,,,0.0,,,
2014-06-16,,,,796.5,7.25,,,0.0,,,
2014-06-17,,,,805.0,8.5,,,0.0,,,
2014-06-18,,,,808.25,3.25,,,0.0,,,
2014-06-19,,,,816.0,7.75,,,0.0,,,
2014-06-20,,,,814.75,-1.25,,,0.0,,,
2014-06-23,,,,813.5,-1.25,,,0.0,,,
2014-06-24,,,,822.5,9.0,,,0.0,,,
2014-06-25,,,,816.75,-5.75,,,0.0,,,
2014-06-26,,,,814.0,-2.75,,,0.0,,,
2014-06-27,,,,813.0,-1.0,,,0.0,,,
2014-06-30,,,,812.5,-0.5,,,0.0,,,
2014-07-01,,,,812.5,0.0,,,0.0,,,
2014-07-02,,,,812.75,0.25,,,0.0,,,
2014-07-03,,,,812.25,-0.5,,,0.0,,,
2014-07-04,,,,807.75,-4.5,,,0.0,,,
2014-07-07,,,,808.25,0.5,,,0.0,,,
2014-07-08,,,,811.75,3.5,,,0.0,,,
2014-07-09,,,,811.25,-0.5,,,0.0,,,
2014-07-10,,,,815.75,4.5,,,0.0,,,
2014-07-11,,,,812.5,-3.25,,,0.0,,,
2014-07-14,,,,815.5,3.0,,,0.0,,,
2014-07-15,,,,817.25,1.75,,,0.0,,,
2014-07-16,,,,813.75,-3.5,,,0.0,,,
2014-07-17,,,,811.5,-2.25,,,0.0,,,
2014-07-18,,,,811.25,-0.25,,,0.0,,,
2014-07-21,,,,810.25,-1.0,,,0.0,,,
2014-07-22,,,,810.75,0.5,,,0.0,,,
2014-07-23,,,,811.75,1.0,,,0.0,,,
2014-07-24,,,,811.5,-0.25,,,0.0,,,
2014-07-25,,,,816.0,4.5,,,0.0,,,
2014-07-28,,,,813.5,-2.5,,,0.0,,,
2014-07-29,,,,816.25,2.75,,,0.0,,,
2014-07-30,,,,818.75,2.5,,,0.0,,,
2014-07-31,,,,816.5,-2.25,,,0.0,,,
2014-08-01,,,,813.25,-3.25,,,0.0,,,
2014-08-04,,,,817.25,4.0,,,0.0,,,
2014-08-05,,,,809.5,-7.75,,,0.0,,,
2014-08-06,,,,815.0,5.5,,,0.0,,,
2014-08-07,,,,820.5,5.5,,,0.0,,,
2014-08-08,,,,820.5,0.0,,,0.0,,,
2014-08-11,,,,822.75,2.25,,,0.0,,,
2014-08-12,,,,818.75,-4.0,,,0.0,,,
2014-08-13,,,,817.75,-1.0,,,0.0,,,
2014-08-14,,,,812.75,-5.0,,,0.0,,,
2014-08-15,,,,818.25,5.5,,,0.0,,,
2014-08-18,,,,816.25,-2.0,,,0.0,,,
2014-08-19,,,,817.75,1.5,,,0.0,,,
2014-08-20,,,,812.25,-5.5,,,0.0,,,
2014-08-21,,,,813.5,1.25,,,0.0,,,
2014-08-22,,,,811.25,-2.25,,,0.0,,,
2014-08-25,,,,813.25,2.0,,,0.0,,,
2014-08-26,,,,813.0,-0.25,,,0.0,,,
2014-08-27,,,,812.0,-1.0,,,0.0,,,
2014-08-28,,,,807.5,-4.5,,,0.0,,,
2014-08-29,,,,804.75,-2.75,,,0.0,,,
2014-09-01,,,,803.0,-1.75,,,0.0,,,
2014-09-02,,,,799.5,-3.5,,,0.0,,,
2014-09-03,,,,804.0,4.5,,,0.0,,,
2014-09-04,,,,800.0,-4.0,,,0.0,,,
2014-09-05,,,,796.0,-4.0,,,0.0,,,
2014-09-08,,,,796.0,0.0,,,0.0,,,
2014-09-09,,,,799.5,3.5,,,0.0,,,
2014-09-10,,,,806.5,7.0,,,0.0,,,
2014-09-11,,,,814.75,8.25,,,0.0,,,
2014-09-12,,,,821.0,6.25,,,0.0,,,
2014-09-15,,,,823.0,2.0,,,0.0,,,
2014-09-16,,,,826.0,3.0,,,0.0,,,
2014-09-17,,,,829.25,3.25,,,0.0,,,
2014-09-18,,,,825.0,-4.25,,,0.0,,,
2014-09-19,,,,825.0,0.0,,,0.0,,,
2014-09-22,,,,824.0,-1.0,,,0.0,,,
2014-09-23,,,,824.5,0.5,,,0.0,,,
2014-09-24,,,,826.25,1.75,,,0.0,,,
2014-09-25,,,,828.5,2.25,,,0.0,,,
2014-09-26,,,,822.5,-6.0,,,0.0,,,
2014-09-29,,,,819.5,-3.0,,,0.0,,,
2014-09-30,,,,812.75,-6.75,,,0.0,,,
2014-10-01,,,,813.0,0.25,,,0.0,,,
2014-10-02,,,,798.5,-14.5,,,0.0,,,
2014-10-06,,,,797.5,1.75,,,0.0,,,
2014-10-07,,,,799.25,1.75,,,0.0,,,
2014-10-08,,,,797.25,-2.0,,,0.0,,,
2014-10-09,,,,796.5,-0.75,,,0.0,,,
2014-10-10,,,,789.75,-6.75,,,0.0,,,
2014-10-13,,,,795.0,5.25,,,0.0,,,
2014-10-14,,,,786.5,-8.5,,,0.0,,,
2014-10-15,,,,781.0,-5.5,,,0.0,,,
2014-10-16,,,,774.0,-7.0,,,0.0,,,
2014-10-17,,,,777.5,3.5,,,0.0,,,
2014-10-20,,,,776.0,-1.5,,,0.0,,,
2014-10-21,,,,767.5,-8.5,,,0.0,,,
2014-10-22,,,,770.5,3.0,,,0.0,,,
2014-10-23,,,,772.75,2.25,,,0.0,,,
2014-10-24,,,,773.25,0.5,,,0.0,,,
2014-10-27,,,,777.5,4.25,,,0.0,,,
2014-10-28,,,,780.5,3.0,,,0.0,,,
2014-10-29,,,,786.75,6.25,,,0.0,,,
2014-10-30,,,,782.25,-4.5,,,0.0,,,
2014-10-31,,,,777.25,-5.0,,,0.0,,,
2014-11-03,,,,781.25,4.0,,,0.0,,,
2014-11-04,,,,769.25,-12.0,,,0.0,,,
2014-11-05,,,,765.75,-3.5,,,0.0,,,
2014-11-06,,,,765.25,-0.5,,,0.0,,,
2014-11-07,,,,771.25,6.0,,,0.0,,,
2014-11-10,,,,769.5,-1.75,,,0.0,,,
2014-11-11,,,,764.75,-4.75,,,0.0,,,
2014-11-12,,,,763.75,-1.0,,,0.0,,,
2014-11-13,,,,752.5,-11.25,,,0.0,,,
2014-11-14,,,,750.5,-2.0,,,0.0,,,
2014-11-17,,,,751.0,0.5,,,0.0,,,
2014-11-18,,,,754.0,3.0,,,0.0,,,
2014-11-19,,,,786.25,32.25,,,0.0,,,
2014-11-20,,,,787.25,1.0,,,0.0,,,
2014-11-21,,,,796.25,9.0,,,0.0,,,
2014-11-24,,,,799.5,3.25,,,0.0,,,
2014-11-25,,,,788.25,-11.25,,,0.0,,,
2014-11-26,,,,792.75,4.5,,,0.0,,,
2014-11-27,,,,761.0,-31.75,,,0.0,,,
2014-11-28,,,,773.75,12.75,,,0.0,,,
2014-12-01,,,,763.0,-10.75,,,0.0,,,
2014-12-02,,,,766.25,3.25,,,0.0,,,
2014-12-03,,,,760.75,-5.5,,,0.0,,,
2014-12-04,,,,752.75,-8.0,,,0.0,,,
2014-12-05,,,,748.75,-4.0,,,0.0,,,
2014-12-08,,,,737.0,-11.75,,,0.0,,,
2014-12-09,,,,735.0,-2.0,,,0.0,,,
2014-12-10,,,,712.75,-22.25,,,0.0,,,
2014-12-11,,,,712.5,-0.25,,,0.0,,,
2014-12-12,,,,701.25,-11.25,,,0.0,,,
2014-12-15,,,,690.75,-10.5,,,0.0,,,
2014-12-16,,,,685.5,-5.25,,,0.0,,,
2014-12-17,,,,679.25,-6.25,,,0.0,,,
2014-12-18,,,,672.0,-7.25,,,0.0,,,
2014-12-19,,,,677.75,5.75,,,0.0,,,
2014-12-22,,,,682.0,4.25,,,0.0,,,
2014-12-23,,,,694.5,12.5,,,0.0,,,
2014-12-24,,,,690.25,-4.25,,,0.0,,,
2014-12-26,,,,690.25,,,,0.0,,,
2014-12-29,,,,687.0,-3.25,,,0.0,,,
2014-12-30,,,,678.25,-8.75,,,0.0,,,
2014-12-31,,,,674.25,-4.0,,,0.0,,,
2015-01-02,,,,686.0,,,,0.0,,,
2015-01-05,663.25,663.25,663.25,663.25,-22.75,,,0.0,,,
2015-01-06,657.25,657.25,657.25,657.25,-6.0,,,0.0,,,
2015-01-07,643.75,643.75,643.75,643.75,-13.5,,,0.0,,,
2015-01-08,640.75,640.75,640.75,640.75,-3.0,,,0.0,,,
2015-01-09,640.25,640.25,640.25,640.25,-0.5,,,0.0,,,
2015-01-12,638.0,638.0,638.0,638.0,-2.25,,,0.0,,,
2015-01-13,634.25,634.25,634.25,634.25,-3.75,,,0.0,,,
2015-01-14,635.0,635.0,635.0,635.0,0.75,,,0.0,,,
2015-01-15,637.5,637.5,637.5,637.5,2.5,,,0.0,,,
2015-01-16,636.5,636.5,636.5,636.5,-1.0,,,0.0,,,
2015-01-19,635.5,635.5,635.5,635.5,-1.0,,,0.0,,,
2015-01-20,636.75,636.75,636.75,636.75,1.25,,,0.0,,,
2015-01-21,630.5,630.5,630.5,630.5,-6.25,,,0.0,,,
2015-01-22,633.25,633.25,633.25,633.25,2.75,,,0.0,,,
2015-01-23,639.0,639.0,639.0,639.0,5.75,,,0.0,,,
2015-01-26,636.25,636.25,636.25,636.25,-2.75,,,0.0,,,
2015-01-27,637.5,637.5,637.5,637.5,1.25,,,0.0,,,
2015-01-28,639.25,639.25,639.25,639.25,1.75,,,0.0,,,
2015-01-29,636.25,636.25,636.25,636.25,-3.0,,,0.0,,,
2015-01-30,638.75,638.75,638.75,638.75,2.5,,,0.0,,,
2015-02-02,660.25,660.25,660.25,660.25,21.5,,,0.0,,,
2015-02-03,679.25,679.25,679.25,679.25,19.0,,,0.0,,,
2015-02-04,679.0,679.0,679.0,679.0,-0.25,,,0.0,,,
2015-02-05,706.5,706.5,706.5,706.5,27.5,,,0.0,,,
2015-02-06,706.5,706.5,706.5,706.5,0.0,,,0.0,,,
2015-02-09,712.5,712.5,712.5,712.5,6.0,,,0.0,,,
2015-02-10,709.0,709.0,709.0,709.0,-3.5,,,0.0,,,
2015-02-11,704.75,704.75,704.75,704.75,-4.25,,,0.0,,,
2015-02-12,716.75,716.75,716.75,716.75,12.0,,,0.0,,,
2015-02-13,720.0,720.0,720.0,720.0,3.25,,,0.0,,,
2015-02-16,723.0,723.0,723.0,723.0,3.0,,,0.0,,,
2015-02-17,721.5,721.5,721.5,721.5,-1.5,,,0.0,,,
2015-02-18,722.5,722.5,722.5,722.5,1.0,,,0.0,,,
2015-02-19,708.75,708.75,708.75,708.75,-13.75,,,0.0,,,
2015-02-20,713.75,713.75,713.75,713.75,5.0,,,0.0,,,
2015-02-23,713.5,713.5,713.5,713.5,-0.25,,,0.0,,,
2015-02-24,716.75,716.75,716.75,716.75,3.25,,,0.0,,,
2015-02-25,715.5,715.5,715.5,715.5,-1.25,,,0.0,,,
2015-02-26,716.25,716.25,716.25,716.25,0.75,,,0.0,,,
2015-02-27,723.5,723.5,723.5,723.5,7.25,,,0.0,,,
2015-03-02,717.0,717.0,717.0,717.0,-6.5,,,0.0,,,
2015-03-03,721.25,721.25,721.25,721.25,4.25,,,0.0,,,
2015-03-04,706.75,706.75,706.75,706.75,-14.5,,,0.0,,,
2015-03-05,709.75,709.75,709.75,709.75,3.0,,,0.0,,,
2015-03-06,705.25,705.25,705.25,705.25,-4.5,,,0.0,,,
2015-03-09,698.5,698.5,698.5,698.5,-6.75,,,0.0,,,
2015-03-10,683.5,683.5,683.5,683.5,-15.0,,,0.0,,,
2015-03-11,687.75,687.75,687.75,687.75,4.25,,,0.0,,,
2015-03-12,687.0,687.0,687.0,687.0,-0.75,,,0.0,,,
2015-03-13,677.5,677.5,677.5,677.5,-9.5,,,0.0,,,
2015-03-16,673.25,673.25,673.25,673.25,-4.25,,,0.0,,,
2015-03-17,672.5,672.5,672.5,672.5,-0.75,,,0.0,,,
2015-03-18,680.0,680.0,680.0,680.0,7.5,,,0.0,,,
2015-03-19,679.0,679.0,679.0,679.0,-1.0,,,0.0,,,
2015-03-20,682.75,682.75,682.75,682.75,3.75,,,0.0,,,
2015-03-23,687.25,687.25,687.25,687.25,4.5,,,0.0,,,
2015-03-24,685.5,685.5,685.5,685.5,-1.75,,,0.0,,,
2015-03-25,683.75,683.75,683.75,683.75,-1.75,,,0.0,,,
2015-03-26,694.75,694.75,694.75,694.75,11.0,,,0.0,,,
2015-03-27,688.25,688.25,688.25,688.25,-6.5,,,0.0,,,
2015-03-30,679.5,679.5,679.5,679.5,-8.75,,,0.0,,,
2015-03-31,684.75,684.75,684.75,684.75,5.25,,,0.0,,,
2015-04-01,688.5,688.5,688.5,688.5,3.75,,,0.0,,,
2015-04-02,675.75,675.75,675.75,675.75,-12.75,,,0.0,,,
2015-04-06,689.0,689.0,689.0,689.0,,,,0.0,,,
2015-04-07,679.5,679.5,679.5,679.5,-9.5,,,0.0,,,
2015-04-08,674.0,674.0,674.0,674.0,-5.5,,,0.0,,,
2015-04-09,678.0,678.0,678.0,678.0,4.0,,,0.0,,,
2015-04-10,683.0,683.0,683.0,683.0,5.0,,,0.0,,,
2015-04-13,683.0,683.0,683.0,683.0,0.0,,,0.0,,,
2015-04-14,684.5,684.5,684.5,684.5,1.5,,,0.0,,,
2015-04-15,686.0,686.0,686.0,686.0,1.5,,,0.0,,,
2015-04-16,692.75,692.75,692.75,692.75,6.75,,,0.0,,,
2015-04-17,695.0,695.0,695.0,695.0,2.25,,,0.0,,,
2015-04-20,692.0,692.0,692.0,692.0,-3.0,,,0.0,,,
2015-04-21,691.5,691.5,691.5,691.5,-0.5,,,0.0,,,
2015-04-22,694.75,694.75,694.75,694.75,3.25,,,0.0,,,
2015-04-23,702.0,702.0,702.0,702.0,7.25,,,0.0,,,
2015-04-24,702.0,702.0,702.0,702.0,0.0,,,0.0,,,
2015-04-27,699.0,699.0,699.0,699.0,-3.0,,,0.0,,,
2015-04-28,696.5,696.5,696.5,696.5,-2.5,,,0.0,,,
2015-04-29,702.5,702.5,702.5,702.5,6.0,,,0.0,,,
