Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1996-10-11,175.0,175.0,175.0,175.0,,,0.0,0.0,,,
1996-10-14,179.25,179.25,179.25,179.25,,,0.0,0.0,,,
1996-10-15,178.75,178.75,178.75,178.75,,,0.0,0.0,,,
1996-10-16,177.75,177.75,177.75,177.75,,,0.0,0.0,,,
1996-10-17,179.75,179.75,179.75,179.75,,,0.0,0.0,,,
1996-10-18,180.25,180.25,180.25,180.25,,,0.0,0.0,,,
1996-10-21,182.0,182.0,182.0,182.0,,,0.0,0.0,,,
1996-10-22,181.5,181.5,181.5,181.5,,,0.0,0.0,,,
1996-10-23,182.0,184.25,182.0,184.25,,,2.0,2.0,,,
1996-10-24,184.5,184.5,184.5,184.5,,,0.0,2.0,,,
1996-10-25,183.0,183.0,183.0,183.0,,,0.0,2.0,,,
1996-10-28,184.25,184.25,184.25,184.25,,,0.0,2.0,,,
1996-10-29,180.0,181.5,180.0,181.5,,,15.0,17.0,,,
1996-10-30,180.0,180.0,180.0,180.0,,,0.0,17.0,,,
1996-10-31,179.75,179.75,179.75,179.75,,,0.0,17.0,,,
1996-11-01,177.75,178.25,175.5,175.5,,,305.0,310.0,,,
1996-11-04,175.0,175.0,175.0,175.0,,,0.0,310.0,,,
1996-11-05,175.5,175.5,175.5,175.5,,,0.0,310.0,,,
1996-11-06,176.75,176.75,176.75,176.75,,,0.0,310.0,,,
1996-11-07,178.0,178.0,175.75,175.75,,,30.0,340.0,,,
1996-11-08,179.0,179.0,177.0,177.0,,,8.0,348.0,,,
1996-11-11,179.5,179.5,179.5,179.5,,,0.0,348.0,,,
1996-11-12,179.0,179.0,179.0,179.0,,,0.0,348.0,,,
1996-11-13,181.0,181.0,181.0,181.0,,,0.0,348.0,,,
1996-11-14,184.5,184.5,184.5,184.5,,,0.0,348.0,,,
1996-11-15,182.75,182.75,182.75,182.75,,,0.0,348.0,,,
1996-11-18,182.5,182.5,182.5,182.5,,,0.0,348.0,,,
1996-11-19,183.75,183.75,183.75,183.75,,,0.0,348.0,,,
1996-11-20,183.5,183.5,183.5,183.5,,,0.0,348.0,,,
1996-11-21,182.5,182.5,182.5,182.5,,,0.0,348.0,,,
1996-11-22,182.5,182.75,182.5,182.75,,,10.0,348.0,,,
1996-11-25,176.75,176.75,176.75,176.75,,,0.0,348.0,,,
1996-11-26,179.0,179.0,176.25,176.25,,,511.0,796.0,,,
1996-11-27,177.0,177.75,177.0,177.75,,,170.0,896.0,,,
1996-11-28,177.5,177.5,177.5,177.5,,,0.0,896.0,,,
1996-11-29,177.5,177.5,177.5,177.5,,,0.0,896.0,,,
