Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2007-04-20,0.0,0.0,0.0,613.5,,,0.0,0.0,0.0,0.0,0.0
2007-04-23,0.0,0.0,0.0,626.0,12.5,,0.0,0.0,0.0,0.0,0.0
2007-04-24,0.0,0.0,0.0,628.75,2.75,,0.0,0.0,0.0,0.0,0.0
2007-04-25,0.0,0.0,0.0,627.75,-1.0,,0.0,0.0,0.0,0.0,0.0
2007-04-26,0.0,0.0,0.0,630.0,2.25,,0.0,0.0,0.0,0.0,0.0
2007-04-27,0.0,0.0,0.0,626.5,-3.5,,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,630.75,4.25,,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,633.25,2.5,,0.0,0.0,0.0,0.0,0.0
2007-05-02,0.0,0.0,0.0,620.5,-12.75,,0.0,0.0,0.0,0.0,0.0
2007-05-03,0.0,0.0,0.0,619.0,-1.5,,0.0,0.0,0.0,0.0,0.0
2007-05-04,0.0,0.0,0.0,627.25,8.25,,0.0,0.0,0.0,0.0,0.0
2007-05-07,0.0,0.0,0.0,607.5,-19.75,,0.0,0.0,0.0,0.0,0.0
2007-05-08,0.0,0.0,0.0,610.5,3.0,,0.0,0.0,0.0,0.0,0.0
2007-05-09,0.0,0.0,0.0,607.25,-3.25,,0.0,0.0,0.0,0.0,0.0
2007-05-10,0.0,0.0,0.0,615.0,7.75,,0.0,0.0,0.0,0.0,0.0
2007-05-11,0.0,0.0,0.0,624.25,9.25,,0.0,0.0,0.0,0.0,0.0
2007-05-14,0.0,0.0,0.0,624.75,0.5,,0.0,0.0,0.0,0.0,0.0
2007-05-15,0.0,0.0,0.0,628.25,3.5,,0.0,0.0,0.0,0.0,0.0
2007-05-16,0.0,0.0,0.0,624.75,-3.5,,0.0,0.0,0.0,0.0,0.0
2007-05-17,0.0,0.0,0.0,633.5,8.75,,0.0,0.0,0.0,0.0,0.0
2007-05-18,0.0,0.0,0.0,636.75,3.25,,0.0,0.0,0.0,0.0,0.0
2007-05-21,0.0,0.0,0.0,638.5,1.75,,0.0,0.0,0.0,0.0,0.0
2007-05-22,0.0,0.0,0.0,637.0,-1.5,,0.0,0.0,0.0,0.0,0.0
2007-05-23,0.0,0.0,0.0,638.25,1.25,,0.0,0.0,0.0,0.0,0.0
2007-05-24,0.0,0.0,0.0,644.5,6.25,,0.0,0.0,0.0,0.0,0.0
2007-05-25,0.0,0.0,0.0,637.5,-7.0,,0.0,0.0,0.0,0.0,0.0
2007-05-28,0.0,0.0,0.0,631.0,-6.5,,0.0,0.0,0.0,0.0,0.0
2007-05-29,0.0,0.0,0.0,632.25,1.25,,0.0,0.0,0.0,0.0,0.0
2007-05-30,0.0,0.0,0.0,622.75,-9.5,,0.0,0.0,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0,625.25,2.5,,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,627.25,2.0,,0.0,0.0,0.0,0.0,0.0
2007-06-04,0.0,0.0,0.0,643.25,16.0,,0.0,0.0,0.0,0.0,0.0
2007-06-05,0.0,0.0,0.0,640.5,-2.75,,66.0,0.0,0.0,0.0,0.0
