Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2005-11-11,,,,548.0,,,0.0,0.0,0.0,0.0,0.0
2005-11-14,,,,553.5,5.5,,0.0,0.0,0.0,0.0,0.0
2005-11-15,,,,553.25,-0.25,,0.0,0.0,0.0,0.0,0.0
2005-11-16,,,,549.5,-3.75,,0.0,0.0,0.0,0.0,0.0
2005-11-17,,,,548.25,-1.25,,0.0,0.0,0.0,0.0,0.0
2005-11-18,,,,541.0,-7.25,,0.0,0.0,0.0,0.0,0.0
2005-11-21,,,,549.75,8.75,,0.0,0.0,0.0,0.0,0.0
2005-11-22,,,,560.5,10.75,,0.0,0.0,0.0,0.0,0.0
2005-11-23,,,,550.25,-10.25,,0.0,0.0,0.0,0.0,0.0
2005-11-24,,,,543.75,-6.5,,0.0,0.0,0.0,0.0,0.0
2005-11-25,,,,540.0,-3.75,,0.0,0.0,0.0,0.0,0.0
2005-11-28,538.5,539.75,535.75,537.5,-2.5,,800.0,730.0,0.0,0.0,0.0
2005-11-29,,,,542.0,4.5,,0.0,730.0,0.0,0.0,0.0
2005-11-30,539.75,540.25,538.25,541.75,-0.25,,350.0,950.0,0.0,0.0,0.0
2005-12-01,557.75,557.75,557.75,546.0,4.25,,100.0,1050.0,0.0,0.0,0.0
2005-12-02,,,,557.25,11.25,,0.0,1050.0,0.0,0.0,0.0
2005-12-05,,,,577.25,20.0,,0.0,1050.0,0.0,0.0,0.0
2005-12-06,,,,570.75,-6.5,,0.0,1050.0,0.0,0.0,0.0
2005-12-07,,,,565.25,-5.5,,0.0,1050.0,0.0,0.0,0.0
2005-12-08,,,,570.25,5.0,,0.0,1050.0,0.0,0.0,0.0
2005-12-09,,,,574.75,4.5,,0.0,1050.0,0.0,0.0,0.0
2005-12-12,,,,574.0,-0.75,,0.0,1050.0,0.0,0.0,0.0
2005-12-13,,,,584.0,10.0,,0.0,1050.0,0.0,0.0,0.0
