Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2013-06-17,0.0,0.0,0.0,822.5,,,0.0,0.0,,,
2013-06-18,0.0,0.0,0.0,822.75,,,0.0,0.0,,,
2013-06-19,0.0,0.0,0.0,823.5,,,0.0,0.0,,,
2013-06-20,0.0,0.0,0.0,802.5,,,0.0,0.0,,,
2013-06-21,0.0,0.0,0.0,791.25,,,0.0,0.0,,,
2013-06-24,0.0,0.0,0.0,788.25,,,0.0,0.0,,,
2014-04-08,84.35,84.55,84.35,84.53,0.3,84.41,270.0,21683.0,,,50.0
2014-04-25,84.98,85.06,84.98,84.91,-0.49,85.04,244.0,21109.0,,,
2014-05-12,84.66,84.66,84.66,84.66,0.38,84.66,371.0,21510.0,,,
2014-05-22,,,,86.3,0.21,,142.0,26111.0,,,50.0
2014-06-02,,,,855.25,0.5,,,1203.0,,,
2014-06-03,98.25,98.42,98.03,856.5,1.25,98.25,60.0,1203.0,,,250.0
2014-06-04,856.0,856.25,854.25,855.5,-1.0,,465.0,1203.0,,,134.0
2014-06-05,859.5,859.75,859.25,857.5,2.0,,9.0,1800.0,,,
2014-06-06,860.0,860.0,856.75,854.25,-3.25,,152.0,1808.0,,,
2014-06-09,,,,856.5,2.25,,34.0,1909.0,,,
2014-06-10,,,,853.5,-3.0,,2.0,1917.0,,,
2014-06-11,856.5,856.5,856.5,856.5,3.0,,179.0,1918.0,,,134.0
2014-06-12,860.0,864.5,860.0,862.25,5.75,,337.0,2178.0,,,56.0
2014-06-13,866.25,866.25,863.5,861.5,-0.75,,243.0,2556.0,,,
2014-06-16,,,,868.75,7.25,,8.0,2705.0,,,
2014-06-17,873.25,875.75,873.25,877.25,8.5,,172.0,2705.0,,,
2014-06-18,877.25,880.0,876.0,880.5,3.25,,56.0,2858.0,,,
2014-06-19,884.75,884.75,884.75,885.25,4.75,,121.0,2896.0,,,
2014-06-20,,,,884.0,-1.25,,,3017.0,,,
2014-06-23,,,,882.75,-1.25,,,3017.0,,,
2014-06-24,886.75,886.75,886.75,891.25,8.5,,6.0,3017.0,,,
2014-06-25,,,,885.5,-5.75,,,3017.0,,,
2014-06-26,,,,882.75,-2.75,,,3017.0,,,
2014-06-27,,,,881.75,-1.0,,,3017.0,,,
2014-06-30,880.0,880.0,879.75,881.25,-0.5,,4.0,3017.0,,,
2014-07-01,881.75,882.5,879.0,881.25,0.0,,152.0,3015.0,,,
2014-07-02,,,,881.5,0.25,,,3015.0,,,
2014-07-03,,,,881.0,-0.5,,70.0,3015.0,,,
2014-07-04,878.75,878.75,877.75,876.5,-4.5,,7.0,2975.0,,,
2014-07-07,877.5,877.5,877.0,877.0,0.5,877.25,24.0,2980.0,,,
2014-07-08,877.0,877.0,877.0,874.5,-2.5,877.0,325.0,2961.0,,,
2014-07-09,,,,873.5,-1.0,,10.0,2899.0,,,
2014-07-10,874.5,874.5,873.25,875.75,2.25,873.53,36.0,2889.0,,,
2014-07-11,,,,872.5,-3.25,,32.0,2925.0,,,
2014-07-14,,,,875.5,3.0,,,2957.0,,,
