Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1983-06-02,30.05,30.05,29.95,29.95,,29.95,34.0,749.0
1983-06-03,29.9,29.92,29.9,29.9,,29.9,16.0,746.0
1983-06-06,29.9,29.9,29.9,29.9,,29.9,1.0,747.0
1983-06-07,30.1,30.15,30.1,30.12,,30.12,65.0,720.0
1983-06-08,30.15,30.3,30.15,30.25,,30.25,149.0,676.0
1983-06-09,30.28,30.3,30.2,30.2,,30.2,33.0,692.0
1983-06-10,30.34,30.45,30.3,30.42,,30.42,180.0,818.0
1983-06-13,30.5,30.65,30.5,30.65,,30.65,55.0,845.0
1983-06-14,30.95,30.95,30.65,30.65,,30.65,177.0,904.0
1983-06-15,30.8,30.85,30.6,30.85,,30.85,81.0,868.0
1983-06-16,30.95,31.1,30.95,30.95,,30.95,165.0,828.0
1983-06-17,31.15,31.15,30.75,30.85,,30.85,135.0,922.0
1983-06-20,31.0,31.1,31.0,31.0,,31.0,11.0,24.0
1983-06-21,30.95,30.95,30.75,30.75,,30.75,11.0,35.0
1983-06-22,30.65,30.65,30.65,30.65,,30.65,0.0,35.0
1983-06-23,30.8,30.8,30.7,30.75,,30.75,1.0,36.0
1983-06-24,30.85,30.85,30.85,30.85,,30.85,0.0,36.0
1983-06-27,30.8,30.8,30.8,30.8,,30.8,0.0,36.0
1983-06-28,30.8,30.8,30.8,30.8,,30.8,1.0,37.0
1983-06-29,30.8,30.8,30.8,30.8,,30.8,0.0,37.0
1983-06-30,30.95,30.95,30.95,30.95,,30.95,10.0,47.0
1983-07-01,30.9,30.9,30.9,30.9,,30.9,0.0,47.0
1983-07-05,30.9,30.9,30.9,30.9,,30.9,0.0,47.0
1983-07-06,30.6,30.75,30.6,30.75,,30.75,4.0,51.0
1983-07-07,30.9,30.9,30.9,30.9,,30.9,0.0,51.0
1983-07-08,30.91,30.95,30.91,30.95,,30.95,1.0,51.0
1983-07-11,31.1,31.1,31.1,31.1,,31.1,19.0,70.0
1983-07-12,31.25,31.25,31.25,31.25,,31.25,1.0,70.0
1983-07-13,31.4,31.6,31.4,31.6,,31.6,40.0,96.0
1983-07-14,31.6,31.6,31.55,31.55,,31.55,1.0,95.0
1983-07-15,31.45,31.45,31.45,31.45,,31.45,0.0,95.0
1983-07-18,31.6,31.6,31.45,31.5,,31.5,6.0,101.0
1983-07-19,31.3,31.55,31.3,31.55,,31.55,27.0,29.0
1983-07-20,31.5,31.5,31.48,31.5,,31.5,4.0,33.0
1983-07-21,31.37,31.43,31.37,31.43,,31.43,5.0,33.0
1983-07-22,31.22,31.3,31.22,31.3,,31.3,2.0,35.0
1983-07-25,31.25,31.25,31.25,31.25,,31.25,0.0,35.0
1983-07-26,31.28,31.28,31.25,31.28,,31.28,9.0,43.0
1983-07-27,31.45,31.45,31.45,31.45,,31.45,1.0,43.0
1983-07-28,31.5,31.5,31.48,31.48,,31.48,2.0,43.0
1983-07-29,31.65,31.65,31.65,31.65,,31.65,23.0,55.0
1983-08-01,31.7,31.85,31.7,31.85,,31.85,14.0,61.0
1983-08-02,31.85,31.85,31.85,31.85,,31.85,0.0,61.0
1983-08-03,31.8,31.8,31.8,31.8,,31.8,0.0,61.0
1983-08-04,32.0,32.0,32.0,32.0,,32.0,20.0,74.0
1983-08-05,32.0,32.0,32.0,32.0,,32.0,0.0,74.0
1983-08-08,31.8,31.85,31.8,31.85,,31.85,2.0,75.0
1983-08-09,31.7,31.7,31.7,31.7,,31.7,0.0,75.0
1983-08-10,31.9,31.9,31.9,31.9,,31.9,0.0,75.0
1983-08-11,31.85,31.85,31.85,31.85,,31.85,2.0,75.0
1983-08-12,31.87,31.87,31.87,31.87,,31.87,0.0,75.0
1983-08-15,31.94,31.94,31.94,31.94,,31.94,0.0,75.0
1983-08-16,31.85,31.85,31.85,31.85,,31.85,0.0,75.0
1983-08-17,31.85,31.85,31.75,31.75,,31.75,12.0,81.0
1983-08-18,31.75,31.75,31.5,31.5,,31.5,12.0,87.0
1983-08-19,31.2,31.2,31.2,31.2,,31.2,1.0,101.0
1983-08-22,31.1,31.1,31.1,31.1,,31.1,0.0,101.0
1983-08-23,31.1,31.1,31.1,31.1,,31.1,0.0,101.0
1983-08-24,31.1,31.1,31.1,31.1,,31.1,0.0,101.0
1983-08-25,31.15,31.15,31.15,31.15,,31.15,0.0,101.0
1983-08-26,31.25,31.25,31.25,31.25,,31.25,0.0,101.0
1983-08-29,31.2,31.2,31.2,31.2,,31.2,0.0,101.0
1983-08-30,31.2,31.2,31.2,31.2,,31.2,0.0,101.0
1983-08-31,31.2,31.25,31.1,31.1,,31.1,2.0,102.0
1983-09-01,31.05,31.05,31.05,31.05,,31.05,0.0,102.0
1983-09-02,31.05,31.05,31.05,31.05,,31.05,0.0,102.0
1983-09-06,30.87,30.87,30.87,30.87,,30.87,0.0,102.0
1983-09-07,30.95,30.95,30.9,30.9,,30.9,5.0,107.0
1983-09-08,30.7,30.86,30.7,30.86,,30.86,55.0,82.0
1983-09-09,30.75,30.75,30.75,30.75,,30.75,0.0,82.0
1983-09-12,30.85,30.85,30.6,30.6,,30.6,3.0,85.0
1983-09-13,30.6,30.83,30.6,30.83,,30.83,7.0,90.0
1983-09-14,30.8,30.95,30.8,30.95,,30.95,10.0,90.0
1983-09-15,31.15,31.15,31.15,31.15,,31.15,0.0,90.0
1983-09-16,31.25,31.25,31.15,31.15,,31.15,12.0,90.0
1983-09-19,31.1,31.1,31.1,31.1,,31.1,0.0,90.0
1983-09-20,31.03,31.03,31.03,31.03,,31.03,0.0,90.0
1983-09-21,31.0,31.1,31.0,31.1,,31.1,12.0,97.0
1983-09-22,31.15,31.15,31.0,31.0,,31.0,54.0,146.0
1983-09-23,31.1,31.14,31.03,31.03,,31.03,104.0,171.0
1983-09-26,30.95,30.95,30.95,30.95,,30.95,0.0,170.0
1983-09-27,30.9,30.9,30.85,30.85,,30.85,5.0,170.0
1983-09-28,30.72,30.72,30.52,30.52,,30.52,58.0,165.0
1983-09-29,30.25,30.35,30.25,30.35,,30.35,11.0,169.0
1983-09-30,30.3,30.3,29.9,30.05,,30.05,25.0,164.0
1983-10-03,29.75,29.75,29.55,29.55,,29.55,28.0,187.0
1983-10-04,29.8,29.8,29.8,29.8,,29.8,0.0,182.0
1983-10-05,30.25,30.39,29.9,29.9,,29.9,178.0,276.0
1983-10-06,29.95,29.95,29.85,29.85,,29.85,3.0,276.0
1983-10-07,30.1,30.15,30.03,30.03,,30.03,22.0,283.0
1983-10-10,30.3,30.4,30.3,30.35,,30.35,148.0,334.0
1983-10-11,30.22,30.24,30.15,30.15,,30.15,30.0,332.0
1983-10-12,30.17,30.17,30.13,30.13,,30.13,27.0,333.0
1983-10-13,30.2,30.35,30.2,30.26,,30.26,44.0,339.0
1983-10-14,30.15,30.15,30.15,30.15,,30.15,1.0,340.0
1983-10-17,30.0,30.12,30.0,30.12,,30.12,19.0,354.0
1983-10-18,30.2,30.25,30.2,30.25,,30.25,22.0,365.0
1983-10-19,29.75,29.75,29.62,29.63,,29.63,4.0,568.0
1983-10-20,29.45,29.5,29.4,29.5,,29.5,6.0,568.0
1983-10-21,29.7,29.7,29.7,29.7,,29.7,1.0,569.0
1983-10-24,30.0,30.0,29.75,29.85,,29.85,26.0,593.0
1983-10-25,29.85,29.85,29.85,29.85,,29.85,0.0,593.0
1983-10-26,29.7,29.7,29.55,29.55,,29.55,15.0,603.0
1983-10-27,29.6,29.65,29.6,29.65,,29.65,15.0,614.0
1983-10-28,29.66,29.75,29.65,29.65,,29.65,29.0,642.0
1983-10-31,29.73,29.73,29.73,29.73,,29.73,0.0,642.0
1983-11-01,29.85,30.0,29.8,29.8,,29.8,95.0,729.0
1983-11-02,30.1,30.1,29.8,29.8,,29.8,61.0,756.0
1983-11-03,29.9,30.1,29.9,30.0,,30.0,45.0,736.0
1983-11-04,30.12,30.16,30.12,30.13,,30.13,71.0,800.0
1983-11-07,30.0,30.0,30.0,30.0,,30.0,21.0,800.0
1983-11-08,29.95,30.0,29.95,30.0,,30.0,4.0,801.0
1983-11-09,30.05,30.05,29.95,29.95,,29.95,14.0,802.0
1983-11-10,29.9,29.93,29.75,29.75,,29.75,164.0,847.0
1983-11-11,29.55,29.55,29.25,29.45,,29.45,109.0,951.0
1983-11-14,29.36,29.41,29.36,29.4,,29.4,31.0,897.0
1983-11-15,29.3,29.3,29.15,29.15,,29.15,37.0,901.0
1983-11-16,29.22,29.35,28.85,28.85,,28.85,99.0,940.0
1983-11-17,28.75,28.75,28.45,28.45,,28.45,110.0,211.0
1983-11-18,28.77,28.84,28.76,28.8,,28.8,45.0,191.0
1983-11-21,28.75,28.85,28.75,28.8,,28.8,41.0,191.0
1983-11-22,28.91,28.91,28.65,28.65,,28.65,184.0,361.0
1983-11-23,28.83,28.83,28.8,28.8,,28.8,15.0,376.0
1983-11-28,29.31,29.31,29.31,29.31,,29.31,0.0,376.0
1983-11-29,28.9,28.9,28.9,28.9,,28.9,0.0,376.0
1983-11-30,28.71,28.78,28.66,28.66,,28.66,55.0,391.0
1983-12-01,28.82,28.83,28.76,28.76,,28.76,15.0,391.0
1983-12-02,29.0,29.0,28.75,28.85,,28.85,68.0,448.0
1983-12-05,28.6,28.6,28.6,28.6,,28.6,2.0,448.0
1983-12-06,28.53,28.53,28.53,28.53,,28.53,11.0,449.0
1983-12-07,28.3,28.35,28.22,28.22,,28.22,22.0,450.0
1983-12-08,28.35,28.56,28.35,28.56,,28.56,107.0,526.0
1983-12-09,28.6,28.6,28.5,28.5,,28.5,69.0,556.0
1983-12-12,28.58,28.6,28.5,28.5,,28.5,30.0,566.0
1983-12-13,28.5,28.5,28.32,28.32,,28.32,15.0,568.0
1983-12-14,28.3,28.32,28.25,28.25,,28.25,120.0,611.0
1983-12-15,28.23,28.25,27.83,27.85,,27.85,132.0,627.0
1983-12-16,27.86,27.88,27.57,27.57,,27.57,113.0,672.0
1983-12-19,27.5,27.6,27.5,27.6,,27.6,6.0,55.0
1983-12-20,27.9,28.04,27.85,28.04,,28.04,3.0,57.0
1983-12-21,28.55,28.55,28.2,28.2,,28.2,6.0,60.0
1983-12-22,28.1,28.41,28.1,28.41,,28.41,7.0,65.0
1983-12-23,28.4,28.9,28.4,28.9,,28.9,5.0,64.0
1983-12-27,29.55,29.55,29.4,29.4,,29.4,1.0,64.0
1983-12-28,29.35,29.35,29.35,29.35,,29.35,0.0,64.0
1983-12-29,28.8,28.8,28.8,28.8,,28.8,0.0,64.0
1983-12-30,28.6,28.6,28.2,28.2,,28.2,1.0,65.0
1984-01-03,28.2,28.3,28.2,28.3,,28.3,1.0,65.0
1984-01-04,28.45,28.45,28.45,28.45,,28.45,2.0,64.0
1984-01-05,28.6,28.6,28.45,28.45,,28.45,1.0,64.0
1984-01-06,28.25,28.4,28.25,28.4,,28.4,1.0,65.0
1984-01-09,28.35,28.6,28.25,28.5,,28.5,4.0,68.0
1984-01-10,28.5,28.6,28.5,28.6,,28.6,1.0,68.0
1984-01-11,28.7,28.7,28.65,28.65,,28.65,1.0,68.0
1984-01-12,28.6,28.65,28.6,28.65,,28.65,1.0,68.0
1984-01-13,28.8,28.95,28.8,28.95,,28.95,1.0,68.0
1984-01-16,29.0,29.4,29.0,29.4,,29.4,2.0,68.0
1984-01-17,29.3,29.3,29.3,29.3,,29.3,1.0,68.0
1984-01-18,29.2,29.3,29.2,29.3,,29.3,1.0,68.0
1984-01-19,29.5,29.5,29.5,29.5,,29.5,51.0,85.0
1984-01-20,29.5,29.5,29.5,29.5,,29.5,1.0,86.0
1984-01-23,29.6,29.6,29.05,29.05,,29.05,1.0,87.0
1984-01-24,29.2,29.2,29.2,29.2,,29.2,1.0,88.0
1984-01-25,29.2,29.25,29.15,29.25,,29.25,1.0,88.0
1984-01-26,29.42,29.42,29.2,29.2,,29.2,2.0,88.0
1984-01-27,29.45,29.45,29.25,29.25,,29.25,1.0,89.0
1984-01-30,29.25,29.25,29.0,29.0,,29.0,1.0,89.0
1984-01-31,29.45,29.45,29.15,29.15,,29.15,1.0,90.0
1984-02-01,29.55,29.55,29.55,29.55,,29.55,0.0,90.0
1984-02-02,29.75,29.75,29.75,29.75,,29.75,1.0,90.0
1984-02-03,29.8,29.8,29.75,29.75,,29.75,11.0,101.0
1984-02-06,29.68,29.68,29.68,29.68,,29.68,1.0,102.0
