Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-11-20,0.0,0.0,0.0,,,80.28,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,79.84,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,79.88,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,80.28,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,80.44,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,80.28,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,80.61,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,80.72,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,80.56,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,80.41,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,79.87,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,80.1,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,80.21,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,80.05,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,80.42,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,80.16,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,79.13,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,79.48,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,79.56,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,78.91,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,78.5,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,78.24,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,78.24,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,78.17,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,78.35,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,78.48,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,78.41,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,78.18,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,77.32,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,77.05,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,77.1,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,76.17,0.0,0.0
