Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,80.08,0.0,0.0
2014-11-21,,,,,0.87,80.95,0.0,0.0
2014-11-24,,,,,0.29,80.66,0.0,0.0
2014-11-25,,,,,0.41,80.25,0.0,0.0
2014-11-26,,,,,0.48,80.73,0.0,0.0
2014-11-28,,,,,3.18,77.55,0.0,0.0
2014-12-01,,,,,1.78,79.33,0.0,0.0
2014-12-02,,,,,1.23,78.1,0.0,0.0
2014-12-03,,,,,0.09,78.01,0.0,0.0
2014-12-04,,,,,1.79,76.22,0.0,0.0
2014-12-05,,,,,1.53,74.69,0.0,0.0
2014-12-08,,,,,2.17,72.52,0.0,0.0
2014-12-09,,,,,0.16,72.68,0.0,0.0
2014-12-10,,,,,1.44,71.24,0.0,0.0
2014-12-11,,,,,0.15,71.09,0.0,0.0
2014-12-12,,,,,1.96,69.13,0.0,0.0
2014-12-15,,,,,1.47,67.66,0.0,0.0
2014-12-16,,,,,1.11,66.55,0.0,0.0
2014-12-17,,,,,0.43,66.98,0.0,0.0
2014-12-18,,,,,0.61,67.59,0.0,0.0
2014-12-19,,,,,2.86,70.45,0.0,0.0
2014-12-22,,,,,0.17,70.28,0.0,0.0
2014-12-23,,,,,1.26,71.54,0.0,0.0
2014-12-24,,,,,0.21,71.75,0.0,0.0
2014-12-26,,,,,0.37,71.38,0.0,0.0
2014-12-29,,,,,0.81,70.57,0.0,0.0
2014-12-30,,,,,0.09,70.48,0.0,0.0
2014-12-31,,,,,0.09,70.39,0.0,0.0
2015-01-02,,,,,0.5,69.89,0.0,0.0
2015-01-05,,,,,1.33,68.56,0.0,0.0
2015-01-06,,,,,1.76,66.8,0.0,0.0
2015-01-07,,,,,0.59,66.21,0.0,0.0
2015-01-08,,,,,0.02,66.23,0.0,0.0
2015-01-09,,,,,1.24,67.47,0.0,0.0
2015-01-12,,,,,0.7,66.77,0.0,0.0
2015-01-13,,,,,0.72,67.49,0.0,0.0
2015-01-14,,,,,0.49,67.98,0.0,0.0
2015-01-15,,,,,2.24,65.74,0.0,0.0
2015-01-16,,,,,1.21,66.95,0.0,0.0
2015-01-20,,,,,1.44,65.51,0.0,0.0
2015-01-21,,,,,0.45,65.96,0.0,0.0
2015-01-22,,,,,0.6,65.36,0.0,0.0
2015-01-23,,,,,0.43,65.79,0.0,0.0
2015-01-26,,,,,0.25,65.54,0.0,0.0
2015-01-27,,,,,1.05,66.59,0.0,0.0
2015-01-28,,,,,0.64,65.95,0.0,0.0
2015-01-29,,,,,1.06,67.01,0.0,0.0
2015-01-30,,,,,2.25,69.26,0.0,0.0
2015-02-02,,,,,0.54,69.8,0.0,0.0
2015-02-03,,,,,1.34,71.14,0.0,0.0
2015-02-04,,,,,1.68,69.46,0.0,0.0
2015-02-05,,,,,0.73,70.19,0.0,0.0
2015-02-06,,,,,0.72,69.47,0.0,0.0
2015-02-09,,,,,0.42,69.89,0.0,0.0
2015-02-10,,,,,0.63,69.26,0.0,0.0
2015-02-11,,,,,0.26,69.52,0.0,0.0
