Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-11-20,0.0,0.0,0.0,,,80.17,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,79.73,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,79.77,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,80.17,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,80.33,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,80.17,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,80.5,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,80.61,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,80.45,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,80.3,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,79.76,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,79.99,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,80.1,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,79.94,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,80.33,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,80.07,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,79.04,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,79.39,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,79.47,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,78.82,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,78.41,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,78.15,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,78.15,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,78.08,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,78.26,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,78.39,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,78.32,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,78.08,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,77.23,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,76.96,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,77.01,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,76.09,0.0,0.0
2014-01-08,0.0,0.0,0.0,,,75.61,0.0,0.0
2014-01-09,0.0,0.0,0.0,,,75.9,0.0,0.0
2014-01-10,0.0,0.0,0.0,,,75.89,0.0,0.0
