Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,80.34,0.0,0.0
2014-11-21,,,,,0.87,81.21,0.0,0.0
2014-11-24,,,,,0.29,80.92,0.0,0.0
2014-11-25,,,,,0.41,80.51,0.0,0.0
2014-11-26,,,,,0.48,80.99,0.0,0.0
2014-11-28,,,,,3.0,77.99,0.0,0.0
2014-12-01,,,,,1.78,79.77,0.0,0.0
2014-12-02,,,,,1.23,78.54,0.0,0.0
2014-12-03,,,,,0.13,78.41,0.0,0.0
2014-12-04,,,,,1.89,76.52,0.0,0.0
2014-12-05,,,,,1.65,74.87,0.0,0.0
2014-12-08,,,,,2.18,72.69,0.0,0.0
2014-12-09,,,,,0.11,72.8,0.0,0.0
2014-12-10,,,,,1.44,71.36,0.0,0.0
2014-12-11,,,,,0.15,71.21,0.0,0.0
2014-12-12,,,,,1.95,69.26,0.0,0.0
2014-12-15,,,,,1.53,67.73,0.0,0.0
2014-12-16,,,,,1.11,66.62,0.0,0.0
2014-12-17,,,,,0.32,66.94,0.0,0.0
2014-12-18,,,,,0.83,67.77,0.0,0.0
2014-12-19,,,,,2.87,70.64,0.0,0.0
2014-12-22,,,,,0.17,70.47,0.0,0.0
2014-12-23,,,,,1.26,71.73,0.0,0.0
2014-12-24,,,,,0.21,71.94,0.0,0.0
2014-12-26,,,,,0.37,71.57,0.0,0.0
2014-12-29,,,,,0.71,70.86,0.0,0.0
2014-12-30,,,,,0.08,70.78,0.0,0.0
2014-12-31,,,,,0.09,70.69,0.0,0.0
2015-01-02,,,,,0.5,70.19,0.0,0.0
2015-01-05,,,,,1.33,68.86,0.0,0.0
2015-01-06,,,,,1.76,67.1,0.0,0.0
2015-01-07,,,,,0.62,66.48,0.0,0.0
2015-01-08,,,,,0.02,66.5,0.0,0.0
2015-01-09,,,,,1.3,67.8,0.0,0.0
2015-01-12,,,,,0.7,67.1,0.0,0.0
2015-01-13,,,,,0.77,67.87,0.0,0.0
2015-01-14,,,,,0.49,68.36,0.0,0.0
2015-01-15,,,,,2.33,66.03,0.0,0.0
2015-01-16,,,,,1.21,67.24,0.0,0.0
2015-01-20,,,,,1.44,65.8,0.0,0.0
2015-01-21,,,,,0.45,66.25,0.0,0.0
2015-01-22,,,,,0.6,65.65,0.0,0.0
2015-01-23,,,,,0.43,66.08,0.0,0.0
2015-01-26,,,,,0.25,65.83,0.0,0.0
2015-01-27,,,,,1.05,66.88,0.0,0.0
2015-01-28,,,,,0.64,66.24,0.0,0.0
2015-01-29,,,,,1.06,67.3,0.0,0.0
2015-01-30,,,,,2.25,69.55,0.0,0.0
2015-02-02,,,,,0.54,70.09,0.0,0.0
2015-02-03,,,,,1.34,71.43,0.0,0.0
2015-02-04,,,,,1.65,69.78,0.0,0.0
2015-02-05,,,,,0.86,70.64,0.0,0.0
2015-02-06,,,,,0.67,69.97,0.0,0.0
2015-02-09,,,,,0.42,70.39,0.0,0.0
2015-02-10,,,,,0.63,69.76,0.0,0.0
2015-02-11,,,,,0.26,70.02,0.0,0.0
2015-02-12,,,,,1.12,71.14,0.0,0.0
2015-02-13,,,,,0.94,70.2,0.0,0.0
2015-02-17,,,,,0.36,69.84,0.0,0.0
2015-02-18,,,,,0.25,69.59,0.0,0.0
2015-02-19,,,,,0.54,69.05,0.0,0.0
2015-02-20,,,,,1.12,70.17,0.0,0.0
2015-02-23,,,,,0.17,70.0,0.0,0.0
2015-02-24,,,,,0.52,70.52,0.0,0.0
2015-02-25,,,,,0.62,71.14,0.0,0.0
2015-02-26,,,,,0.32,70.82,0.0,0.0
2015-02-27,,,,,0.04,70.78,0.0,0.0
2015-03-02,,,,,0.41,70.37,0.0,0.0
2015-03-03,,,,,0.53,70.9,0.0,0.0
2015-03-04,,,,,1.22,69.68,0.0,0.0
2015-03-05,,,,,0.5,69.18,0.0,0.0
2015-03-06,,,,,0.72,68.46,0.0,0.0
2015-03-09,,,,,0.52,67.94,0.0,0.0
2015-03-10,,,,,0.52,67.42,0.0,0.0
2015-03-11,,,,,0.2,67.62,0.0,0.0
2015-03-12,,,,,0.52,67.1,0.0,0.0
2015-03-13,,,,,0.5,66.6,0.0,0.0
2015-03-16,,,,,0.51,67.11,0.0,0.0
2015-03-17,,,,,0.69,66.42,0.0,0.0
2015-03-18,,,,,1.3,67.72,0.0,0.0
2015-03-19,,,,,0.88,66.84,0.0,0.0
2015-03-20,,,,,0.53,67.37,0.0,0.0
2015-03-23,,,,,0.18,67.55,0.0,0.0
2015-03-24,,,,,0.67,66.88,0.0,0.0
2015-03-25,,,,,0.01,66.87,0.0,0.0
2015-03-26,,,,,0.17,66.7,0.0,0.0
2015-03-27,,,,,1.44,65.26,0.0,0.0
2015-03-30,,,,,0.55,65.81,0.0,0.0
2015-03-31,,,,,0.54,65.27,0.0,0.0
2015-04-01,,,,,0.65,65.92,0.0,0.0
2015-04-02,,,,,0.69,65.23,0.0,0.0
2015-04-06,,,,,0.22,65.45,0.0,0.0
2015-04-07,,,,,0.86,64.59,0.0,0.0
2015-04-08,,,,,1.1,63.49,0.0,0.0
2015-04-09,,,,,1.15,64.64,0.0,0.0
2015-04-10,,,,,0.47,65.11,0.0,0.0
2015-04-13,,,,,0.33,64.78,0.0,0.0
2015-04-14,,,,,0.14,64.92,0.0,0.0
2015-04-15,,,,,1.24,66.16,0.0,0.0
2015-04-16,,,,,0.23,66.39,0.0,0.0
2015-04-17,,,,,0.43,65.96,0.0,0.0
2015-04-20,,,,,0.7,66.66,0.0,0.0
2015-04-21,,,,,0.37,67.03,0.0,0.0
2015-04-22,,,,,0.37,67.4,0.0,0.0
2015-04-23,,,,,0.61,68.01,0.0,0.0
2015-04-24,,,,,1.15,66.86,0.0,0.0
2015-04-27,,,,,0.04,66.82,0.0,0.0
2015-04-28,,,,,0.07,66.89,0.0,0.0
2015-04-29,,,,,0.02,66.91,0.0,0.0
2015-04-30,,,,,0.19,67.1,0.0,0.0
2015-05-01,,,,,0.17,66.93,0.0,0.0
2015-05-04,,,,,0.27,67.2,0.0,0.0
2015-05-05,,,,,0.55,67.75,0.0,0.0
2015-05-06,,,,,0.38,68.13,0.0,0.0
2015-05-07,,,,,0.25,67.88,0.0,0.0
2015-05-08,,,,,0.45,68.33,0.0,0.0
2015-05-11,,,,,0.07,68.4,0.0,0.0
2015-05-12,,,,,0.15,68.25,0.0,0.0
2015-05-13,,,,,0.05,68.2,0.0,0.0
2015-05-14,,,,,0.47,68.67,0.0,0.0
2015-05-15,,,,,0.01,68.68,0.0,0.0
2015-05-18,,,,,0.38,68.3,0.0,0.0
2015-05-19,,,,,0.61,67.69,0.0,0.0
2015-05-20,,,,,0.44,68.13,0.0,0.0
2015-05-21,,,,,0.01,68.12,0.0,0.0
2015-05-22,,,,,0.52,67.6,0.0,0.0
2015-05-26,,,,,0.28,67.88,0.0,0.0
2015-05-27,,,,,0.34,67.54,0.0,0.0
2015-05-28,,,,,0.04,67.5,0.0,0.0
2015-05-29,,,,,0.21,67.71,0.0,0.0
2015-06-01,,,,,0.44,67.27,0.0,0.0
2015-06-02,,,,,1.2,68.47,0.0,0.0
2015-06-03,,,,,0.42,68.05,0.0,0.0
2015-06-04,,,,,0.55,67.5,0.0,0.0
2015-06-05,,,,,1.33,68.83,0.0,0.0
2015-06-08,,,,,0.63,68.2,0.0,0.0
2015-06-09,,,,,0.48,68.68,0.0,0.0
2015-06-10,,,,,0.35,69.03,0.0,0.0
2015-06-11,,,,,0.43,68.6,0.0,0.0
2015-06-12,,,,,0.91,67.69,0.0,0.0
2015-06-15,,,,,0.46,68.15,0.0,0.0
2015-06-16,,,,,0.31,68.46,0.0,0.0
2015-06-17,,,,,0.01,68.45,0.0,0.0
2015-06-18,,,,,0.28,68.73,0.0,0.0
2015-06-19,,,,,0.71,68.02,0.0,0.0
2015-06-22,,,,,0.86,68.88,0.0,0.0
2015-06-23,,,,,0.56,68.32,0.0,0.0
2015-06-24,,,,,0.44,67.88,0.0,0.0
2015-06-25,,,,,0.18,67.7,0.0,0.0
2015-06-26,,,,,0.18,67.88,0.0,0.0
2015-06-29,,,,,0.47,67.41,0.0,0.0
2015-06-30,,,,,0.07,67.48,0.0,0.0
2015-07-01,,,,,0.38,67.1,0.0,0.0
2015-07-02,,,,,0.09,67.01,0.0,0.0
2015-07-06,,,,,2.68,64.33,0.0,0.0
2015-07-07,,,,,0.11,64.44,0.0,0.0
2015-07-08,,,,,0.29,64.73,0.0,0.0
2015-07-09,,,,,1.01,65.74,0.0,0.0
2015-07-10,,,,,0.93,66.67,0.0,0.0
2015-07-13,,,,,0.29,66.96,0.0,0.0
2015-07-14,,,,,0.12,66.84,0.0,0.0
2015-07-15,,,,,1.09,65.75,0.0,0.0
2015-07-16,,,,,0.53,65.22,0.0,0.0
2015-07-17,,,,,0.39,64.83,0.0,0.0
2015-07-20,,,,,0.1,64.73,0.0,0.0
2015-07-21,,,,,0.72,65.45,0.0,0.0
2015-07-22,,,,,0.98,64.47,0.0,0.0
2015-07-23,,,,,0.78,63.69,0.0,0.0
2015-07-24,,,,,0.78,62.91,0.0,0.0
2015-07-27,,,,,0.04,62.87,0.0,0.0
2015-07-28,,,,,0.12,62.99,0.0,0.0
2015-07-29,,,,,0.06,62.93,0.0,0.0
2015-07-30,,,,,0.06,62.87,0.0,0.0
2015-07-31,,,,,0.39,62.48,0.0,0.0
2015-08-03,,,,,0.96,61.52,0.0,0.0
2015-08-04,,,,,0.03,61.55,0.0,0.0
2015-08-05,,,,,0.25,61.3,0.0,0.0
2015-08-06,,,,,0.5,61.8,0.0,0.0
2015-08-07,,,,,0.64,61.16,0.0,0.0
2015-08-10,,,,,0.94,62.1,0.0,0.0
2015-08-11,,,,,0.01,62.11,0.0,0.0
2015-08-12,,,,,0.52,62.63,0.0,0.0
2015-08-13,,,,,0.24,62.87,0.0,0.0
2015-08-14,,,,,0.63,63.5,0.0,0.0
2015-08-17,,,,,0.48,63.02,0.0,0.0
2015-08-18,,,,,0.42,62.6,0.0,0.0
2015-08-19,,,,,1.44,61.16,0.0,0.0
2015-08-20,,,,,1.45,59.71,0.0,0.0
2015-08-21,,,,,2.08,57.63,0.0,0.0
2015-08-24,,,,,1.39,56.24,0.0,0.0
2015-08-25,,,,,0.8,57.04,0.0,0.0
2015-08-26,,,,,0.54,57.58,0.0,0.0
2015-08-27,,,,,3.13,60.71,0.0,0.0
2015-08-28,,,,,1.29,62.0,0.0,0.0
2015-08-31,,,,,1.7,63.7,0.0,0.0
2015-09-01,,,,,3.7,60.0,0.0,0.0
2015-09-02,,,,,1.0,61.0,0.0,0.0
