Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1979-11-26,1.09,1.11,1.09,1.11,,1.11,3.0,3.0
1979-11-27,1.12,1.12,1.12,1.12,,1.12,0.0,3.0
1979-11-28,1.1225,1.13,1.12,1.12,,1.12,3.0,3.0
1979-11-29,1.115,1.115,1.115,1.115,,1.115,1.0,4.0
1979-11-30,1.135,1.135,1.13,1.13,,1.13,3.0,5.0
1979-12-03,1.1495,1.15,1.14,1.14,,1.14,8.0,8.0
1979-12-04,1.14,1.14,1.13,1.13,,1.13,3.0,12.0
1979-12-05,1.131,1.131,1.124,1.124,,1.124,7.0,14.0
1979-12-06,1.115,1.116,1.1,1.116,,1.116,12.0,20.0
1979-12-07,1.1075,1.11,1.1075,1.11,,1.11,2.0,21.0
1979-12-10,1.1,1.11,1.0975,1.11,,1.11,18.0,22.0
1979-12-11,1.095,1.0975,1.095,1.0965,,1.0965,16.0,33.0
1979-12-12,1.09,1.0975,1.08,1.0975,,1.0975,4.0,28.0
1979-12-13,1.117,1.117,1.09,1.09,,1.09,8.0,28.0
1979-12-14,1.11,1.11,1.11,1.11,,1.11,0.0,28.0
1979-12-17,1.11,1.11,1.105,1.106,,1.106,13.0,28.0
1979-12-18,1.115,1.115,1.115,1.115,,1.115,0.0,36.0
1979-12-19,1.1175,1.1175,1.1,1.1,,1.1,2.0,36.0
1979-12-20,1.1,1.1,1.091,1.091,,1.091,5.0,37.0
1979-12-21,1.07,1.08,1.0625,1.08,,1.08,4.0,46.0
1979-12-26,1.06,1.06,1.05,1.05,,1.05,9.0,48.0
1979-12-27,1.045,1.045,1.021,1.021,,1.021,2.0,56.0
1979-12-28,1.041,1.041,1.005,1.005,,1.005,9.0,56.0
1980-01-02,0.995,0.995,0.995,0.995,,0.995,1.0,6.0
1980-01-03,0.99,0.99,0.9651,0.9651,,0.9651,3.0,6.0
1980-01-04,0.9755,0.9755,0.9755,0.9755,,0.9755,1.0,7.0
1980-01-07,0.98,0.98,0.98,0.98,,0.98,0.0,7.0
1980-01-08,0.9825,0.9825,0.96,0.96,,0.96,15.0,7.0
1980-01-09,0.935,0.935,0.9325,0.9325,,0.9325,2.0,17.0
1980-01-10,0.935,0.952,0.935,0.9425,,0.9425,4.0,18.0
1980-01-11,0.9349,0.9349,0.915,0.9275,,0.9275,24.0,20.0
1980-01-14,0.9075,0.9075,0.9075,0.9075,,0.9075,0.0,27.0
1980-01-15,0.878,0.8925,0.878,0.8925,,0.8925,1.0,27.0
1980-01-16,0.8735,0.875,0.8525,0.86,,0.86,27.0,28.0
1980-01-17,0.8325,0.865,0.8325,0.865,,0.865,3.0,33.0
1980-01-18,0.87,0.8725,0.87,0.8725,,0.8725,2.0,34.0
1980-01-21,0.8825,0.8825,0.8675,0.8675,,0.8675,3.0,35.0
1980-01-22,0.8875,0.8875,0.8875,0.8875,,0.8875,23.0,37.0
1980-01-23,0.9165,0.9165,0.89,0.905,,0.905,11.0,43.0
1980-01-24,0.91,0.9225,0.9,0.905,,0.905,8.0,47.0
1980-01-25,0.905,0.91,0.9,0.9,,0.9,14.0,53.0
1980-01-28,0.9075,0.9075,0.9025,0.905,,0.905,17.0,63.0
1980-01-29,0.915,0.925,0.915,0.925,,0.925,42.0,76.0
1980-01-30,0.945,0.95,0.935,0.94,,0.94,9.0,96.0
1980-01-31,0.94,0.94,0.9309,0.9325,,0.9325,20.0,101.0
1980-02-21,0.9,0.9,0.87,0.87,,0.87,1.0,1.0
1980-02-22,0.865,0.87,0.865,0.87,,0.87,1.0,1.0
1980-02-25,0.88,0.88,0.88,0.88,,0.88,0.0,1.0
1980-02-26,0.8805,0.8805,0.8805,0.8805,,0.8805,2.0,1.0
1980-02-27,0.892,0.892,0.892,0.892,,0.892,0.0,3.0
1980-02-28,0.912,0.912,0.9025,0.9025,,0.9025,1.0,3.0
1980-02-29,0.892,0.892,0.88,0.88,,0.88,1.0,4.0
1980-03-03,0.9275,0.9275,0.92,0.92,,0.92,0.0,3.0
1980-03-04,0.91,0.91,0.91,0.91,,0.91,2.0,3.0
1980-03-05,0.92,0.92,0.92,0.92,,0.92,0.0,3.0
1980-03-06,0.92,0.92,0.92,0.92,,0.92,0.0,7.0
1980-03-07,0.91,0.91,0.91,0.91,,0.91,5.0,12.0
1980-03-10,0.9,0.9,0.9,0.9,,0.9,8.0,17.0
1980-03-11,0.89,0.89,0.88,0.88,,0.88,5.0,27.0
1980-03-12,0.87,0.87,0.87,0.87,,0.87,10.0,27.0
1980-03-13,0.864,0.865,0.864,0.865,,0.865,0.0,29.0
1980-03-14,0.865,0.8655,0.86,0.86,,0.86,4.0,43.0
1980-03-17,0.875,0.875,0.87,0.87,,0.87,20.0,50.0
1980-03-18,0.8625,0.866,0.86,0.86,,0.86,22.0,63.0
1980-03-19,0.855,0.86,0.855,0.8576,,0.8576,15.0,65.0
1980-03-20,0.855,0.8555,0.855,0.8555,,0.8555,9.0,67.0
1980-03-21,0.86,0.86,0.8535,0.8535,,0.8535,3.0,69.0
1980-03-24,0.86,0.86,0.86,0.86,,0.86,3.0,70.0
1980-03-25,0.86,0.86,0.86,0.86,,0.86,1.0,70.0
1980-03-26,0.87,0.87,0.865,0.865,,0.865,0.0,70.0
1980-03-27,0.87,0.87,0.87,0.87,,0.87,5.0,71.0
1980-03-28,0.87,0.87,0.87,0.87,,0.87,16.0,66.0
1980-03-31,0.87,0.87,0.87,0.87,,0.87,0.0,66.0
1980-04-03,0.91,0.9225,0.91,0.9225,,0.9225,12.0,10.0
1980-04-07,0.92,0.9225,0.92,0.9225,,0.9225,3.0,10.0
1980-04-08,0.928,0.928,0.92,0.92,,0.92,11.0,20.0
1980-04-09,0.929,0.93,0.926,0.93,,0.93,4.0,21.0
1980-04-10,0.9225,0.93,0.9225,0.9225,,0.9225,1.0,22.0
1980-04-11,0.933,0.933,0.933,0.933,,0.933,0.0,22.0
1980-04-14,0.9275,0.9275,0.9275,0.9275,,0.9275,0.0,22.0
1980-04-15,0.9275,0.9275,0.9275,0.9275,,0.9275,0.0,22.0
1980-04-16,0.9275,0.93,0.9275,0.93,,0.93,17.0,38.0
1980-04-17,0.932,0.932,0.932,0.932,,0.932,0.0,38.0
1980-04-18,0.932,0.932,0.932,0.932,,0.932,0.0,38.0
1980-04-21,0.932,0.932,0.932,0.932,,0.932,0.0,38.0
1980-04-22,0.93,0.935,0.93,0.935,,0.935,2.0,40.0
1980-04-23,0.93,0.935,0.93,0.935,,0.935,1.0,41.0
1980-04-24,0.925,0.925,0.92,0.92,,0.92,19.0,54.0
1980-04-25,0.94,0.94,0.94,0.94,,0.94,1.0,54.0
1980-04-28,0.9275,0.9275,0.9275,0.9275,,0.9275,0.0,54.0
1980-04-29,0.925,0.925,0.92,0.9225,,0.9225,1.0,53.0
1980-04-30,0.925,0.925,0.925,0.925,,0.925,5.0,48.0
1980-05-12,0.93,0.93,0.925,0.925,,0.925,28.0,27.0
1980-05-13,0.925,0.925,0.925,0.925,,0.925,0.0,27.0
1980-05-14,0.92,0.925,0.92,0.925,,0.925,7.0,30.0
1980-05-15,0.93,0.93,0.93,0.93,,0.93,1.0,31.0
1980-05-16,0.9325,0.9325,0.9325,0.9325,,0.9325,1.0,32.0
1980-05-19,0.9305,0.9305,0.9305,0.9305,,0.9305,7.0,32.0
1980-05-20,0.934,0.934,0.934,0.934,,0.934,1.0,32.0
1980-05-21,0.934,0.934,0.934,0.934,,0.934,1.0,33.0
1980-05-22,0.945,0.9485,0.937,0.937,,0.937,8.0,40.0
1980-05-23,0.9345,0.9345,0.9325,0.9325,,0.9325,1.0,36.0
1980-05-27,0.938,0.938,0.938,0.938,,0.938,1.0,36.0
1980-05-28,0.935,0.935,0.935,0.935,,0.935,0.0,36.0
1980-05-29,0.935,0.935,0.935,0.935,,0.935,0.0,36.0
1980-05-30,0.9335,0.9335,0.9275,0.9275,,0.9275,0.0,32.0
1980-06-02,0.94,0.945,0.94,0.945,,0.945,5.0,24.0
1980-06-03,0.945,0.945,0.945,0.945,,0.945,0.0,24.0
1980-06-04,0.9425,0.943,0.9425,0.943,,0.943,2.0,25.0
1980-06-05,0.9375,0.9375,0.933,0.9355,,0.9355,10.0,32.0
1980-06-06,0.9325,0.9325,0.9325,0.9325,,0.9325,0.0,32.0
1980-06-09,0.9325,0.9325,0.9325,0.9325,,0.9325,0.0,32.0
1980-06-10,0.9325,0.9325,0.9325,0.9325,,0.9325,0.0,32.0
1980-06-11,0.9325,0.9325,0.9325,0.9325,,0.9325,0.0,32.0
1980-06-12,0.93,0.93,0.93,0.93,,0.93,0.0,32.0
1980-06-13,0.925,0.925,0.925,0.925,,0.925,0.0,32.0
1980-06-16,0.92,0.92,0.92,0.92,,0.92,0.0,32.0
1980-06-17,0.915,0.915,0.915,0.915,,0.915,0.0,32.0
1980-06-18,0.912,0.912,0.912,0.912,,0.912,1.0,33.0
1980-06-19,0.9045,0.9045,0.9045,0.9045,,0.9045,1.0,34.0
1980-06-20,0.9,0.9,0.895,0.895,,0.895,5.0,39.0
1980-06-23,0.89,0.9025,0.89,0.8985,,0.8985,87.0,110.0
1980-06-24,0.9,0.9185,0.9,0.91,,0.91,159.0,157.0
1980-06-25,0.9075,0.91,0.9075,0.91,,0.91,3.0,155.0
1980-06-26,0.9125,0.9125,0.9125,0.9125,,0.9125,1.0,155.0
1980-06-27,0.91,0.91,0.91,0.91,,0.91,0.0,155.0
1980-06-30,0.9075,0.9075,0.9075,0.9075,,0.9075,0.0,155.0
1980-07-28,0.865,0.865,0.865,0.865,,0.865,5.0,5.0
1980-07-29,0.8625,0.8625,0.8625,0.8625,,0.8625,0.0,5.0
1980-07-30,0.8575,0.8575,0.8525,0.8525,,0.8525,15.0,20.0
1980-07-31,0.8425,0.8425,0.84,0.841,,0.841,4.0,23.0
1980-08-01,0.85,0.855,0.85,0.855,,0.855,2.0,13.0
1980-08-04,0.855,0.855,0.855,0.855,,0.855,0.0,13.0
1980-08-05,0.8425,0.8425,0.8425,0.8425,,0.8425,8.0,21.0
1980-08-06,0.8425,0.8425,0.8425,0.8425,,0.8425,2.0,14.0
1980-08-07,0.825,0.829,0.825,0.829,,0.829,2.0,14.0
1980-08-08,0.825,0.825,0.825,0.825,,0.825,2.0,12.0
1980-08-11,0.82,0.82,0.82,0.82,,0.82,2.0,12.0
1980-08-12,0.815,0.825,0.815,0.82,,0.82,15.0,26.0
1980-08-13,0.825,0.8325,0.825,0.8325,,0.8325,21.0,46.0
1980-08-14,0.8475,0.85,0.845,0.845,,0.845,18.0,62.0
1980-08-15,0.845,0.845,0.845,0.845,,0.845,5.0,61.0
1980-08-18,0.845,0.855,0.845,0.855,,0.855,9.0,62.0
1980-08-19,0.846,0.846,0.8425,0.8425,,0.8425,5.0,62.0
1980-08-20,0.843,0.843,0.843,0.843,,0.843,0.0,62.0
1980-08-21,0.8425,0.8425,0.8375,0.8375,,0.8375,12.0,73.0
1980-08-22,0.839,0.839,0.839,0.839,,0.839,2.0,62.0
1980-08-25,0.839,0.839,0.839,0.839,,0.839,0.0,62.0
1980-08-26,0.839,0.839,0.839,0.839,,0.839,0.0,62.0
1980-08-27,0.844,0.844,0.844,0.844,,0.844,0.0,62.0
1980-08-28,0.8455,0.8455,0.8455,0.8455,,0.8455,0.0,62.0
1980-08-29,0.845,0.845,0.845,0.845,,0.845,1.0,63.0
1980-10-16,0.9125,0.92,0.9125,0.92,,0.92,16.0,70.0
1980-10-17,0.925,0.9325,0.9225,0.9325,,0.9325,16.0,75.0
1980-10-20,0.95,0.9525,0.95,0.9525,,0.9525,5.0,75.0
1980-10-21,0.965,0.965,0.9525,0.962,,0.962,8.0,78.0
1980-10-22,0.958,0.958,0.9495,0.9495,,0.9495,4.0,79.0
1980-10-23,0.945,0.961,0.9405,0.961,,0.961,5.0,79.0
1980-10-24,0.958,0.9615,0.958,0.961,,0.961,12.0,82.0
1980-10-27,0.957,0.957,0.95,0.95,,0.95,3.0,83.0
1980-10-28,0.95,0.954,0.95,0.9535,,0.9535,38.0,112.0
1980-10-29,0.972,0.972,0.972,0.972,,0.972,0.0,112.0
1980-10-30,0.975,0.978,0.969,0.969,,0.969,15.0,121.0
1980-10-31,0.9775,0.9775,0.97,0.97,,0.97,1.0,122.0
