Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1987-02-24,0.4925,0.4995,0.4925,,,0.4995,9.0,9.0
1987-02-25,0.4915,0.4915,0.4915,,,0.4915,0.0,9.0
1987-02-26,0.5015,0.5015,0.5015,,,0.5015,0.0,9.0
1987-02-27,0.4902,0.4902,0.4902,,,0.4902,0.0,9.0
1987-03-02,0.4875,0.4875,0.4875,,,0.4875,0.0,9.0
1987-03-03,0.5055,0.5055,0.5055,,,0.5055,0.0,9.0
1987-03-04,0.5115,0.5115,0.5115,,,0.5115,0.0,9.0
1987-03-05,0.5155,0.5155,0.5155,,,0.5155,0.0,9.0
1987-03-06,0.52,0.52,0.52,,,0.52,0.0,9.0
1987-03-09,0.5163,0.5163,0.5163,,,0.5163,0.0,9.0
1987-03-10,0.513,0.513,0.513,,,0.513,0.0,9.0
1987-03-11,0.514,0.514,0.514,,,0.514,0.0,9.0
1987-03-12,0.5203,0.5203,0.5203,,,0.5203,0.0,9.0
1987-03-13,0.519,0.519,0.519,,,0.519,0.0,9.0
1987-03-16,0.5184,0.5184,0.5184,,,0.5184,0.0,9.0
1987-03-17,0.5215,0.5215,0.5215,,,0.5215,0.0,9.0
1987-03-18,0.514,0.514,0.514,,,0.514,0.0,9.0
1987-03-19,0.52,0.52,0.52,,,0.52,0.0,9.0
1987-03-20,0.515,0.515,0.515,,,0.515,0.0,9.0
1987-03-23,0.513,0.513,0.513,,,0.513,0.0,9.0
1987-03-24,0.5185,0.5185,0.5185,,,0.5185,0.0,9.0
1987-03-25,0.515,0.515,0.515,,,0.515,0.0,9.0
1987-03-26,0.515,0.5193,0.515,,,0.5193,85.0,87.0
1987-03-27,0.5222,0.5222,0.5222,,,0.5222,0.0,87.0
1987-03-30,0.515,0.5255,0.515,,,0.5255,85.0,172.0
1987-03-31,0.526,0.526,0.5232,,,0.5232,2.0,172.0
1987-04-01,0.5272,0.5272,0.5272,,,0.5272,0.0,172.0
1987-04-02,0.5287,0.5287,0.5287,,,0.5287,78.0,250.0
1987-04-03,0.526,0.526,0.526,,,0.526,0.0,250.0
1987-04-06,0.5219,0.5219,0.5219,,,0.5219,0.0,250.0
1987-04-07,0.5219,0.5252,0.5219,,,0.5252,2.0,250.0
1987-04-08,0.5165,0.5165,0.5165,,,0.5165,0.0,250.0
1987-04-09,0.5163,0.5163,0.5163,,,0.5163,0.0,250.0
1987-04-10,0.51,0.51,0.5086,,,0.5086,6.0,252.0
1987-04-13,0.5095,0.5128,0.5085,,,0.5128,2.0,252.0
1987-04-14,0.5085,0.5085,0.5085,,,0.5085,0.0,252.0
1987-04-15,0.5139,0.5139,0.5139,,,0.5139,0.0,252.0
1987-04-16,0.5135,0.5135,0.5135,,,0.5135,0.0,252.0
1987-04-20,0.5134,0.5134,0.5134,,,0.5134,0.0,252.0
1987-04-21,0.5195,0.5195,0.5195,,,0.5195,0.0,252.0
1987-04-22,0.5105,0.52,0.5105,,,0.52,10.0,262.0
