Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-12-03,0.0,0.0,0.0,,,2.8482,0.0,0.0
2012-12-04,0.0,0.0,0.0,,,2.8188,0.0,0.0
2012-12-05,0.0,0.0,0.0,,,2.799,0.0,0.0
2012-12-06,0.0,0.0,0.0,,,2.7659,0.0,0.0
2012-12-07,0.0,0.0,0.0,,,2.7578,0.0,0.0
2012-12-10,0.0,0.0,0.0,,,2.7487,0.0,0.0
2012-12-11,0.0,0.0,0.0,,,2.7578,0.0,0.0
2012-12-12,0.0,0.0,0.0,,,2.7747,0.0,0.0
2012-12-13,0.0,0.0,0.0,,,2.7142,0.0,0.0
2012-12-14,0.0,0.0,0.0,,,2.7419,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,2.7225,0.0,0.0
2012-12-18,0.0,0.0,0.0,,,2.7456,0.0,0.0
2012-12-19,0.0,0.0,0.0,,,2.7769,0.0,0.0
2012-12-20,0.0,0.0,0.0,,,2.7749,0.0,0.0
2012-12-21,0.0,0.0,0.0,,,2.7539,0.0,0.0
2012-12-24,0.0,0.0,0.0,,,2.736,0.0,0.0
2012-12-26,0.0,0.0,0.0,,,2.7818,0.0,0.0
2012-12-27,0.0,0.0,0.0,,,2.7875,0.0,0.0
2012-12-28,0.0,0.0,0.0,,,2.7712,0.0,0.0
2012-12-31,0.0,0.0,0.0,,,2.7468,0.0,0.0
2013-01-02,0.0,0.0,0.0,,,2.7629,0.0,0.0
2013-01-03,0.0,0.0,0.0,,,2.7485,0.0,0.0
2013-01-04,0.0,0.0,0.0,,,2.7318,0.0,0.0
2013-01-07,0.0,0.0,0.0,,,2.7397,0.0,0.0
2013-01-08,0.0,0.0,0.0,,,2.7643,0.0,0.0
2013-01-09,0.0,0.0,0.0,,,2.7682,0.0,0.0
2013-01-10,0.0,0.0,0.0,,,2.771,0.0,0.0
2013-01-11,0.0,0.0,0.0,,,2.747,0.0,0.0
2013-01-14,0.0,0.0,0.0,,,2.7704,0.0,0.0
2013-01-15,0.0,0.0,0.0,,,2.7303,0.0,0.0
2013-01-16,0.0,0.0,0.0,,,2.7324,0.0,0.0
2013-01-17,0.0,0.0,0.0,,,2.7486,0.0,0.0
2013-01-18,0.0,0.0,0.0,,,2.7615,0.0,0.0
2013-01-22,0.0,0.0,0.0,,,2.7654,0.0,0.0
2013-01-23,0.0,0.0,0.0,,,2.7642,0.0,0.0
2013-01-24,0.0,0.0,0.0,,,2.776,0.0,0.0
2013-01-25,0.0,0.0,0.0,,,2.7615,0.0,0.0
2013-01-28,0.0,0.0,0.0,,,2.771,0.0,0.0
2013-01-29,0.0,0.0,0.0,,,2.7879,0.0,0.0
2013-01-30,0.0,0.0,0.0,,,2.7958,0.0,0.0
2013-01-31,0.0,0.0,0.0,,,2.808,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,2.8217,0.0,0.0
2013-02-04,0.0,0.0,0.0,,,2.7957,0.0,0.0
2013-02-05,0.0,0.0,0.0,,,2.8034,0.0,0.0
2013-02-06,0.0,0.0,0.0,,,2.8204,0.0,0.0
2013-02-07,0.0,0.0,0.0,,,2.8266,0.0,0.0
