Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,2.3214,0.0,0.0
2014-12-01,,,,,0.059,2.3804,0.0,0.0
2014-12-02,,,,,0.031,2.3494,0.0,0.0
2014-12-03,,,,,0.0075,2.3569,0.0,0.0
2014-12-04,,,,,0.0227,2.3342,0.0,0.0
2014-12-05,,,,,0.0189,2.3153,0.0,0.0
2014-12-08,,,,,0.0547,2.2606,0.0,0.0
2014-12-09,,,,,0.006,2.2666,0.0,0.0
2014-12-10,,,,,0.0651,2.2015,0.0,0.0
2014-12-11,,,,,0.0152,2.1863,0.0,0.0
2014-12-12,,,,,0.0409,2.1454,0.0,0.0
2014-12-15,,,,,0.021,2.1244,0.0,0.0
2014-12-16,,,,,0.0301,2.0943,0.0,0.0
2014-12-17,,,,,0.0186,2.1129,0.0,0.0
2014-12-18,,,,,0.0418,2.0711,0.0,0.0
2014-12-19,,,,,0.0495,2.1206,0.0,0.0
2014-12-22,,,,,0.0084,2.129,0.0,0.0
2014-12-23,,,,,0.0434,2.1724,0.0,0.0
2014-12-24,,,,,0.0415,2.1309,0.0,0.0
2014-12-26,,,,,0.0021,2.1288,0.0,0.0
2014-12-29,,,,,0.0291,2.0997,0.0,0.0
2014-12-30,,,,,0.0112,2.1109,0.0,0.0
2014-12-31,,,,,0.0071,2.1038,0.0,0.0
2015-01-02,,,,,0.0174,2.0864,0.0,0.0
2015-01-05,,2.1,,,0.0378,2.0486,0.0,0.0
2015-01-06,,,,,0.0453,2.0033,0.0,0.0
2015-01-07,,,,,0.0107,1.9926,0.0,0.0
2015-01-08,,2.0,,,0.0001,1.9925,0.0,0.0
2015-01-09,,,,,0.0065,1.999,0.0,0.0
2015-01-12,,2.0,,,0.0399,1.9591,0.0,0.0
2015-01-13,,,,,0.006,1.9651,0.0,0.0
2015-01-14,,,,,0.0344,1.9995,0.0,0.0
2015-01-15,,,,,0.0573,1.9422,0.0,0.0
2015-01-16,,,,,0.0275,1.9697,0.0,0.0
2015-01-20,,,,,0.0527,1.917,0.0,0.0
2015-01-21,,,,,0.0365,1.9535,0.0,0.0
2015-01-22,,,,,0.0103,1.9432,0.0,0.0
2015-01-23,,,,,0.0136,1.9568,0.0,0.0
2015-01-26,,,,,0.0086,1.9482,0.0,0.0
2015-01-27,,,,,0.0303,1.9785,0.0,0.0
2015-01-28,,,,,0.0189,1.9596,0.0,0.0
2015-01-29,,,,,0.0103,1.9699,0.0,0.0
2015-01-30,,,,,0.0728,2.0427,0.0,0.0
2015-02-02,,,,,0.0379,2.0806,0.0,0.0
2015-02-03,,,,,0.0441,2.1247,0.0,0.0
2015-02-04,,,,,0.0597,2.065,0.0,0.0
2015-02-05,,,,,0.0341,2.0991,0.0,0.0
2015-02-06,,,,,0.0158,2.1149,0.0,0.0
2015-02-09,,,,,0.0254,2.1403,0.0,0.0
2015-02-10,,,,,0.0162,2.1241,0.0,0.0
2015-02-11,,,,,0.0212,2.1029,0.0,0.0
2015-02-12,,,,,0.0546,2.1575,0.0,0.0
2015-02-13,,,,,0.0046,2.1621,0.0,0.0
2015-02-17,,,,,0.0018,2.1639,0.0,0.0
2015-02-18,,,,,0.0383,2.1256,0.0,0.0
2015-02-19,,,,,0.0112,2.1144,0.0,0.0
2015-02-20,,,,,0.0029,2.1173,0.0,0.0
