Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1986-01-27,0.61,0.61,0.609,,,0.609,1.0,1.0
1986-01-28,0.5915,0.5915,0.5915,,,0.5915,0.0,1.0
1986-01-29,0.576,0.576,0.576,,,0.576,0.0,1.0
1986-01-30,0.575,0.575,0.575,,,0.575,0.0,1.0
1986-01-31,0.565,0.565,0.565,,,0.565,0.0,1.0
1986-02-03,0.555,0.555,0.535,,,0.535,1.0,2.0
1986-02-04,0.495,0.495,0.495,,,0.495,0.0,2.0
1986-02-05,0.515,0.515,0.515,,,0.515,0.0,2.0
1986-02-06,0.508,0.508,0.508,,,0.508,0.0,2.0
1986-02-07,0.528,0.528,0.528,,,0.528,0.0,2.0
1986-02-10,0.4998,0.4998,0.4998,,,0.4998,0.0,2.0
1986-02-11,0.499,0.499,0.499,,,0.499,0.0,2.0
1986-02-12,0.512,0.512,0.497,,,0.497,18.0,19.0
1986-02-13,0.511,0.511,0.511,,,0.511,0.0,19.0
1986-02-14,0.497,0.497,0.497,,,0.497,0.0,19.0
1986-02-18,0.49,0.49,0.477,,,0.477,2.0,21.0
1986-02-19,0.479,0.479,0.4775,,,0.4775,3.0,24.0
1986-02-20,0.4735,0.4735,0.4735,,,0.4735,0.0,24.0
1986-02-21,0.478,0.478,0.4535,,,0.4535,2.0,26.0
1986-02-24,0.48,0.4835,0.48,,,0.4835,3.0,29.0
1986-02-25,0.499,0.499,0.4815,,,0.4815,1.0,28.0
1986-02-26,0.4685,0.4685,0.4685,,,0.4685,0.0,28.0
1986-02-27,0.4555,0.4555,0.4555,,,0.4555,0.0,28.0
1986-02-28,0.455,0.455,0.445,,,0.445,1.0,29.0
1986-03-03,0.4325,0.4325,0.425,,,0.425,3.0,32.0
1986-03-04,0.4275,0.4275,0.4275,,,0.4275,1.0,32.0
1986-03-05,0.418,0.418,0.418,,,0.418,0.0,32.0
1986-03-06,0.438,0.438,0.438,,,0.438,0.0,32.0
1986-03-07,0.412,0.412,0.412,,,0.412,9.0,32.0
1986-03-10,0.432,0.432,0.432,,,0.432,0.0,32.0
1986-03-11,0.4415,0.4415,0.4415,,,0.4415,0.0,32.0
1986-03-12,0.4615,0.4615,0.4615,,,0.4615,0.0,32.0
1986-03-13,0.4315,0.4315,0.4315,,,0.4315,0.0,32.0
1986-03-14,0.4315,0.4315,0.4315,,,0.4315,0.0,32.0
1986-03-17,0.461,0.461,0.461,,,0.461,0.0,32.0
1986-03-18,0.457,0.457,0.457,,,0.457,0.0,32.0
1986-03-19,0.446,0.446,0.446,,,0.446,0.0,32.0
1986-03-20,0.45,0.45,0.435,,,0.435,16.0,42.0
1986-03-21,0.455,0.455,0.455,,,0.455,0.0,42.0
1986-03-24,0.425,0.435,0.425,,,0.427,0.0,45.0
1986-03-25,0.433,0.433,0.433,,,0.433,0.0,45.0
1986-03-26,0.435,0.435,0.42,,,0.42,0.0,48.0
1986-03-27,0.425,0.425,0.405,,,0.405,2.0,50.0
1986-03-31,0.395,0.395,0.376,,,0.376,6.0,56.0
1986-04-01,0.369,0.396,0.369,,,0.396,1.0,57.0
1986-04-02,0.4075,0.4075,0.4025,,,0.4025,2.0,59.0
1986-04-03,0.4025,0.405,0.4,,,0.4005,3.0,61.0
1986-04-04,0.4205,0.4205,0.4165,,,0.4165,2.0,60.0
1986-04-07,0.4465,0.4465,0.4465,,,0.4465,0.0,60.0
1986-04-08,0.435,0.435,0.407,,,0.407,2.0,58.0
1986-04-09,0.4205,0.4205,0.4205,,,0.4205,0.0,58.0
1986-04-10,0.435,0.435,0.4205,,,0.4205,12.0,69.0
1986-04-11,0.4305,0.4305,0.4215,,,0.4215,1.0,70.0
1986-04-14,0.4225,0.4225,0.4057,,,0.4057,3.0,73.0
1986-04-15,0.415,0.415,0.3989,,,0.3989,6.0,79.0
1986-04-16,0.4,0.4,0.3882,,,0.3882,32.0,91.0
1986-04-17,0.4,0.4,0.3902,,,0.3902,42.0,105.0
1986-04-18,0.3875,0.398,0.3875,,,0.393,7.0,108.0
1986-04-21,0.396,0.401,0.396,,,0.398,8.0,116.0
1986-04-22,0.4,0.4005,0.398,,,0.3993,7.0,123.0
1986-04-23,0.41,0.419,0.41,,,0.419,3.0,123.0
1986-04-24,0.434,0.434,0.4115,,,0.4115,3.0,126.0
1986-04-25,0.424,0.424,0.424,,,0.424,0.0,126.0
1986-04-28,0.424,0.424,0.424,,,0.424,0.0,126.0
1986-04-29,0.418,0.418,0.415,,,0.4155,7.0,133.0
1986-04-30,0.4128,0.4128,0.4128,,,0.4128,0.0,133.0
1986-05-01,0.425,0.43,0.4175,,,0.4175,7.0,140.0
1986-05-02,0.4375,0.4375,0.431,,,0.431,7.0,145.0
1986-05-05,0.433,0.435,0.425,,,0.425,10.0,155.0
1986-05-06,0.429,0.429,0.429,,,0.429,0.0,155.0
