Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.8285,0.0,0.0
2016-12-02,,,,,0.021,1.8495,0.0,0.0
2016-12-05,,,,,0.008,1.8575,0.0,0.0
2016-12-06,,,,,0.0186,1.8389,0.0,0.0
2016-12-07,,,,,0.0212,1.8177,0.0,0.0
2016-12-08,,,,,0.0088,1.8089,0.0,0.0
2016-12-09,,,,,0.0001,1.809,0.0,0.0
2016-12-12,,,,,0.0117,1.8207,0.0,0.0
2016-12-13,,,,,,1.8207,0.0,0.0
2016-12-14,,,,,0.0233,1.7974,0.0,0.0
2016-12-15,,,,,0.0004,1.7978,0.0,0.0
2016-12-16,,,,,0.0193,1.8171,0.0,0.0
2016-12-19,,,,,0.0003,1.8168,0.0,0.0
2016-12-20,,,,,0.0121,1.8289,0.0,0.0
2016-12-21,,,,,0.0184,1.8105,0.0,0.0
2016-12-22,,,,,0.0026,1.8131,0.0,0.0
2016-12-23,,,,,0.0019,1.815,0.0,0.0
2016-12-27,,,,,0.0174,1.8324,0.0,0.0
2016-12-28,,,,,0.0088,1.8412,0.0,0.0
2016-12-29,,,,,0.0088,1.85,0.0,0.0
2016-12-30,,,,,0.0037,1.8537,0.0,0.0
2017-01-03,,,,,0.0319,1.8218,0.0,0.0
2017-01-04,,,,,0.0289,1.8507,0.0,0.0
2017-01-05,,,,,0.0048,1.8555,0.0,0.0
2017-01-06,,,,,0.0044,1.8599,0.0,0.0
2017-01-09,,,,,0.0444,1.8155,0.0,0.0
2017-01-10,,,,,0.028,1.7875,0.0,0.0
2017-01-11,,,,,0.0244,1.8119,0.0,0.0
2017-01-12,,,,,0.0114,1.8233,0.0,0.0
2017-01-13,,,,,0.0181,1.8052,0.0,0.0
2017-01-17,,,,,0.0033,1.8085,0.0,0.0
2017-01-18,,,,,0.0235,1.785,0.0,0.0
2017-01-19,,,,,0.0057,1.7907,0.0,0.0
2017-01-20,,,,,0.026,1.8167,0.0,0.0
2017-01-23,,,,,0.0116,1.8051,0.0,0.0
2017-01-24,,,,,0.0026,1.8077,0.0,0.0
2017-01-25,,,,,0.0263,1.7814,0.0,0.0
2017-01-26,,,,,0.0137,1.7951,0.0,0.0
2017-01-27,,,,,0.0246,1.7705,0.0,0.0
2017-01-30,,,,,0.0078,1.7627,0.0,0.0
2017-01-31,,,,,0.0042,1.7669,0.0,0.0
2017-02-01,,,,,0.025,1.7919,0.0,0.0
2017-02-02,,,,,0.015,1.7769,0.0,0.0
2017-02-03,,,,,0.0137,1.7906,0.0,0.0
2017-02-06,,,,,0.0207,1.7699,0.0,0.0
2017-02-07,,,,,0.0106,1.7593,0.0,0.0
2017-02-08,,,,,0.0085,1.7678,0.0,0.0
2017-02-09,,,,,0.0085,1.7763,0.0,0.0
2017-02-10,,,,,0.0125,1.7888,0.0,0.0
2017-02-13,,,,,0.0276,1.7612,0.0,0.0
2017-02-14,,,,,0.0056,1.7668,0.0,0.0
2017-02-15,,,,,0.005,1.7618,0.0,0.0
2017-02-16,,,,,0.0037,1.7581,0.0,0.0
2017-02-17,,,,,0.0022,1.7603,0.0,0.0
2017-02-21,,,,,0.0177,1.7426,0.0,0.0
2017-02-22,,,,,0.0149,1.7277,0.0,0.0
2017-02-23,,,,,0.0155,1.7432,0.0,0.0
2017-02-24,,,,,0.0105,1.7327,0.0,0.0
2017-02-27,,,,,0.006,1.7387,0.0,0.0
2017-02-28,,,,,0.0014,1.7401,0.0,0.0
2017-03-01,,,,,0.0087,1.7314,0.0,0.0
2017-03-02,,,,,0.0295,1.7019,0.0,0.0
2017-03-03,,,,,0.0119,1.7138,0.0,0.0
2017-03-06,,,,,0.0049,1.7187,0.0,0.0
2017-03-07,,,,,0.0093,1.728,0.0,0.0
2017-03-08,1.697,1.697,1.6955,1.6955,0.0453,1.6827,2.0,0.0
2017-03-09,,,,,0.0157,1.667,0.0,2.0
2017-03-10,,,,,0.0257,1.6413,0.0,2.0
2017-03-13,,,,,0.0007,1.642,0.0,2.0
2017-03-14,,,,,0.0016,1.6404,0.0,2.0
2017-03-15,,,,,0.0074,1.6478,0.0,2.0
2017-03-16,,,,,0.0067,1.6411,0.0,2.0
2017-03-17,,,,,0.002,1.6431,0.0,2.0
2017-03-20,,,,,0.0069,1.65,0.0,2.0
2017-03-21,,,,,0.0063,1.6437,0.0,2.0
2017-03-22,,,,,0.0006,1.6431,0.0,2.0
2017-03-23,,,,,0.0073,1.6358,0.0,2.0
2017-03-24,,,,,0.0024,1.6382,0.0,2.0
2017-03-27,,,,,0.007,1.6452,0.0,2.0
2017-03-28,,,,,0.0016,1.6436,0.0,2.0
2017-03-29,,1.6475,,1.6475,0.0184,1.662,0.0,2.0
2017-03-30,,,,,0.0127,1.6747,0.0,2.0
2017-03-31,,,,,0.0117,1.6864,0.0,2.0
2017-04-03,,,,,0.0021,1.6843,0.0,2.0
2017-04-04,,,,,0.023,1.7073,0.0,2.0
2017-04-05,,,,,0.0047,1.712,0.0,2.0
