Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2001-09-04,0.6805,0.6805,0.6805,,,0.6805,0.0,0.0
2001-09-05,0.6875,0.6875,0.6855,,,0.6858,7.0,7.0
2001-09-06,0.6915,0.6915,0.6915,,,0.6915,0.0,7.0
2001-09-07,0.6965,0.7024,0.6965,,,0.7024,1.0,8.0
2001-09-10,0.6909,0.6909,0.6909,,,0.6909,1.0,8.0
2001-09-14,0.7207,0.7207,0.7207,,,0.7207,0.0,8.0
2001-09-17,0.711,0.711,0.711,,,0.711,0.0,8.0
2001-09-18,0.6782,0.6782,0.6782,,,0.6782,0.0,8.0
2001-09-19,0.6751,0.6751,0.6751,,,0.6751,0.0,8.0
2001-09-20,0.672,0.672,0.672,,,0.672,0.0,8.0
2001-09-21,0.6629,0.6629,0.6629,,,0.6629,1.0,9.0
2001-09-24,0.6079,0.6079,0.6079,,,0.6079,1.0,10.0
2001-09-25,0.627,0.627,0.6119,,,0.6142,18.0,25.0
2001-09-26,0.618,0.6316,0.6052,,,0.6316,16.0,42.0
2001-09-27,0.64,0.64,0.6324,,,0.6324,3.0,49.0
2001-09-28,0.6454,0.6505,0.6439,,,0.6439,12.0,61.0
2001-10-01,0.656,0.656,0.6478,,,0.6478,102.0,119.0
2001-10-02,0.65,0.65,0.6391,,,0.6391,1.0,120.0
2001-10-03,0.6375,0.6375,0.6307,,,0.6307,2.0,122.0
2001-10-04,0.6381,0.6381,0.6381,,,0.6381,0.0,122.0
2001-10-05,0.6284,0.6284,0.6284,,,0.6284,50.0,129.0
2001-10-08,0.6435,0.6435,0.637,,,0.637,3.0,132.0
2001-10-09,0.64,0.645,0.6387,,,0.6387,2.0,134.0
2001-10-10,0.647,0.647,0.6402,,,0.6402,1.0,135.0
2001-10-11,0.6515,0.6528,0.6515,,,0.6528,2.0,137.0
2001-10-12,0.64,0.64,0.6306,,,0.6306,13.0,146.0
2001-10-15,0.6345,0.6345,0.6247,,,0.6247,104.0,218.0
2001-10-16,0.629,0.634,0.6198,,,0.6198,5.0,222.0
2001-10-17,0.6223,0.6245,0.6223,,,0.6245,96.0,278.0
2001-10-18,0.624,0.6245,0.6126,,,0.6126,23.0,296.0
2001-10-19,0.621,0.625,0.621,,,0.6219,8.0,303.0
2001-10-22,0.6285,0.6285,0.6207,,,0.6207,3.0,301.0
2001-10-23,0.625,0.625,0.6174,,,0.6174,107.0,358.0
2001-10-24,0.621,0.6263,0.621,,,0.6263,1.0,360.0
2001-10-25,0.6221,0.6221,0.6221,,,0.6221,0.0,359.0
2001-10-26,0.622,0.625,0.6169,,,0.6169,32.0,389.0
2001-10-29,0.6217,0.6217,0.6217,,,0.6217,206.0,545.0
2001-10-30,0.62,0.624,0.6166,,,0.6166,3.0,546.0
2001-10-31,0.617,0.617,0.6044,,,0.6044,8.0,541.0
2001-11-01,0.604,0.605,0.5939,,,0.5939,8.0,546.0
2001-11-02,0.5925,0.595,0.5916,,,0.5916,7.0,548.0
2001-11-05,0.596,0.596,0.5887,,,0.5887,42.0,529.0
2001-11-06,0.5915,0.592,0.5885,,,0.5885,39.0,558.0
2001-11-07,0.5935,0.594,0.5872,,,0.5872,39.0,578.0
2001-11-08,0.613,0.613,0.6035,,,0.6111,15.0,579.0
2001-11-09,0.6225,0.629,0.621,,,0.629,33.0,584.0
2001-11-12,0.611,0.611,0.611,,,0.611,27.0,585.0
2001-11-13,0.624,0.624,0.6148,,,0.6148,4.0,587.0
2001-11-14,0.597,0.597,0.5858,,,0.5858,21.0,588.0
2001-11-15,0.58,0.5875,0.5517,,,0.5517,104.0,621.0
2001-11-16,0.564,0.578,0.564,,,0.5691,71.0,637.0
2001-11-19,0.564,0.5752,0.564,,,0.5752,6.0,641.0
2001-11-20,0.592,0.594,0.5852,,,0.5852,110.0,742.0
2001-11-21,0.6,0.6,0.5805,,,0.5805,73.0,766.0
2001-11-26,0.5805,0.5805,0.5736,,,0.5736,107.0,821.0
2001-11-27,0.5935,0.5935,0.5872,,,0.5872,11.0,825.0
2001-11-28,0.585,0.585,0.5845,,,0.5845,6.0,827.0
2001-11-29,0.595,0.595,0.5774,,,0.5774,230.0,924.0
2001-11-30,0.582,0.5954,0.582,,,0.5954,91.0,1014.0
2001-12-03,0.6054,0.6054,0.6054,,,0.6054,203.0,1214.0
2001-12-04,0.6125,0.6125,0.5945,,,0.5945,3.0,1214.0
2001-12-05,0.607,0.607,0.5927,,,0.5927,14.0,1213.0
2001-12-06,0.5791,0.5791,0.5791,,,0.5791,52.0,1214.0
2001-12-07,0.579,0.591,0.579,,,0.591,85.0,1190.0
2001-12-10,0.586,0.586,0.5792,,,0.5792,11.0,1214.0
2001-12-11,0.5725,0.577,0.5715,,,0.5715,175.0,1196.0
2001-12-12,0.5751,0.5751,0.5751,,,0.5751,39.0,1196.0
2001-12-13,0.57,0.5785,0.57,,,0.572,58.0,1198.0
2001-12-14,0.592,0.592,0.592,,,0.592,66.0,1208.0
2001-12-17,0.596,0.596,0.592,,,0.592,52.0,1208.0
2001-12-18,0.594,0.597,0.5926,,,0.5926,10.0,1213.0
2001-12-19,0.6065,0.609,0.5979,,,0.5979,55.0,1257.0
2001-12-20,0.605,0.605,0.5856,,,0.5856,85.0,1304.0
2001-12-21,0.59,0.594,0.5831,,,0.5831,41.0,1325.0
2001-12-26,0.6163,0.6163,0.6163,,,0.6163,240.0,1389.0
2001-12-27,0.6143,0.6143,0.6101,,,0.6101,6.0,1389.0
2001-12-28,0.599,0.599,0.599,,,0.599,71.0,1452.0
2001-12-31,0.5945,0.5945,0.5823,,,0.5823,1.0,1452.0
2002-01-02,0.607,0.6126,0.607,,,0.6126,3.0,1454.0
2002-01-03,0.6156,0.6156,0.5974,,,0.5974,28.0,1473.0
2002-01-04,0.613,0.6205,0.613,,,0.6205,88.0,1465.0
2002-01-07,0.6119,0.6119,0.6119,,,0.6119,50.0,1465.0
2002-01-08,0.6096,0.6096,0.6096,,,0.6096,0.0,1465.0
2002-01-09,0.603,0.603,0.5904,,,0.5904,89.0,1398.0
2002-01-10,0.594,0.6019,0.593,,,0.6019,32.0,1404.0
2002-01-11,0.6045,0.6045,0.5927,,,0.5927,12.0,1407.0
2002-01-14,0.59,0.59,0.5802,,,0.582,84.0,1426.0
2002-01-15,0.587,0.5885,0.5798,,,0.5798,20.0,1436.0
2002-01-16,0.579,0.5861,0.579,,,0.5861,9.0,1436.0
2002-01-17,0.579,0.579,0.5735,,,0.5735,26.0,1433.0
2002-01-18,0.5815,0.584,0.5701,,,0.5701,17.0,1437.0
2002-01-22,0.573,0.58,0.573,,,0.5756,32.0,1441.0
2002-01-23,0.585,0.585,0.581,,,0.581,328.0,1552.0
2002-01-24,0.583,0.587,0.5795,,,0.584,25.0,1557.0
2002-01-25,0.581,0.5921,0.581,,,0.5921,108.0,1659.0
2002-01-28,0.5935,0.5935,0.5875,,,0.588,52.0,1658.0
2002-01-29,0.5845,0.588,0.5811,,,0.5811,477.0,1831.0
2002-01-30,0.577,0.581,0.575,,,0.5801,345.0,2039.0
2002-01-31,0.5835,0.5891,0.5835,,,0.5891,158.0,2179.0
2002-02-01,0.6042,0.6042,0.6042,,,0.6042,102.0,2184.0
2002-02-04,0.5941,0.5941,0.5941,,,0.5941,62.0,2206.0
2002-02-05,0.5929,0.5929,0.5929,,,0.5929,2.0,2208.0
2002-02-06,0.5929,0.594,0.5833,,,0.5833,432.0,2254.0
2002-02-07,0.58,0.5834,0.58,,,0.5834,63.0,2310.0
2002-02-08,0.595,0.6035,0.5924,,,0.5936,29.0,2336.0
2002-02-11,0.5895,0.6172,0.5895,,,0.6172,31.0,2352.0
2002-02-12,0.5984,0.5984,0.5984,,,0.5984,251.0,2498.0
2002-02-13,0.6104,0.6104,0.6037,,,0.6037,55.0,2502.0
2002-02-14,0.6039,0.6039,0.6039,,,0.6039,96.0,2545.0
2002-02-15,0.604,0.6075,0.6035,,,0.6075,11.0,2548.0
2002-02-19,0.605,0.605,0.594,,,0.594,2.0,2548.0
2002-02-20,0.594,0.594,0.5875,,,0.5875,101.0,2598.0
2002-02-21,0.601,0.605,0.5978,,,0.5978,53.0,2650.0
2002-02-22,0.602,0.602,0.5973,,,0.5973,54.0,2665.0
2002-02-25,0.593,0.595,0.5814,,,0.5814,142.0,2683.0
2002-02-26,0.588,0.6048,0.588,,,0.6048,35.0,2705.0
2002-02-27,0.6085,0.6105,0.6005,,,0.6005,58.0,2705.0
2002-02-28,0.608,0.616,0.608,,,0.616,2.0,2705.0
2002-03-01,0.6225,0.635,0.6225,,,0.627,59.0,2757.0
2002-03-04,0.625,0.625,0.6219,,,0.6219,79.0,2813.0
2002-03-05,0.64,0.642,0.634,,,0.6392,191.0,2887.0
2002-03-06,0.633,0.6405,0.633,,,0.6391,9.0,2887.0
2002-03-07,0.655,0.671,0.64,,,0.6532,6.0,2888.0
2002-03-08,0.6515,0.6551,0.6492,,,0.6551,104.0,2877.0
2002-03-11,0.67,0.6705,0.6675,,,0.669,20.0,2863.0
2002-03-12,0.6625,0.6691,0.6625,,,0.6691,13.0,2867.0
2002-03-13,0.671,0.679,0.669,,,0.669,119.0,2837.0
2002-03-14,0.661,0.669,0.66,,,0.6679,612.0,2798.0
2002-03-15,0.669,0.67,0.6623,,,0.6623,54.0,2750.0
2002-03-18,0.667,0.676,0.665,,,0.676,8.0,2750.0
2002-03-19,0.6745,0.6775,0.672,,,0.672,131.0,2746.0
2002-03-20,0.6845,0.6845,0.6682,,,0.6682,27.0,2749.0
2002-03-21,0.67,0.681,0.663,,,0.681,113.0,2771.0
2002-03-22,0.6775,0.687,0.6747,,,0.6747,69.0,2807.0
2002-03-25,0.677,0.677,0.669,,,0.6703,36.0,2813.0
2002-03-26,0.6715,0.685,0.6715,,,0.6845,45.0,2833.0
2002-03-27,0.6895,0.6895,0.6874,,,0.6874,146.0,2862.0
2002-03-28,0.6915,0.6915,0.676,,,0.6888,8.0,2828.0
2002-04-01,0.699,0.699,0.6954,,,0.6954,9.0,2836.0
2002-04-02,0.697,0.716,0.697,,,0.7095,938.0,2872.0
2002-04-03,0.709,0.713,0.7075,,,0.7103,502.0,2847.0
2002-04-04,0.718,0.718,0.6914,,,0.6914,430.0,3073.0
2002-04-05,0.6975,0.699,0.679,,,0.689,163.0,3096.0
2002-04-08,0.705,0.705,0.6937,,,0.6937,240.0,3014.0
2002-04-09,0.688,0.689,0.6822,,,0.6822,111.0,3053.0
2002-04-10,0.684,0.684,0.682,,,0.6824,136.0,3159.0
2002-04-11,0.674,0.674,0.6597,,,0.6597,79.0,3219.0
2002-04-12,0.655,0.655,0.6293,,,0.6293,185.0,3240.0
2002-04-15,0.6443,0.6624,0.64,,,0.6624,230.0,3358.0
2002-04-16,0.6675,0.67,0.658,,,0.6655,53.0,3317.0
2002-04-17,0.6705,0.6764,0.669,,,0.6764,107.0,3335.0
2002-04-18,0.686,0.686,0.6726,,,0.6726,368.0,3629.0
2002-04-19,0.6735,0.6885,0.6735,,,0.6813,121.0,3662.0
2002-04-22,0.6822,0.6822,0.6822,,,0.6822,22.0,3667.0
2002-04-23,0.685,0.691,0.685,,,0.6863,140.0,3664.0
2002-04-24,0.68,0.681,0.68,,,0.6809,41.0,3642.0
2002-04-25,0.6925,0.6925,0.6887,,,0.6887,4.0,3641.0
2002-04-26,0.69,0.6929,0.6885,,,0.6929,11.0,3621.0
2002-04-29,0.6995,0.704,0.6995,,,0.7004,133.0,3598.0
2002-04-30,0.699,0.702,0.699,,,0.7004,22.0,3602.0
2002-05-01,0.691,0.695,0.6867,,,0.6867,164.0,3719.0
2002-05-02,0.6795,0.6795,0.675,,,0.6782,21.0,3713.0
2002-05-03,0.683,0.6834,0.677,,,0.6834,5.0,3715.0
2002-05-06,0.668,0.676,0.665,,,0.6724,243.0,3751.0
2002-05-07,0.676,0.683,0.676,,,0.6829,222.0,3768.0
2002-05-08,0.694,0.7,0.6931,,,0.6931,19.0,3763.0
2002-05-09,0.697,0.701,0.6925,,,0.701,11.0,3769.0
2002-05-10,0.711,0.711,0.7071,,,0.7071,35.0,3794.0
2002-05-13,0.702,0.715,0.702,,,0.7117,286.0,3832.0
2002-05-14,0.72,0.7261,0.72,,,0.7261,196.0,3909.0
2002-05-15,0.72,0.725,0.6907,,,0.6907,417.0,3998.0
2002-05-16,0.7025,0.7025,0.696,,,0.6996,368.0,3805.0
2002-05-17,0.695,0.704,0.695,,,0.704,66.0,3808.0
2002-05-20,0.705,0.711,0.705,,,0.7068,64.0,3816.0
2002-05-21,0.6993,0.7015,0.6901,,,0.6901,892.0,4031.0
2002-05-22,0.6905,0.7,0.6905,,,0.6924,144.0,3998.0
2002-05-23,0.6975,0.6975,0.688,,,0.688,317.0,4205.0
2002-05-24,0.681,0.69,0.681,,,0.6843,186.0,4096.0
2002-05-28,0.68,0.6875,0.6687,,,0.6687,420.0,4250.0
2002-05-29,0.669,0.681,0.668,,,0.681,192.0,4210.0
2002-05-30,0.671,0.672,0.657,,,0.657,734.0,4327.0
2002-05-31,0.667,0.672,0.666,,,0.6676,132.0,4340.0
2002-06-03,0.668,0.672,0.66,,,0.6644,65.0,4374.0
2002-06-04,0.667,0.6735,0.667,,,0.6719,56.0,4367.0
2002-06-05,0.668,0.67,0.665,,,0.6659,551.0,4394.0
2002-06-06,0.67,0.67,0.66,,,0.6689,575.0,4639.0
2002-06-07,0.6689,0.672,0.665,,,0.6699,143.0,4709.0
2002-06-10,0.666,0.667,0.6607,,,0.6607,174.0,4763.0
2002-06-11,0.658,0.664,0.658,,,0.6587,661.0,4931.0
2002-06-12,0.665,0.67,0.665,,,0.6676,472.0,4950.0
2002-06-13,0.686,0.6875,0.685,,,0.6864,350.0,4998.0
2002-06-14,0.683,0.6921,0.683,,,0.6921,116.0,5108.0
2002-06-17,0.695,0.698,0.6881,,,0.6881,140.0,5111.0
2002-06-18,0.691,0.691,0.681,,,0.681,89.0,5108.0
2002-06-19,0.679,0.6915,0.6772,,,0.6772,14.0,5115.0
2002-06-20,0.6835,0.6866,0.6775,,,0.6866,116.0,5215.0
2002-06-21,0.6775,0.68,0.675,,,0.6772,493.0,5323.0
2002-06-24,0.6905,0.6907,0.689,,,0.6907,12.0,5332.0
