Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.748,0.0,0.0
2015-12-01,,,,,0.0288,1.7768,0.0,0.0
2015-12-02,,,,,0.0341,1.7427,0.0,0.0
2015-12-03,,,,,0.0363,1.779,0.0,0.0
2015-12-04,,,,,0.0134,1.7656,0.0,0.0
2015-12-07,,,,,0.0312,1.7344,0.0,0.0
2015-12-08,,,,,0.0108,1.7452,0.0,0.0
2015-12-09,,,,,0.0016,1.7436,0.0,0.0
2015-12-10,,,,,0.0096,1.734,0.0,0.0
2015-12-11,,,,,0.0223,1.7117,0.0,0.0
2015-12-14,,,,,0.0086,1.7031,0.0,0.0
2015-12-15,,,,,0.0042,1.7073,0.0,0.0
2015-12-16,,,,,0.0406,1.6667,0.0,0.0
2015-12-17,,,,,0.0102,1.6565,0.0,0.0
2015-12-18,,,,,0.0071,1.6494,0.0,0.0
2015-12-21,,,,,0.009,1.6404,0.0,0.0
2015-12-22,,,,,0.0128,1.6276,0.0,0.0
2015-12-23,,,,,0.0181,1.6457,0.0,0.0
2015-12-24,,,,,0.0003,1.646,0.0,0.0
2015-12-28,,,,,0.0213,1.6247,0.0,0.0
2015-12-29,,,,,0.0201,1.6448,0.0,0.0
2015-12-30,,,,,0.0302,1.6146,0.0,0.0
2015-12-31,,,,,0.0121,1.6267,0.0,0.0
2016-01-04,,,,,0.0054,1.6213,0.0,0.0
2016-01-05,,,,,0.0138,1.6075,0.0,0.0
2016-01-06,,,,,0.0386,1.5689,0.0,0.0
2016-01-07,,,,,0.0147,1.5542,0.0,0.0
2016-01-08,,,,,0.0064,1.5478,0.0,0.0
2016-01-11,,,,,0.0373,1.5105,0.0,0.0
2016-01-12,,,,,0.0317,1.4788,0.0,0.0
2016-01-13,,,,,0.0195,1.4593,0.0,0.0
2016-01-14,,,,,0.0021,1.4572,0.0,0.0
2016-01-15,,,,,0.0547,1.4025,0.0,0.0
2016-01-19,,,,,0.0425,1.36,0.0,0.0
2016-01-20,,,,,0.0366,1.3234,0.0,0.0
2016-01-21,,,,,0.0184,1.3418,0.0,0.0
2016-01-22,,,,,0.0729,1.4147,0.0,0.0
2016-01-25,,,,,0.0362,1.3785,0.0,0.0
2016-01-26,,,,,0.0323,1.4108,0.0,0.0
2016-01-27,,,,,0.0355,1.4463,0.0,0.0
2016-01-28,,,,,0.0062,1.4525,0.0,0.0
2016-01-29,,,,,0.0421,1.4946,0.0,0.0
