Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2006-10-02,1.9567,1.9567,1.9567,,,1.9567,0.0,0.0
2006-10-03,1.9179,1.9179,1.9179,,,1.9179,50.0,50.0
2006-10-04,1.9344,1.9344,1.9344,,,1.9344,50.0,100.0
2006-10-05,1.9351,1.9351,1.9351,,,1.9351,2.0,102.0
2006-10-06,1.9351,1.9351,1.9351,,,1.9351,2.0,102.0
2006-10-09,1.9585,1.9585,1.938,,,1.938,1.0,103.0
2006-10-10,1.9098,1.9098,1.9098,,,1.9098,0.0,103.0
2006-10-11,1.8973,1.8973,1.8973,,,1.8973,0.0,103.0
2006-10-12,1.9053,1.9053,1.9053,,,1.9053,0.0,103.0
2006-10-13,1.925,1.925,1.9201,,,1.9201,5.0,108.0
2006-10-16,1.925,1.9526,1.925,,,1.9526,1.0,109.0
2006-10-17,1.9286,1.9286,1.9286,,,1.9286,1.0,109.0
2006-10-18,1.9068,1.9068,1.9068,,,1.9068,8.0,112.0
2006-10-19,1.9374,1.9374,1.9374,,,1.9374,8.0,112.0
2006-10-20,1.9134,1.9134,1.9134,,,1.9134,8.0,112.0
2006-10-23,1.903,1.903,1.8984,,,1.8984,1.0,113.0
2006-10-24,1.9135,1.9135,1.9092,,,1.9092,6.0,116.0
2006-10-25,1.9514,1.9514,1.9514,,,1.9514,59.0,116.0
2006-10-26,1.927,1.927,1.927,,,1.927,6.0,116.0
2006-10-27,1.927,1.9365,1.927,,,1.9365,1.0,117.0
2006-10-30,1.8845,1.8845,1.8845,,,1.8845,25.0,142.0
2006-10-31,1.9045,1.9045,1.9045,,,1.9045,1.0,142.0
2006-11-01,1.8997,1.8997,1.8997,,,1.8997,50.0,142.0
2006-11-02,1.8852,1.8852,1.8852,,,1.8852,50.0,192.0
2006-11-03,1.9109,1.9109,1.9109,,,1.9109,15.0,207.0
2006-11-06,1.9371,1.9371,1.9371,,,1.9371,50.0,192.0
2006-11-07,1.9285,1.9285,1.9018,,,1.9018,2.0,194.0
2006-11-08,1.9176,1.9176,1.9176,,,1.9176,50.0,194.0
2006-11-09,1.946,1.946,1.9436,,,1.9436,2.0,196.0
2006-11-10,1.9108,1.9108,1.9108,,,1.9108,2.0,196.0
2006-11-13,1.905,1.905,1.8937,,,1.8937,1.0,197.0
2006-11-14,1.8922,1.8922,1.8922,,,1.8922,2.0,197.0
2006-11-15,1.9094,1.9094,1.9094,,,1.9094,1.0,198.0
2006-11-16,1.8656,1.8656,1.8656,,,1.8656,2.0,198.0
2006-11-17,1.8859,1.8859,1.8859,,,1.8859,0.0,198.0
2006-11-20,1.895,1.895,1.895,,,1.895,2.0,198.0
2006-11-21,1.9246,1.9246,1.9246,,,1.9246,2.0,198.0
2006-11-22,1.8882,1.8882,1.8882,,,1.8882,5.0,203.0
