Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-04-16,2.0208,2.0208,2.0208,,,2.0208,0.0,0.0
2007-04-17,2.0311,2.0311,2.0311,,,2.0311,0.0,0.0
2007-04-18,1.9766,1.9766,1.9766,,,1.9766,0.0,0.0
2007-04-19,1.9457,1.9457,1.9457,,,1.9457,0.0,0.0
2007-04-20,1.951,1.951,1.951,,,1.951,0.0,0.0
2007-04-23,1.9945,1.9945,1.9945,,,1.9945,0.0,0.0
2007-04-24,1.96,1.96,1.96,,,1.96,0.0,0.0
2007-04-25,1.9901,1.9901,1.9901,,,1.9901,0.0,0.0
2007-04-26,1.9673,1.9673,1.9673,,,1.9673,0.0,0.0
2007-04-27,1.9907,1.9907,1.9907,,,1.9907,0.0,0.0
2007-04-30,1.9753,1.9753,1.9753,,,1.9753,0.0,0.0
2007-05-01,1.9779,1.9779,1.9779,,,1.9779,0.0,0.0
2007-05-02,1.9631,1.9631,1.9631,,,1.9631,0.0,0.0
2007-05-03,1.9598,1.9598,1.9598,,,1.9598,0.0,0.0
2007-05-04,1.9589,1.9589,1.9589,,,1.9589,0.0,0.0
2007-05-07,1.939,1.939,1.939,,,1.939,0.0,0.0
2007-05-08,1.9519,1.9519,1.9519,,,1.9519,0.0,0.0
2007-05-09,1.9428,1.9428,1.9428,,,1.9428,0.0,0.0
2007-05-10,1.9525,1.9525,1.9525,,,1.9525,0.0,0.0
2007-05-11,1.9653,1.9653,1.9653,,,1.9653,0.0,0.0
2007-05-14,1.9597,1.9597,1.9597,,,1.9597,0.0,0.0
2007-05-15,1.9827,1.9827,1.9827,,,1.9827,0.0,0.0
2007-05-16,1.9765,1.9765,1.9765,,,1.9765,0.0,0.0
2007-05-17,2.0142,2.0142,2.0142,,,2.0142,0.0,0.0
2007-05-18,2.0002,2.0002,2.0002,,,2.0002,0.0,0.0
2007-05-21,2.0182,2.0182,2.0182,,,2.0182,0.0,0.0
2007-05-22,1.9742,1.9742,1.9742,,,1.9742,0.0,0.0
2007-05-23,1.9911,1.9911,1.9911,,,1.9911,0.0,0.0
2007-05-24,1.986,1.986,1.986,,,1.986,0.0,0.0
2007-05-25,2.0021,2.0021,2.0021,,,2.0021,0.0,0.0
2007-05-29,1.9566,1.9566,1.9566,,,1.9566,0.0,0.0
2007-05-30,1.9668,1.9668,1.9668,,,1.9668,0.0,0.0
2007-05-31,1.9676,1.9676,1.9676,,,1.9676,0.0,0.0
2007-06-01,1.9943,1.9943,1.9943,,,1.9943,0.0,0.0
2007-06-04,2.0101,2.0101,2.0101,,,2.0101,0.0,0.0
2007-06-05,2.0009,2.0009,2.0009,,,2.0009,0.0,0.0
2007-06-06,2.0092,2.0092,2.0092,,,2.0092,0.0,0.0
2007-06-07,2.025,2.025,2.025,,,2.025,0.0,0.0
2007-06-08,1.9668,1.9668,1.9668,,,1.9668,0.0,0.0
2007-06-11,2.0031,2.0031,2.0031,,,2.0031,0.0,0.0
2007-06-12,1.9904,1.9904,1.9904,,,1.9904,0.0,0.0
2007-06-13,2.006,2.006,2.006,,,2.006,0.0,0.0
2007-06-14,2.0296,2.0296,2.0296,,,2.0296,0.0,0.0
2007-06-15,2.0371,2.0371,2.0371,,,2.0371,0.0,0.0
2007-06-18,2.0582,2.0582,2.0582,,,2.0582,0.0,0.0
2007-06-19,2.0532,2.0532,2.0532,,,2.0532,0.0,0.0
2007-06-20,2.0443,2.0443,2.0443,,,2.0443,0.0,0.0
2007-06-21,2.0225,2.0225,2.0225,,,2.0225,0.0,0.0
2007-06-22,2.0355,2.0355,2.0355,,,2.0355,0.0,0.0
2007-06-25,2.0384,2.0384,2.0384,,,2.0384,0.0,0.0
2007-06-26,1.9988,1.9988,1.9988,,,1.9988,0.0,0.0
2007-06-27,2.0156,2.0156,2.0156,,,2.0156,0.0,0.0
2007-06-28,2.0056,2.0056,2.0056,,,2.0056,0.0,0.0
2007-06-29,2.0154,2.0154,2.0154,,,2.0154,0.0,0.0
2007-07-02,2.0432,2.0432,2.0432,,,2.0432,0.0,0.0
2007-07-03,2.0497,2.0497,2.0497,,,2.0497,0.0,0.0
2007-07-05,2.0648,2.0648,2.0648,,,2.0648,0.0,0.0
2007-07-06,2.0698,2.0698,2.0698,,,2.0698,0.0,0.0
2007-07-09,2.0778,2.0778,2.0778,,,2.0778,0.0,0.0
2007-07-10,2.0988,2.0988,2.0988,,,2.0988,0.0,0.0
2007-07-11,2.0853,2.0853,2.0853,,,2.0853,0.0,0.0
2007-07-12,2.0822,2.0822,2.0822,,,2.0822,0.0,0.0
2007-07-13,2.0856,2.0856,2.0856,,,2.0856,0.0,0.0
2007-07-16,2.0481,2.0481,2.0481,,,2.0481,0.0,0.0
2007-07-17,2.0322,2.0322,2.0322,,,2.0322,0.0,0.0
2007-07-18,2.0651,2.0651,2.0651,,,2.0651,0.0,0.0
2007-07-19,2.063,2.063,2.063,,,2.063,0.0,0.0
2007-07-20,2.0557,2.0557,2.0557,,,2.0557,0.0,0.0
2007-07-23,2.0359,2.0359,2.0359,,,2.0359,0.0,0.0
2007-07-24,2.0115,2.0115,2.0115,,,2.0115,0.0,0.0
2007-07-25,2.0502,2.0502,2.0502,,,2.0502,0.0,0.0
2007-07-26,2.0171,2.0171,2.0171,,,2.0171,0.0,0.0
2007-07-27,2.0409,2.0409,2.0409,,,2.0409,0.0,0.0
2007-07-30,2.0256,2.0256,2.0256,,,2.0256,0.0,0.0
2007-07-31,2.0457,2.0457,2.0457,,,2.0457,0.0,0.0
2007-08-01,2.0234,2.0234,2.0234,,,2.0234,0.0,0.0
2007-08-02,2.0351,2.0351,2.0351,,,2.0351,0.0,0.0
2007-08-03,2.011,2.011,2.011,,,2.011,0.0,0.0
2007-08-06,1.9463,1.9463,1.9463,,,1.9463,0.0,0.0
2007-08-07,1.9716,1.9716,1.9716,,,1.9716,0.0,0.0
2007-08-08,1.9623,1.9623,1.9623,,,1.9623,0.0,0.0
2007-08-09,1.9677,1.9677,1.9677,,,1.9677,0.0,0.0
2007-08-10,1.9472,1.9472,1.9472,,,1.9472,0.0,0.0
2007-08-13,1.934,1.934,1.934,,,1.934,0.0,0.0
2007-08-14,1.9433,1.9433,1.9433,,,1.9433,0.0,0.0
2007-08-15,1.9689,1.9689,1.9689,,,1.9689,0.0,0.0
2007-08-16,1.9284,1.9284,1.9284,,,1.9284,0.0,0.0
2007-08-17,1.9545,1.9545,1.9545,,,1.9545,0.0,0.0
2007-08-20,1.9359,1.9359,1.9359,,,1.9359,0.0,0.0
2007-08-21,1.91,1.91,1.91,,,1.91,0.0,0.0
2007-08-22,1.9129,1.9129,1.9129,,,1.9129,0.0,0.0
2007-08-23,1.9254,1.9254,1.9254,,,1.9254,0.0,0.0
2007-08-24,1.9523,1.9523,1.9523,,,1.9523,0.0,0.0
2007-08-27,1.9662,1.9662,1.9662,,,1.9662,0.0,0.0
2007-08-28,1.9463,1.9463,1.9463,,,1.9463,0.0,0.0
2007-08-29,1.9695,1.9695,1.9695,,,1.9695,0.0,0.0
2007-08-30,1.9546,1.9546,1.9546,,,1.9546,0.0,0.0
2007-08-31,1.9649,1.9649,1.9649,,,1.9649,0.0,0.0
2007-09-04,1.975,1.975,1.975,,,1.975,0.0,0.0
2007-09-05,1.9779,1.9779,1.9779,,,1.9779,0.0,0.0
2007-09-06,1.9988,1.9988,1.9988,,,1.9988,0.0,0.0
2007-09-07,2.0057,2.0057,2.0057,,,2.0057,0.0,0.0
2007-09-10,2.0216,2.0216,2.0216,,,2.0216,0.0,0.0
2007-09-11,2.0287,2.0287,2.0287,,,2.0287,0.0,0.0
2007-09-12,2.0656,2.0656,2.0656,,,2.0656,0.0,0.0
2007-09-13,2.062,2.062,2.062,,,2.062,0.0,0.0
2007-09-14,2.0418,2.0418,2.0418,,,2.0418,0.0,0.0
2007-09-17,2.0542,2.0542,2.0542,,,2.0542,0.0,0.0
2007-09-18,2.0673,2.0673,2.0673,,,2.0673,0.0,0.0
2007-09-19,2.0733,2.0733,2.0733,,,2.0733,0.0,0.0
2007-09-20,2.1004,2.1004,2.1004,,,2.1004,0.0,0.0
2007-09-21,2.1071,2.1071,2.1071,,,2.1071,0.0,0.0
