Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.743,0.0,0.0
2015-12-01,,,,,0.0288,1.7718,0.0,0.0
2015-12-02,,,,,0.0341,1.7377,0.0,0.0
2015-12-03,,,,,0.0363,1.774,0.0,0.0
2015-12-04,,,,,0.0134,1.7606,0.0,0.0
2015-12-07,,,,,0.0312,1.7294,0.0,0.0
2015-12-08,,,,,0.0108,1.7402,0.0,0.0
2015-12-09,,,,,0.0016,1.7386,0.0,0.0
2015-12-10,,,,,0.0096,1.729,0.0,0.0
2015-12-11,,,,,0.0223,1.7067,0.0,0.0
2015-12-14,,,,,0.0086,1.6981,0.0,0.0
2015-12-15,,,,,0.0042,1.7023,0.0,0.0
2015-12-16,,,,,0.0406,1.6617,0.0,0.0
2015-12-17,,,,,0.0102,1.6515,0.0,0.0
2015-12-18,,,,,0.0071,1.6444,0.0,0.0
2015-12-21,,,,,0.009,1.6354,0.0,0.0
2015-12-22,,,,,0.0128,1.6226,0.0,0.0
2015-12-23,,,,,0.0181,1.6407,0.0,0.0
2015-12-24,,,,,0.0003,1.641,0.0,0.0
2015-12-28,,,,,0.0213,1.6197,0.0,0.0
2015-12-29,,,,,0.0201,1.6398,0.0,0.0
2015-12-30,,,,,0.0302,1.6096,0.0,0.0
2015-12-31,,,,,0.0121,1.6217,0.0,0.0
2016-01-04,,,,,0.0054,1.6163,0.0,0.0
2016-01-05,,,,,0.0138,1.6025,0.0,0.0
2016-01-06,,,,,0.0386,1.5639,0.0,0.0
2016-01-07,,,,,0.0147,1.5492,0.0,0.0
2016-01-08,,,,,0.0064,1.5428,0.0,0.0
2016-01-11,,,,,0.0373,1.5055,0.0,0.0
2016-01-12,,,,,0.0317,1.4738,0.0,0.0
2016-01-13,,,,,0.0195,1.4543,0.0,0.0
2016-01-14,,,,,0.0021,1.4522,0.0,0.0
2016-01-15,,,,,0.0547,1.3975,0.0,0.0
2016-01-19,,,,,0.0425,1.355,0.0,0.0
2016-01-20,,,,,0.0366,1.3184,0.0,0.0
2016-01-21,,,,,0.0184,1.3368,0.0,0.0
2016-01-22,,,,,0.0729,1.4097,0.0,0.0
2016-01-25,,,,,0.0362,1.3735,0.0,0.0
2016-01-26,,,,,0.0323,1.4058,0.0,0.0
2016-01-27,,,,,0.0355,1.4413,0.0,0.0
2016-01-28,,,,,0.0062,1.4475,0.0,0.0
2016-01-29,,,,,0.0421,1.4896,0.0,0.0
2016-02-01,,,,,0.0387,1.4509,0.0,0.0
2016-02-02,,,,,0.0257,1.4252,0.0,0.0
