Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2006-12-01,1.9209,1.9209,1.9209,,,1.9209,0.0,0.0
2006-12-04,1.9029,1.9029,1.9029,,,1.9029,1.0,0.0
2006-12-05,1.9043,1.9043,1.9043,,,1.9043,50.0,1.0
2006-12-06,1.9014,1.9014,1.9014,,,1.9014,0.0,51.0
2006-12-07,1.8924,1.8924,1.8924,,,1.8924,0.0,51.0
2006-12-08,1.91,1.91,1.91,,,1.8747,78.0,51.0
2006-12-11,1.8715,1.8715,1.8715,,,1.8715,25.0,126.0
2006-12-12,1.89,1.89,1.89,,,1.8735,6.0,151.0
2006-12-13,1.8755,1.8755,1.8755,,,1.8755,0.0,156.0
2006-12-14,1.9026,1.9026,1.9026,,,1.9026,0.0,156.0
2006-12-15,1.9037,1.9037,1.9037,,,1.9037,1.0,156.0
2006-12-18,1.8835,1.8835,1.8835,,,1.8835,1.0,0.0
2006-12-19,1.8835,1.8835,1.8835,,,1.8835,1.0,0.0
2006-12-20,1.9075,1.9075,1.9075,,,1.8988,151.0,811.0
2006-12-21,1.8815,1.8815,1.8815,,,1.8815,235.0,962.0
2006-12-22,1.879,1.879,1.879,,,1.8723,2.0,1067.0
2006-12-26,1.8428,1.8428,1.8428,,,1.8428,50.0,1067.0
2006-12-27,1.84,1.84,1.84,,,1.84,0.0,1117.0
2006-12-28,1.84,1.84,1.84,,,1.84,0.0,1117.0
2006-12-29,1.85,1.85,1.85,,,1.85,0.0,1170.0
2007-01-02,1.85,1.85,1.85,,,1.85,0.0,1807.0
2007-01-03,1.7996,1.7996,1.7996,,,1.7996,1351.0,1170.0
2007-01-04,1.7516,1.7516,1.7516,,,1.7516,0.0,1792.0
2007-01-05,1.7628,1.7628,1.7628,,,1.7628,40.0,1792.0
2007-01-08,1.76,1.76,1.76,,,1.76,13.0,0.0
2007-01-09,1.7375,1.7375,1.7375,,,1.7525,11.0,1887.0
2007-01-10,1.72,1.72,1.72,,,1.72,100.0,1888.0
2007-01-11,1.7125,1.7125,1.69,,,1.6599,26.0,1891.0
2007-01-12,1.6682,1.6682,1.6682,,,1.6682,0.0,2084.0
2007-01-16,1.63,1.63,1.63,,,1.63,0.0,2084.0
2007-01-17,1.64,1.64,1.64,,,1.64,50.0,0.0
2007-01-18,1.63,1.63,1.63,,,1.63,2.0,0.0
2007-01-19,1.63,1.63,1.63,,,1.63,2.0,0.0
2007-01-22,1.661,1.661,1.661,,,1.661,1.0,0.0
2007-01-23,1.661,1.661,1.661,,,1.661,1.0,2242.0
2007-01-24,1.7,1.7,1.7,,,1.7,25.0,0.0
2007-01-25,1.6739,1.6739,1.6739,,,1.6739,25.0,2303.0
2007-01-26,1.68,1.7099,1.68,,,1.7099,0.0,2314.0
2007-01-29,1.6687,1.6687,1.6687,,,1.6687,0.0,2314.0
2007-01-30,1.74,1.74,1.74,,,1.74,0.0,2483.0
2007-01-31,1.7588,1.7588,1.7588,,,1.7588,0.0,2418.0
2007-02-01,1.7435,1.7435,1.7435,,,1.7435,75.0,2418.0
2007-02-02,1.78,1.78,1.78,,,1.78,0.0,2500.0
2007-02-05,1.77,1.77,1.77,,,1.77,0.0,2500.0
2007-02-06,1.7769,1.7769,1.7769,,,1.7769,0.0,2533.0
2007-02-07,1.74,1.74,1.74,,,1.74,0.0,2500.0
2007-02-08,1.7945,1.7945,1.7945,,,1.7945,25.0,2534.0
2007-02-09,1.7928,1.7928,1.7928,,,1.7928,5.0,2534.0
2007-02-12,1.75,1.75,1.75,,,1.75,0.0,2500.0
2007-02-13,1.79,1.79,1.79,,,1.79,0.0,2500.0
2007-02-14,1.7433,1.7433,1.7433,,,1.7433,253.0,2531.0
2007-02-15,1.73,1.73,1.73,,,1.73,0.0,2900.0
2007-02-16,1.77,1.77,1.77,,,1.77,0.0,2900.0
2007-02-20,1.75,1.75,1.75,,,1.75,7.0,3000.0
2007-02-21,1.737,1.737,1.737,,,1.737,3.0,3100.0
2007-02-22,1.8128,1.8128,1.8128,,,1.8128,303.0,3108.0
2007-02-23,1.8366,1.8366,1.8366,,,1.8366,3.0,3300.0
