Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2012-04-27,0.0,0.0,0.0,,,3.2304,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,3.2371,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,3.1981,2.0,0.0
2012-05-02,0.0,0.0,0.0,,,3.1598,250.0,0.0
2012-05-03,0.0,0.0,0.0,,,3.1125,0.0,250.0
2012-05-04,0.0,0.0,0.0,,,3.0484,0.0,50.0
2012-05-07,0.0,0.0,0.0,,,3.0218,2.0,50.0
2012-05-08,3.01,3.01,3.01,,,3.0307,41.0,50.0
2012-05-09,3.03,3.03,3.0217,,,3.0304,32.0,76.0
2012-05-10,0.0,0.0,0.0,,,3.0158,2.0,81.0
2012-05-11,0.0,0.0,0.0,,,2.9994,3.0,81.0
2012-05-14,2.9925,2.9925,2.9925,,,2.9782,8.0,82.0
2012-05-15,2.975,2.975,2.975,,,2.9771,3.0,87.0
2012-05-16,2.9583,2.9583,2.9583,,,2.9502,3.0,90.0
2012-05-17,2.9275,2.9275,2.915,,,2.9075,16.0,91.0
2012-05-18,2.9075,2.9155,2.9075,,,2.893,102.0,97.0
2012-05-21,0.0,0.0,0.0,,,2.9173,14.0,104.0
2012-05-22,2.921,2.9265,2.914,,,2.9152,19.0,110.0
2012-05-23,2.876,2.876,2.876,,,2.8737,43.0,123.0
2012-05-24,0.0,0.0,0.0,,,2.8812,74.0,128.0
2012-05-25,0.0,0.0,0.0,,,2.8904,0.0,177.0
2012-05-29,2.9015,2.9015,2.9015,,,2.8725,203.0,177.0
2012-05-30,2.83,2.83,2.816,,,2.8202,21.0,308.0
2012-05-31,2.8152,2.8152,2.7952,,,2.7858,28.0,315.0
2012-06-01,2.73,2.739,2.7136,,,2.7215,518.0,332.0
2012-06-04,2.725,2.73,2.716,,,2.7206,118.0,612.0
2012-06-05,2.725,2.725,2.7115,,,2.7155,124.0,663.0
2012-06-06,2.76,2.7715,2.76,,,2.7574,127.0,676.0
2012-06-07,0.0,2.774,0.0,,,2.7497,193.0,661.0
2012-06-08,2.7139,2.735,2.7139,,,2.7483,155.0,761.0
2012-06-11,0.0,0.0,0.0,,,2.7165,175.0,800.0
2012-06-12,2.7163,2.7163,2.7135,,,2.7043,344.0,948.0
2012-06-13,2.7,2.7,2.7,,,2.6934,89.0,1207.0
2012-06-14,2.7,2.71,2.7,,,2.708,245.0,1232.0
2012-06-15,0.0,0.0,0.0,,,2.7118,126.0,1386.0
2012-06-18,2.68,2.68,2.68,,,2.6857,40.0,1370.0
2012-06-19,0.0,0.0,0.0,,,2.6864,155.0,1349.0
2012-06-20,2.6857,2.6857,2.6464,,,2.6465,670.0,1278.0
2012-06-21,2.635,2.635,2.62,,,2.5991,747.0,1592.0
2012-06-22,2.61,2.61,2.61,,,2.6123,312.0,1631.0
2012-06-25,0.0,0.0,0.0,,,2.606,62.0,1893.0
2012-06-26,2.6245,2.6245,2.6245,,,2.6316,44.0,1903.0
2012-06-27,2.635,2.6369,2.635,,,2.6339,30.0,1909.0
2012-06-28,2.6369,2.6369,2.595,,,2.5961,168.0,1916.0
2012-06-29,2.72,2.72,2.72,,,2.7479,17.0,1971.0
2012-07-02,2.7005,2.7024,2.6974,,,2.7058,37.0,1971.0
2012-07-03,2.783,2.79,2.783,,,2.7929,164.0,1973.0
2012-07-05,2.7846,2.7929,2.782,,,2.7864,88.0,1998.0
2012-07-06,2.7435,2.7435,2.725,,,2.7276,256.0,2015.0
2012-07-09,2.7638,2.764,2.7638,,,2.7596,84.0,2178.0
2012-07-10,2.7216,2.7226,2.7216,,,2.7197,71.0,2228.0
2012-07-11,2.7382,2.7753,2.7382,,,2.7655,75.0,2262.0
2012-07-12,2.7311,2.77,2.7311,,,2.7745,94.0,2282.0
2012-07-13,2.8025,2.8025,2.8025,,,2.7921,29.0,2337.0
2012-07-16,0.0,2.8086,0.0,,,2.8322,32.0,2337.0
2012-07-17,2.8404,2.8404,2.8404,,,2.845,102.0,2336.0
2012-07-18,2.837,2.8559,2.837,,,2.8631,74.0,2273.0
2012-07-19,2.8995,2.9175,2.8962,,,2.922,199.0,2248.0
2012-07-20,2.8912,2.895,2.8912,,,2.897,123.0,2342.0
2012-07-23,2.8304,2.835,2.825,,,2.8111,136.0,2333.0
2012-07-24,0.0,0.0,0.0,,,2.8221,56.0,2334.0
2012-07-25,0.0,0.0,0.0,,,2.8478,34.0,2330.0
2012-07-26,0.0,0.0,0.0,,,2.8575,15.0,2327.0
2012-07-27,0.0,0.0,0.0,,,2.881,44.0,2327.0
2012-07-30,0.0,0.0,0.0,,,2.8808,71.0,2327.0
2012-07-31,2.8694,2.8694,2.8467,,,2.8579,36.0,2327.0
2012-08-01,0.0,0.0,0.0,,,2.8639,59.0,2327.0
2012-08-02,2.8467,2.8467,2.8467,,,2.8434,487.0,2328.0
2012-08-03,0.0,2.8733,0.0,,,2.9155,6.0,2480.0
2012-08-06,0.0,0.0,0.0,,,2.9362,0.0,2483.0
2012-08-07,0.0,2.9477,0.0,,,2.9821,37.0,2483.0
2012-08-08,2.9821,2.993,2.9821,,,2.9956,244.0,2497.0
2012-08-09,3.022,3.0241,3.014,,,3.0129,507.0,2487.0
2012-08-10,2.9945,2.9993,2.9945,,,2.9977,101.0,2493.0
2012-08-13,3.0308,3.0309,3.0308,,,3.0052,15.0,2493.0
2012-08-14,0.0,3.0053,0.0,,,3.0104,83.0,2495.0
2012-08-15,0.0,0.0,0.0,,,3.0372,50.0,2492.0
2012-08-16,3.04,3.061,3.04,,,3.0604,414.0,2499.0
2012-08-17,3.03,3.03,3.03,,,3.0351,767.0,2511.0
2012-08-20,0.0,0.0,0.0,,,3.0418,176.0,2411.0
2012-08-21,0.0,3.0558,0.0,,,3.0646,551.0,2429.0
2012-08-22,0.0,0.0,0.0,,,3.0745,285.0,2582.0
2012-08-23,3.09,3.09,3.0675,,,3.0643,42.0,2739.0
2012-08-24,3.0649,3.0649,3.0649,,,3.0445,74.0,2748.0
2012-08-27,0.0,3.0497,3.0415,,,3.0213,525.0,2754.0
2012-08-28,3.0375,3.0375,3.0335,,,3.0441,234.0,2716.0
2012-08-29,3.0352,3.0352,3.0317,,,3.0336,146.0,2727.0
2012-08-30,0.0,3.0366,0.0,,,3.0397,38.0,2708.0
2012-08-31,0.0,0.0,0.0,,,3.0762,29.0,2712.0
2012-09-04,3.0467,3.0473,3.0467,,,3.0484,5.0,2709.0
2012-09-05,3.0455,3.0455,3.0455,,,3.039,224.0,2711.0
2012-09-06,0.0,3.0541,0.0,,,3.0548,176.0,2788.0
2012-09-07,3.061,3.061,3.061,,,3.067,81.0,2807.0
2012-09-10,0.0,0.0,0.0,,,3.0857,56.0,2797.0
2012-09-11,0.0,0.0,0.0,,,3.0865,357.0,2800.0
2012-09-12,3.098,3.098,3.098,,,3.106,408.0,2667.0
2012-09-13,0.0,0.0,0.0,,,3.1066,174.0,2822.0
2012-09-14,0.0,0.0,0.0,,,3.1243,31.0,2936.0
2012-09-17,0.0,0.0,0.0,,,3.068,426.0,2937.0
2012-09-18,3.0534,3.0553,3.0457,,,3.0274,94.0,3046.0
2012-09-19,2.9988,2.9988,2.93,,,2.9402,460.0,3047.0
2012-09-20,2.9425,2.9706,2.9425,,,2.9702,151.0,3015.0
2012-09-21,2.9987,2.9987,2.9945,,,2.9927,203.0,3019.0
2012-09-24,2.9599,2.9599,2.9465,,,2.9677,70.0,3071.0
2012-09-25,2.9919,2.992,2.9919,,,2.9732,205.0,3047.0
2012-09-26,0.0,0.0,0.0,,,2.9564,219.0,3121.0
2012-09-27,0.0,2.9575,0.0,,,3.0044,888.0,3121.0
2012-09-28,3.0088,3.011,3.0088,,,3.0161,154.0,3128.0
2012-10-01,0.0,0.0,0.0,,,3.0034,18.0,3126.0
2012-10-02,0.0,0.0,0.0,,,2.9921,139.0,3131.0
2012-10-03,2.9888,2.9888,2.9225,,,2.9189,1249.0,3064.0
