Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-12-02,2.6046,2.6046,2.6046,,,2.6046,0.0,0.0
2013-12-03,2.6198,2.6198,2.6198,,,2.6198,0.0,0.0
2013-12-04,2.6213,2.6213,2.6213,,,2.6213,0.0,0.0
2013-12-05,2.617,2.617,2.617,,,2.617,0.0,0.0
2013-12-06,2.6225,2.6225,2.6225,,,2.6225,0.0,0.0
2013-12-09,2.6077,2.6077,2.6077,,,2.6077,0.0,0.0
2013-12-10,2.6158,2.6158,2.6158,,,2.6158,0.0,0.0
2013-12-11,2.6413,2.6413,2.6413,,,2.6413,0.0,0.0
2013-12-12,2.6107,2.6107,2.6107,,,2.6107,0.0,0.0
2013-12-13,2.6047,2.6047,2.6047,,,2.6047,0.0,0.0
2013-12-16,2.6089,2.6089,2.6089,,,2.6089,0.0,0.0
2013-12-17,2.5899,2.5899,2.5899,,,2.5899,0.0,0.0
2013-12-18,2.6137,2.6137,2.6137,,,2.6137,0.0,0.0
2013-12-19,2.6061,2.6061,2.6061,,,2.6061,0.0,0.0
2013-12-20,2.6218,2.6218,2.6218,,,2.6218,0.0,0.0
2013-12-23,2.6221,2.6221,2.6221,,,2.6221,0.0,0.0
2013-12-24,2.6363,2.6363,2.6363,,,2.6363,0.0,0.0
2013-12-26,2.6377,2.6377,2.6377,,,2.6377,0.0,0.0
2013-12-27,2.6368,2.6368,2.6368,,,2.6368,0.0,0.0
2013-12-30,2.5996,2.5996,2.5996,,,2.5996,0.0,0.0
2013-12-31,2.5914,2.5914,2.5914,,,2.5914,0.0,0.0
2014-01-02,2.5444,2.5444,2.5444,,,2.5444,0.0,0.0
2014-01-03,2.5276,2.5276,2.5276,,,2.5276,0.0,0.0
2014-01-06,2.5472,2.5472,2.5472,,,2.5472,0.0,0.0
2014-01-07,2.5415,2.5415,2.5415,,,2.5415,0.0,0.0
2014-01-08,2.5389,2.5389,2.5389,,,2.5389,0.0,0.0
2014-01-09,2.5332,2.5332,2.5332,,,2.5332,0.0,0.0
2014-01-10,2.5464,2.5464,2.5464,,,2.5464,0.0,0.0
2014-01-13,2.5293,2.5293,2.5293,,,2.5293,0.0,0.0
2014-01-14,2.5383,2.5383,2.5383,,,2.5383,0.0,0.0
2014-01-15,2.5568,2.5568,2.5568,,,2.5568,0.0,0.0
2014-01-16,2.5383,2.5383,2.5383,,,2.5383,0.0,0.0
2014-01-17,2.546,2.546,2.546,,,2.546,0.0,0.0
2014-01-21,2.5506,2.5506,2.5506,,,2.5506,0.0,0.0
2014-01-22,2.5751,2.5751,2.5751,,,2.5751,0.0,0.0
2014-01-23,2.5606,2.5606,2.5606,,,2.5606,0.0,0.0
2014-01-24,2.5634,2.5634,2.5634,,,2.5634,0.0,0.0
2014-01-27,2.5517,2.5517,2.5517,,,2.5517,0.0,0.0
2014-01-28,2.5689,2.5689,2.5689,,,2.5689,0.0,0.0
2014-01-29,2.5702,2.5702,2.5702,,,2.5702,0.0,0.0
2014-01-30,2.5692,2.5692,2.5692,,,2.5692,0.0,0.0
2014-01-31,2.5416,2.5416,2.5416,,,2.5416,0.0,0.0
2014-02-03,2.5488,2.5488,2.5488,,,2.5488,0.0,0.0
2014-02-04,2.5395,2.5395,2.5395,,,2.5395,0.0,0.0
2014-02-05,2.5644,2.5644,2.5644,,,2.5644,0.0,0.0
2014-02-06,2.5736,2.5736,2.5736,,,2.5736,0.0,0.0
2014-02-07,2.6028,2.6028,2.6028,,,2.6028,0.0,0.0
2014-02-10,2.5871,2.5871,2.5871,,,2.5871,0.0,0.0
2014-02-11,2.5973,2.5973,2.5973,,,2.5973,0.0,0.0
2014-02-12,2.5975,2.5975,2.5975,,,2.5975,0.0,0.0
2014-02-13,2.5966,2.5966,2.5966,,,2.5966,0.0,0.0
2014-02-14,0.0,0.0,0.0,,,2.61,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.0088,2.6188,0.0,0.0
2014-02-19,,,,,0.0177,2.6011,0.0,0.0
2014-02-20,,,,,0.0033,2.6044,0.0,0.0
2014-02-21,,,,,0.0127,2.5917,0.0,0.0
2014-02-24,,,,,0.0146,2.6063,0.0,0.0
2014-02-25,,,,,0.0242,2.5821,0.0,0.0
2014-02-26,,,,,0.0025,2.5846,0.0,0.0
2014-02-27,,,,,0.0053,2.5793,0.0,0.0
2014-02-28,,,,,0.0163,2.5956,0.0,0.0
2014-03-03,,,,,0.0296,2.6252,0.0,0.0
2014-03-04,,,,,0.0346,2.5906,0.0,0.0
2014-03-05,2.5761,2.5761,2.5761,,,2.5761,0.0,0.0
2014-03-06,,,,,0.01,2.5861,0.0,0.0
2014-03-07,,,,,0.0189,2.605,0.0,0.0
2014-03-10,,,,,0.0013,2.6037,0.0,0.0
2014-03-11,,,,,0.0116,2.6153,0.0,0.0
2014-03-12,,,,,0.0048,2.6105,0.0,0.0
2014-03-13,,,,,0.0092,2.6013,0.0,0.0
2014-03-14,,,,,0.0144,2.6157,0.0,0.0
2014-03-17,,,,,0.0299,2.5858,0.0,0.0
2014-03-18,,,,,0.0172,2.603,0.0,0.0
2014-03-19,,,,,0.0104,2.5926,0.0,0.0
2014-03-20,,,,,0.0133,2.6059,0.0,0.0
2014-03-21,,,,,0.003,2.6089,0.0,0.0
2014-03-24,,,,,0.0003,2.6086,0.0,0.0
2014-03-25,,,,,0.0013,2.6073,0.0,0.0
2014-03-26,,,,,0.0004,2.6077,0.0,0.0
2014-03-27,,,,,0.01,2.6177,0.0,0.0
2014-03-28,,,,,0.0029,2.6148,0.0,0.0
2014-03-31,,,,,0.0056,2.6092,0.0,0.0
2014-04-01,,,,,0.0171,2.5921,0.0,0.0
2014-04-02,,,,,0.01,2.6021,0.0,0.0
2014-04-03,,,,,0.0275,2.6296,0.0,0.0
2014-04-04,,,,,0.0019,2.6277,0.0,0.0
2014-04-07,,,,,0.0018,2.6259,0.0,0.0
2014-04-08,,,,,0.0208,2.6467,0.0,0.0
2014-04-09,,,,,0.006,2.6407,0.0,0.0
2014-04-10,,,,,0.0082,2.6325,0.0,0.0
2014-04-11,,,,,0.0085,2.624,0.0,0.0
2014-04-14,,,,,0.0304,2.6544,0.0,0.0
2014-04-15,,,,,0.0003,2.6547,0.0,0.0
2014-04-16,,,,,0.0044,2.6591,0.0,0.0
2014-04-17,,,,,0.0001,2.6592,0.0,0.0
2014-04-21,,,,,0.0029,2.6621,0.0,0.0
2014-04-22,,,,,0.0032,2.6653,0.0,0.0
2014-04-23,,,,,0.0063,2.659,0.0,0.0
2014-04-24,,,,,0.0076,2.6666,0.0,0.0
2014-04-25,,,,,0.0279,2.6387,0.0,0.0
2014-04-28,,,,,0.0143,2.6244,0.0,0.0
2014-04-29,,,,,0.0116,2.636,0.0,0.0
2014-04-30,,,,,0.0084,2.6276,0.0,0.0
2014-05-01,,,,,0.002,2.6256,0.0,0.0
2014-05-02,,,,,0.0026,2.6282,0.0,0.0
2014-05-05,,,,,0.0055,2.6227,0.0,0.0
2014-05-06,,,,,0.0149,2.6078,0.0,0.0
2014-05-07,,,,,0.0296,2.6374,0.0,0.0
2014-05-08,,,,,0.0031,2.6343,0.0,0.0
2014-05-09,,,,,0.0114,2.6229,0.0,0.0
2014-05-12,,,,,0.0121,2.635,0.0,0.0
2014-05-13,,,,,0.0171,2.6521,0.0,0.0
2014-05-14,,,,,0.0064,2.6585,0.0,0.0
2014-05-15,,,,,0.0044,2.6541,0.0,0.0
2014-05-16,,,,,0.0047,2.6588,0.0,0.0
2014-05-19,,,,,0.0088,2.65,0.0,0.0
2014-05-20,,,,,0.0136,2.6636,0.0,0.0
2014-05-21,,,,,0.0068,2.6704,0.0,0.0
2014-05-22,,,,,0.0062,2.6642,0.0,0.0
2014-05-23,,,,,0.0079,2.6721,0.0,0.0
2014-05-27,,,,,0.0066,2.6655,0.0,0.0
2014-05-28,,,,,0.0005,2.665,0.0,0.0
2014-05-29,,,,,0.0044,2.6606,0.0,0.0
2014-05-30,,,,,0.0133,2.6473,0.0,0.0
2014-06-02,,,,,0.0003,2.6476,0.0,0.0
2014-06-03,,,,,0.0031,2.6445,0.0,0.0
2014-06-04,,,,,0.001,2.6435,0.0,0.0
2014-06-05,,,,,0.0236,2.6671,0.0,0.0
2014-06-06,,,,,0.0075,2.6596,0.0,0.0
2014-06-09,,,,,0.0178,2.6774,0.0,0.0
2014-06-10,,,,,0.0044,2.673,0.0,0.0
2014-06-11,,,,,0.0023,2.6753,0.0,0.0
2014-06-12,,,,,0.0371,2.7124,0.0,0.0
2014-06-13,,,,,0.0033,2.7091,0.0,0.0
2014-06-16,,,,,0.0197,2.7288,0.0,0.0
2014-06-17,,,,,0.0032,2.732,0.0,0.0
2014-06-18,,,,,0.0175,2.7495,0.0,0.0
2014-06-19,,,,,,2.7495,0.0,0.0
2014-06-20,,,,,0.0043,2.7538,0.0,0.0
2014-06-23,,,,,0.0141,2.7679,0.0,0.0
2014-06-24,,,,,0.0026,2.7653,0.0,0.0
2014-06-25,,,,,0.0036,2.7689,0.0,0.0
2014-06-26,,,,,0.0131,2.7558,0.0,0.0
2014-06-27,,,,,0.0014,2.7572,0.0,0.0
2014-06-30,,,,,0.0123,2.7449,0.0,0.0
2014-07-01,,,,,0.0069,2.7518,0.0,0.0
2014-07-02,,,,,0.0133,2.7385,0.0,0.0
2014-07-03,,,,,0.0062,2.7323,0.0,0.0
2014-07-07,,,,,0.009,2.7233,0.0,0.0
2014-07-08,,,,,0.0173,2.706,0.0,0.0
