Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-12-02,2.5951,2.5951,2.5951,,,2.5951,0.0,0.0
2013-12-03,2.6103,2.6103,2.6103,,,2.6103,0.0,0.0
2013-12-04,2.6118,2.6118,2.6118,,,2.6118,0.0,0.0
2013-12-05,2.6075,2.6075,2.6075,,,2.6075,0.0,0.0
2013-12-06,2.613,2.613,2.613,,,2.613,0.0,0.0
2013-12-09,2.5982,2.5982,2.5982,,,2.5982,0.0,0.0
2013-12-10,2.6063,2.6063,2.6063,,,2.6063,0.0,0.0
2013-12-11,2.6318,2.6318,2.6318,,,2.6318,0.0,0.0
2013-12-12,2.6012,2.6012,2.6012,,,2.6012,0.0,0.0
2013-12-13,2.5952,2.5952,2.5952,,,2.5952,0.0,0.0
2013-12-16,2.5994,2.5994,2.5994,,,2.5994,0.0,0.0
2013-12-17,2.5804,2.5804,2.5804,,,2.5804,0.0,0.0
2013-12-18,2.6042,2.6042,2.6042,,,2.6042,0.0,0.0
2013-12-19,2.5966,2.5966,2.5966,,,2.5966,0.0,0.0
2013-12-20,2.6123,2.6123,2.6123,,,2.6123,0.0,0.0
2013-12-23,2.6126,2.6126,2.6126,,,2.6126,0.0,0.0
2013-12-24,2.6268,2.6268,2.6268,,,2.6268,0.0,0.0
2013-12-26,2.6282,2.6282,2.6282,,,2.6282,0.0,0.0
2013-12-27,2.6273,2.6273,2.6273,,,2.6273,0.0,0.0
2013-12-30,2.5901,2.5901,2.5901,,,2.5901,0.0,0.0
2013-12-31,2.5819,2.5819,2.5819,,,2.5819,0.0,0.0
2014-01-02,2.5349,2.5349,2.5349,,,2.5349,0.0,0.0
2014-01-03,2.5181,2.5181,2.5181,,,2.5181,0.0,0.0
2014-01-06,2.5377,2.5377,2.5377,,,2.5377,0.0,0.0
2014-01-07,2.532,2.532,2.532,,,2.532,0.0,0.0
2014-01-08,2.5294,2.5294,2.5294,,,2.5294,0.0,0.0
2014-01-09,2.5237,2.5237,2.5237,,,2.5237,0.0,0.0
2014-01-10,2.5369,2.5369,2.5369,,,2.5369,0.0,0.0
2014-01-13,2.5198,2.5198,2.5198,,,2.5198,0.0,0.0
2014-01-14,2.5288,2.5288,2.5288,,,2.5288,0.0,0.0
2014-01-15,2.5473,2.5473,2.5473,,,2.5473,0.0,0.0
2014-01-16,2.5288,2.5288,2.5288,,,2.5288,0.0,0.0
2014-01-17,2.5365,2.5365,2.5365,,,2.5365,0.0,0.0
2014-01-21,2.5411,2.5411,2.5411,,,2.5411,0.0,0.0
2014-01-22,2.5656,2.5656,2.5656,,,2.5656,0.0,0.0
2014-01-23,2.5511,2.5511,2.5511,,,2.5511,0.0,0.0
2014-01-24,2.5539,2.5539,2.5539,,,2.5539,0.0,0.0
2014-01-27,2.5422,2.5422,2.5422,,,2.5422,0.0,0.0
2014-01-28,2.5594,2.5594,2.5594,,,2.5594,0.0,0.0
2014-01-29,2.5607,2.5607,2.5607,,,2.5607,0.0,0.0
2014-01-30,2.5597,2.5597,2.5597,,,2.5597,0.0,0.0
2014-01-31,2.5321,2.5321,2.5321,,,2.5321,0.0,0.0
2014-02-03,2.5393,2.5393,2.5393,,,2.5393,0.0,0.0
