Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1994-03-14,0.498,0.498,0.4939,,,0.4939,8.0,8.0
1994-03-15,0.5026,0.5026,0.5026,,,0.5026,0.0,8.0
1994-03-16,0.496,0.496,0.496,,,0.496,10.0,18.0
1994-03-17,0.4912,0.4912,0.4912,,,0.4912,0.0,18.0
1994-03-18,0.497,0.497,0.4914,,,0.4914,6.0,22.0
1994-03-21,0.4973,0.4973,0.4973,,,0.4973,0.0,22.0
1994-03-22,0.4916,0.4916,0.4916,,,0.4916,18.0,31.0
1994-03-23,0.4897,0.4897,0.4897,,,0.4897,0.0,31.0
1994-03-24,0.4898,0.4898,0.4898,,,0.4898,0.0,31.0
1994-03-25,0.4921,0.4921,0.4921,,,0.4921,0.0,31.0
1994-03-28,0.4845,0.4845,0.4663,,,0.4663,84.0,79.0
1994-03-29,0.474,0.474,0.474,,,0.474,0.0,79.0
1994-03-30,0.4788,0.4788,0.4788,,,0.4788,0.0,79.0
1994-03-31,0.4907,0.4907,0.4907,,,0.4907,0.0,79.0
1994-04-04,0.5069,0.5069,0.5069,,,0.5069,0.0,79.0
1994-04-05,0.506,0.506,0.506,,,0.506,0.0,79.0
1994-04-06,0.5023,0.5023,0.5023,,,0.5023,0.0,79.0
1994-04-07,0.4975,0.4975,0.4975,,,0.4975,0.0,79.0
1994-04-08,0.4984,0.4984,0.4984,,,0.4984,0.0,79.0
1994-04-11,0.5049,0.5049,0.5049,,,0.5049,0.0,79.0
1994-04-12,0.5008,0.5008,0.5008,,,0.5008,0.0,79.0
1994-04-13,0.503,0.5032,0.503,,,0.5032,5.0,79.0
1994-04-14,0.5056,0.5056,0.5056,,,0.5056,25.0,79.0
1994-04-15,0.5085,0.5085,0.5085,,,0.5085,0.0,79.0
1994-04-18,0.5046,0.5046,0.5046,,,0.5046,2.0,79.0
1994-04-19,0.4981,0.4981,0.4981,,,0.4981,0.0,79.0
1994-04-20,0.4992,0.4992,0.4992,,,0.4992,0.0,79.0
1994-04-21,0.5045,0.5045,0.5045,,,0.5045,0.0,79.0
1994-04-22,0.5075,0.5075,0.5075,,,0.5075,0.0,79.0
1994-04-25,0.5058,0.5058,0.5058,,,0.5058,5.0,79.0
1994-04-26,0.5003,0.5003,0.5003,,,0.5003,0.0,79.0
1994-04-28,0.4937,0.4937,0.4937,,,0.4937,0.0,79.0
1994-04-29,0.4984,0.4984,0.4984,,,0.4984,0.0,79.0
1994-05-02,0.502,0.502,0.502,,,0.502,0.0,79.0
1994-05-03,0.4979,0.4979,0.4979,,,0.4979,0.0,79.0
1994-05-04,0.4953,0.4953,0.4953,,,0.4953,0.0,79.0
1994-05-05,0.5009,0.5009,0.5009,,,0.5009,25.0,104.0
1994-05-06,0.5035,0.5035,0.5035,,,0.5035,0.0,104.0
1994-05-09,0.5047,0.5047,0.5047,,,0.5047,0.0,104.0
1994-05-10,0.5022,0.5022,0.5022,,,0.5022,0.0,104.0
1994-05-11,0.5028,0.5028,0.5028,,,0.5028,0.0,104.0
1994-05-12,0.5072,0.5072,0.5072,,,0.5072,0.0,104.0
1994-05-13,0.5089,0.5089,0.5089,,,0.5089,0.0,104.0
1994-05-16,0.5065,0.5065,0.5065,,,0.5065,0.0,104.0
1994-05-17,0.5029,0.5029,0.5029,,,0.5029,50.0,154.0
1994-05-18,0.5106,0.5106,0.5106,,,0.5106,0.0,154.0
1994-05-19,0.5114,0.5114,0.5114,,,0.5114,0.0,154.0
1994-05-20,0.5155,0.5155,0.5155,,,0.5155,0.0,154.0
1994-05-23,0.5135,0.5135,0.5135,,,0.5135,0.0,154.0
1994-05-24,0.5102,0.5102,0.5102,,,0.5102,0.0,154.0
1994-05-25,0.5098,0.5098,0.5098,,,0.5098,200.0,339.0
1994-05-26,0.5081,0.5081,0.5081,,,0.5081,0.0,339.0
1994-05-27,0.5112,0.5112,0.5112,,,0.5112,0.0,339.0
1994-05-31,0.5209,0.5209,0.5209,,,0.5209,0.0,339.0
1994-06-01,0.5197,0.5197,0.5197,,,0.5197,200.0,354.0
1994-06-02,0.5122,0.5122,0.5122,,,0.5122,0.0,354.0
1994-06-03,0.5082,0.5082,0.5082,,,0.5082,0.0,354.0
1994-06-06,0.5056,0.5056,0.5056,,,0.5056,0.0,354.0
1994-06-07,0.5035,0.5035,0.5001,,,0.5001,367.0,644.0
1994-06-08,0.5078,0.5078,0.5078,,,0.5078,0.0,544.0
1994-06-09,0.5109,0.5109,0.5109,,,0.5109,0.0,644.0
1994-06-10,0.5076,0.5076,0.5076,,,0.5076,0.0,544.0
1994-06-13,0.5134,0.5134,0.5134,,,0.5134,0.0,544.0
1994-06-14,0.5158,0.5158,0.5158,,,0.5158,0.0,544.0
1994-06-15,0.5385,0.5385,0.5385,,,0.5385,0.0,544.0
1994-06-16,0.529,0.529,0.529,,,0.529,0.0,544.0
1994-06-17,0.5356,0.5356,0.5356,,,0.5356,0.0,544.0
1994-06-20,0.5331,0.5331,0.5331,,,0.5331,0.0,544.0
1994-06-21,0.529,0.529,0.529,,,0.529,0.0,544.0
1994-06-22,0.5267,0.5267,0.5267,,,0.5267,0.0,544.0
1994-06-23,0.5292,0.5292,0.5292,,,0.5292,0.0,544.0
1994-06-24,0.5261,0.5261,0.5261,,,0.5261,0.0,544.0
1994-06-27,0.5214,0.5214,0.5214,,,0.5214,0.0,544.0
1994-06-28,0.5243,0.5243,0.5243,,,0.5243,0.0,544.0
1994-06-29,0.5186,0.5186,0.5186,,,0.5186,0.0,544.0
1994-06-30,0.5272,0.5272,0.5272,,,0.5272,0.0,544.0
1994-07-01,0.5283,0.5283,0.5283,,,0.5283,0.0,544.0
1994-07-05,0.5237,0.5237,0.5237,,,0.5237,0.0,544.0
1994-07-06,0.5169,0.5169,0.5169,,,0.5169,0.0,544.0
1994-07-07,0.5151,0.5151,0.5151,,,0.5151,0.0,544.0
1994-07-08,0.5218,0.5218,0.5218,,,0.5218,0.0,544.0
1994-07-11,0.531,0.531,0.531,,,0.531,0.0,544.0
1994-07-12,0.5378,0.5378,0.5378,,,0.5378,0.0,544.0
1994-07-13,0.5355,0.5355,0.5355,,,0.5355,0.0,544.0
1994-07-14,0.537,0.537,0.537,,,0.537,0.0,544.0
1994-07-15,0.5288,0.5288,0.5288,,,0.5288,0.0,544.0
1994-07-18,0.5238,0.5238,0.5238,,,0.5238,50.0,569.0
1994-07-19,0.5297,0.5297,0.5297,,,0.5297,0.0,569.0
1994-07-20,0.5293,0.5293,0.5293,,,0.5293,0.0,569.0
1994-07-21,0.5317,0.5317,0.5317,,,0.5317,0.0,569.0
1994-07-22,0.5356,0.5356,0.5356,,,0.5356,0.0,569.0
1994-07-25,0.5318,0.5318,0.5318,,,0.5318,0.0,569.0
1994-07-26,0.5303,0.5303,0.5303,,,0.5303,0.0,569.0
1994-07-27,0.5342,0.5342,0.5342,,,0.5342,0.0,569.0
1994-07-28,0.5382,0.5382,0.5382,,,0.5382,0.0,569.0
1994-07-29,0.5514,0.5514,0.5514,,,0.5514,75.0,644.0
1994-08-01,0.5502,0.5502,0.5502,,,0.5502,0.0,669.0
1994-08-02,0.5425,0.5425,0.5425,,,0.5425,0.0,669.0
1994-08-03,0.5387,0.5387,0.5387,,,0.5387,0.0,669.0
1994-08-04,0.5365,0.5365,0.5365,,,0.5365,0.0,669.0
1994-08-05,0.5211,0.5211,0.5211,,,0.5211,0.0,669.0
1994-08-08,0.5295,0.5295,0.524,,,0.524,89.0,692.0
1994-08-09,0.5295,0.531,0.5295,,,0.531,7.0,686.0
1994-08-10,0.5275,0.53,0.5275,,,0.53,148.0,769.0
1994-08-11,0.5235,0.5235,0.5235,,,0.5235,0.0,769.0
1994-08-12,0.523,0.526,0.5161,,,0.5161,212.0,921.0
1994-08-15,0.52,0.52,0.52,,,0.52,0.0,921.0
1994-08-16,0.521,0.521,0.515,,,0.5188,51.0,971.0
1994-08-17,0.5248,0.5248,0.5248,,,0.5248,0.0,971.0
1994-08-18,0.521,0.521,0.5149,,,0.5149,140.0,941.0
1994-08-19,0.515,0.515,0.5107,,,0.5107,159.0,1191.0
1994-08-22,0.5025,0.5025,0.5025,,,0.5025,5.0,1091.0
1994-08-23,0.5075,0.513,0.5075,,,0.5104,134.0,1194.0
1994-08-24,0.5168,0.5168,0.5168,,,0.5168,0.0,1195.0
1994-08-25,0.5164,0.5164,0.5164,,,0.5164,0.0,1195.0
1994-08-26,0.518,0.518,0.5109,,,0.5109,6.0,1195.0
1994-08-29,0.511,0.5153,0.511,,,0.5153,13.0,1208.0
1994-08-30,0.515,0.515,0.5103,,,0.5103,15.0,1212.0
1994-08-31,0.5114,0.5114,0.5114,,,0.5114,0.0,1212.0
1994-09-01,0.511,0.511,0.511,,,0.511,0.0,1212.0
1994-09-02,0.5149,0.5149,0.5149,,,0.5149,82.0,1227.0
1994-09-06,0.5201,0.5201,0.5201,,,0.5201,0.0,1227.0
1994-09-07,0.5222,0.5222,0.5222,,,0.5222,0.0,1227.0
1994-09-08,0.5215,0.5215,0.5198,,,0.5198,274.0,1276.0
1994-09-09,0.5225,0.5225,0.5163,,,0.5163,30.0,1426.0
1994-09-12,0.5195,0.5195,0.5172,,,0.5172,16.0,1426.0
1994-09-13,0.5152,0.5152,0.5152,,,0.5152,10.0,1396.0
1994-09-14,0.51,0.51,0.51,,,0.51,0.0,1396.0
1994-09-15,0.5125,0.5128,0.5125,,,0.5128,25.0,1371.0
1994-09-16,0.5125,0.514,0.5119,,,0.5119,6.0,1400.0
1994-09-19,0.5197,0.5197,0.5197,,,0.5197,0.0,1400.0
1994-09-20,0.519,0.519,0.5144,,,0.5144,22.0,1402.0
1994-09-21,0.51,0.5122,0.51,,,0.5122,27.0,1379.0
1994-09-22,0.5173,0.5173,0.5173,,,0.5173,0.0,1379.0
1994-09-23,0.52,0.52,0.5154,,,0.5154,8.0,1379.0
1994-09-26,0.5099,0.5099,0.5099,,,0.5099,55.0,1370.0
1994-09-27,0.5131,0.5131,0.5131,,,0.5131,25.0,1382.0
1994-09-28,0.5195,0.5195,0.5195,,,0.5195,0.0,1362.0
1994-09-29,0.5283,0.5283,0.5283,,,0.5283,0.0,1382.0
1994-09-30,0.53,0.5305,0.53,,,0.5305,135.0,1468.0
1994-10-03,0.531,0.531,0.5255,,,0.5255,60.0,1498.0
1994-10-04,0.5215,0.5215,0.5215,,,0.5215,0.0,1498.0
1994-10-05,0.5215,0.5237,0.5215,,,0.5237,67.0,1548.0
1994-10-06,0.528,0.528,0.526,,,0.526,4.0,1549.0
1994-10-07,0.5245,0.5245,0.5245,,,0.5245,0.0,1552.0
1994-10-10,0.5245,0.5245,0.5159,,,0.5159,4.0,1554.0
