Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,2.3084,0.0,0.0
2014-12-01,,,,,0.059,2.3674,0.0,0.0
2014-12-02,,,,,0.031,2.3364,0.0,0.0
2014-12-03,,,,,0.0075,2.3439,0.0,0.0
2014-12-04,,,,,0.0227,2.3212,0.0,0.0
2014-12-05,,,,,0.0189,2.3023,0.0,0.0
2014-12-08,,,,,0.0547,2.2476,0.0,0.0
2014-12-09,,,,,0.006,2.2536,0.0,0.0
2014-12-10,,,,,0.0651,2.1885,0.0,0.0
2014-12-11,,,,,0.0152,2.1733,0.0,0.0
2014-12-12,,,,,0.0409,2.1324,0.0,0.0
2014-12-15,,,,,0.021,2.1114,0.0,0.0
2014-12-16,,,,,0.0301,2.0813,0.0,0.0
2014-12-17,,,,,0.0186,2.0999,0.0,0.0
2014-12-18,,,,,0.0418,2.0581,0.0,0.0
2014-12-19,,,,,0.0495,2.1076,0.0,0.0
2014-12-22,,,,,0.0084,2.116,0.0,0.0
2014-12-23,,,,,0.0434,2.1594,0.0,0.0
2014-12-24,,,,,0.0415,2.1179,0.0,0.0
2014-12-26,,,,,0.0021,2.1158,0.0,0.0
2014-12-29,,,,,0.0291,2.0867,0.0,0.0
2014-12-30,,,,,0.0112,2.0979,0.0,0.0
2014-12-31,,,,,0.0071,2.0908,0.0,0.0
2015-01-02,,,,,0.0174,2.0734,0.0,0.0
2015-01-05,,,,,0.0378,2.0356,0.0,0.0
2015-01-06,,,,,0.0453,1.9903,0.0,0.0
2015-01-07,,,,,0.0107,1.9796,0.0,0.0
2015-01-08,,,,,0.0001,1.9795,0.0,0.0
2015-01-09,,,,,0.0065,1.986,0.0,0.0
2015-01-12,,,,,0.0399,1.9461,0.0,0.0
2015-01-13,,,,,0.006,1.9521,0.0,0.0
2015-01-14,,,,,0.0344,1.9865,0.0,0.0
2015-01-15,,,,,0.0573,1.9292,0.0,0.0
2015-01-16,,,,,0.0275,1.9567,0.0,0.0
2015-01-20,,,,,0.0527,1.904,0.0,0.0
2015-01-21,,,,,0.0365,1.9405,0.0,0.0
2015-01-22,,,,,0.0103,1.9302,0.0,0.0
2015-01-23,,,,,0.0136,1.9438,0.0,0.0
2015-01-26,,,,,0.0086,1.9352,0.0,0.0
2015-01-27,,,,,0.0303,1.9655,0.0,0.0
2015-01-28,,,,,0.0189,1.9466,0.0,0.0
2015-01-29,,,,,0.0103,1.9569,0.0,0.0
2015-01-30,,,,,0.0728,2.0297,0.0,0.0
2015-02-02,,,,,0.0379,2.0676,0.0,0.0
2015-02-03,,,,,0.0441,2.1117,0.0,0.0
2015-02-04,,,,,0.0597,2.052,0.0,0.0
2015-02-05,,,,,0.0341,2.0861,0.0,0.0
2015-02-06,,,,,0.0158,2.1019,0.0,0.0
2015-02-09,,,,,0.0254,2.1273,0.0,0.0
2015-02-10,,,,,0.0162,2.1111,0.0,0.0
2015-02-11,,,,,0.0212,2.0899,0.0,0.0
2015-02-12,,,,,0.0546,2.1445,0.0,0.0
2015-02-13,,,,,0.0046,2.1491,0.0,0.0
2015-02-17,,,,,0.0018,2.1509,0.0,0.0
2015-02-18,,,,,0.0383,2.1126,0.0,0.0
2015-02-19,,,,,0.0112,2.1014,0.0,0.0
2015-02-20,,,,,0.0029,2.1043,0.0,0.0
2015-02-23,,,,,0.0067,2.0976,0.0,0.0
