Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2012-04-27,0.0,0.0,0.0,,,3.2389,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,3.2456,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,3.1781,2.0,0.0
2012-05-02,0.0,0.0,0.0,,,3.1263,0.0,0.0
2012-05-03,0.0,0.0,0.0,,,3.084,0.0,0.0
2012-05-04,0.0,0.0,0.0,,,3.0284,0.0,0.0
2012-05-07,0.0,0.0,0.0,,,3.0058,0.0,0.0
2012-05-08,0.0,0.0,0.0,,,3.0177,0.0,0.0
2012-05-09,3.0087,3.0087,3.0087,,,3.0169,14.0,0.0
2012-05-10,0.0,0.0,0.0,,,2.9998,0.0,14.0
2012-05-11,0.0,0.0,0.0,,,2.9834,0.0,14.0
2012-05-14,2.9775,2.9775,2.9775,,,2.9647,7.0,14.0
2012-05-15,2.96,2.96,2.96,,,2.9636,1.0,19.0
2012-05-16,2.9462,2.9462,2.9462,,,2.9362,2.0,20.0
2012-05-17,0.0,0.0,0.0,,,2.8965,0.0,22.0
2012-05-18,2.8965,2.902,2.8965,,,2.885,54.0,22.0
2012-05-21,0.0,0.0,0.0,,,2.9088,1.0,41.0
2012-05-22,0.0,0.0,0.0,,,2.9062,49.0,42.0
2012-05-23,0.0,0.0,0.0,,,2.8642,3.0,77.0
2012-05-24,0.0,0.0,0.0,,,2.8727,0.0,76.0
2012-05-25,0.0,0.0,0.0,,,2.8819,0.0,76.0
2012-05-29,0.0,0.0,0.0,,,2.866,0.0,76.0
2012-05-30,2.856,2.856,2.8185,,,2.8152,2.0,76.0
2012-05-31,2.8102,2.8102,2.804,,,2.7823,5.0,77.0
2012-06-01,2.735,2.7375,2.7273,,,2.7245,86.0,78.0
2012-06-04,2.7195,2.7195,2.717,,,2.7256,2.0,64.0
2012-06-05,2.722,2.722,2.722,,,2.7195,4.0,66.0
2012-06-06,0.0,0.0,0.0,,,2.7625,1.0,67.0
2012-06-07,0.0,0.0,0.0,,,2.7557,67.0,67.0
2012-06-08,2.732,2.752,2.732,,,2.7553,15.0,103.0
2012-06-11,2.756,2.756,2.756,,,2.726,4.0,115.0
2012-06-12,2.732,2.732,2.732,,,2.717,80.0,117.0
2012-06-13,0.0,0.0,0.0,,,2.7061,2.0,136.0
2012-06-14,0.0,0.0,0.0,,,2.7213,55.0,138.0
2012-06-15,0.0,0.0,0.0,,,2.7238,2.0,184.0
2012-06-18,2.6975,2.6975,2.6975,,,2.6978,2.0,184.0
2012-06-19,2.7115,2.7115,2.6878,,,2.6994,39.0,185.0
2012-06-20,2.6866,2.6866,2.6866,,,2.6605,21.0,183.0
2012-06-21,2.65,2.65,2.64,,,2.619,277.0,193.0
2012-06-22,2.619,2.619,2.619,,,2.6327,18.0,348.0
2012-06-25,0.0,0.0,0.0,,,2.6267,63.0,348.0
2012-06-26,2.65,2.65,2.65,,,2.6496,91.0,349.0
2012-06-27,0.0,0.0,0.0,,,2.6503,37.0,344.0
2012-06-28,2.605,2.605,2.605,,,2.6118,30.0,368.0
