Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-04-27,0.0,0.0,0.0,,,3.2839,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,3.2906,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,3.2028,0.0,0.0
2012-05-02,0.0,0.0,0.0,,,3.137,0.0,0.0
2012-05-03,0.0,0.0,0.0,,,2.999,0.0,0.0
2012-05-04,0.0,0.0,0.0,,,2.9484,0.0,0.0
2012-05-07,0.0,0.0,0.0,,,2.9278,0.0,0.0
2012-05-08,0.0,0.0,0.0,,,2.9417,0.0,0.0
2012-05-09,0.0,0.0,0.0,,,2.9389,0.0,0.0
2012-05-10,0.0,0.0,0.0,,,2.9218,0.0,0.0
2012-05-11,0.0,0.0,0.0,,,2.9054,0.0,0.0
2012-05-14,0.0,0.0,0.0,,,2.8877,0.0,0.0
2012-05-15,0.0,0.0,0.0,,,2.8866,0.0,0.0
2012-05-16,0.0,0.0,0.0,,,2.8437,0.0,0.0
2012-05-17,0.0,0.0,0.0,,,2.805,0.0,0.0
2012-05-18,0.0,0.0,0.0,,,2.794,0.0,0.0
2012-05-21,0.0,0.0,0.0,,,2.8178,0.0,0.0
2012-05-22,0.0,0.0,0.0,,,2.8152,0.0,0.0
2012-05-23,0.0,0.0,0.0,,,2.7732,0.0,0.0
2012-05-24,0.0,0.0,0.0,,,2.7887,0.0,0.0
2012-05-25,0.0,0.0,0.0,,,2.7979,0.0,0.0
2012-05-29,0.0,0.0,0.0,,,2.785,0.0,0.0
2012-05-30,0.0,0.0,0.0,,,2.7472,0.0,0.0
2012-05-31,0.0,0.0,0.0,,,2.7198,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,2.677,0.0,0.0
2012-06-04,0.0,0.0,0.0,,,2.6851,0.0,0.0
2012-06-05,0.0,0.0,0.0,,,2.6785,0.0,0.0
2012-06-06,0.0,2.745,0.0,,,2.737,0.0,0.0
2012-06-07,0.0,0.0,0.0,,,2.7312,0.0,0.0
2012-06-08,0.0,0.0,0.0,,,2.7418,0.0,0.0
2012-06-11,2.745,2.745,2.745,,,2.728,1.0,0.0
2012-06-12,0.0,0.0,0.0,,,2.7235,0.0,1.0
2012-06-13,0.0,0.0,0.0,,,2.7116,0.0,1.0
2012-06-14,2.7265,2.7265,2.7265,,,2.7193,1.0,1.0
2012-06-15,0.0,0.0,0.0,,,2.7065,0.0,2.0
