Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.8861,0.0,0.0
2016-12-02,,,,,0.021,1.9071,0.0,0.0
2016-12-05,,,,,0.0053,1.9018,0.0,0.0
2016-12-06,,,,,0.0344,1.8674,0.0,0.0
2016-12-07,,,,,0.0212,1.8462,0.0,0.0
2016-12-08,,,,,0.0088,1.8374,0.0,0.0
2016-12-09,,,,,0.0001,1.8375,0.0,0.0
2016-12-12,,,,,0.0117,1.8492,0.0,0.0
2016-12-13,,,,,,1.8492,0.0,0.0
2016-12-14,,,,,0.0233,1.8259,0.0,0.0
2016-12-15,,,,,0.0029,1.8288,0.0,0.0
2016-12-16,,,,,0.0193,1.8481,0.0,0.0
2016-12-19,,,,,0.0003,1.8478,0.0,0.0
2016-12-20,,,,,0.0121,1.8599,0.0,0.0
2016-12-21,,,,,0.0184,1.8415,0.0,0.0
2016-12-22,,,,,0.0026,1.8441,0.0,0.0
2016-12-23,,,,,0.0019,1.846,0.0,0.0
2016-12-27,,,,,0.0174,1.8634,0.0,0.0
2016-12-28,,,,,0.0088,1.8722,0.0,0.0
2016-12-29,,,,,0.0088,1.881,0.0,0.0
2016-12-30,,,,,0.0037,1.8847,0.0,0.0
2017-01-03,,,,,0.0319,1.8528,0.0,0.0
2017-01-04,,,,,0.0289,1.8817,0.0,0.0
2017-01-05,,,,,0.0048,1.8865,0.0,0.0
2017-01-06,,,,,0.0044,1.8909,0.0,0.0
2017-01-09,,,,,0.0444,1.8465,0.0,0.0
2017-01-10,,,,,0.028,1.8185,0.0,0.0
2017-01-11,,,,,0.0244,1.8429,0.0,0.0
2017-01-12,,,,,0.0054,1.8483,0.0,0.0
2017-01-13,,,,,0.0181,1.8302,0.0,0.0
2017-01-17,,,,,0.0033,1.8335,0.0,0.0
2017-01-18,,,,,0.0235,1.81,0.0,0.0
2017-01-19,,,,,0.0057,1.8157,0.0,0.0
2017-01-20,,,,,0.026,1.8417,0.0,0.0
2017-01-23,,,,,0.0116,1.8301,0.0,0.0
2017-01-24,,,,,0.0026,1.8327,0.0,0.0
2017-01-25,,,,,0.0263,1.8064,0.0,0.0
2017-01-26,,,,,0.0122,1.8186,0.0,0.0
2017-01-27,,,,,0.0246,1.794,0.0,0.0
2017-01-30,,,,,0.0078,1.7862,0.0,0.0
2017-01-31,,,,,0.0042,1.7904,0.0,0.0
2017-02-01,,,,,0.025,1.8154,0.0,0.0
2017-02-02,,,,,0.015,1.8004,0.0,0.0
2017-02-03,,,,,0.0137,1.8141,0.0,0.0
2017-02-06,,,,,0.0207,1.7934,0.0,0.0
2017-02-07,,,,,0.0106,1.7828,0.0,0.0
2017-02-08,,,,,0.0085,1.7913,0.0,0.0
2017-02-09,,,,,0.0085,1.7998,0.0,0.0
2017-02-10,,,,,0.0085,1.8083,0.0,0.0
2017-02-13,,,,,0.0276,1.7807,0.0,0.0
2017-02-14,,,,,0.0056,1.7863,0.0,0.0
2017-02-15,,,,,0.005,1.7813,0.0,0.0
2017-02-16,,,,,0.0037,1.7776,0.0,0.0
2017-02-17,,,,,0.0022,1.7798,0.0,0.0
2017-02-21,,,,,0.0177,1.7621,0.0,0.0
2017-02-22,,,,,0.0149,1.7472,0.0,0.0
2017-02-23,,,,,0.0155,1.7627,0.0,0.0
2017-02-24,,,,,0.0105,1.7522,0.0,0.0
2017-02-27,,,,,0.006,1.7582,0.0,0.0
2017-02-28,,,,,0.0014,1.7596,0.0,0.0
2017-03-01,,,,,0.0087,1.7509,0.0,0.0
2017-03-02,,,,,0.0295,1.7214,0.0,0.0
2017-03-03,,,,,0.0119,1.7333,0.0,0.0
2017-03-06,,,,,0.0049,1.7382,0.0,0.0
2017-03-07,,,,,0.0133,1.7515,0.0,0.0
2017-03-08,,,,,0.0448,1.7067,0.0,0.0
2017-03-09,,,,,0.0157,1.691,0.0,0.0
2017-03-10,,,,,0.0257,1.6653,0.0,0.0
2017-03-13,,,,,0.0007,1.666,0.0,0.0
2017-03-14,,,,,0.0016,1.6644,0.0,0.0
2017-03-15,,,,,0.0074,1.6718,0.0,0.0
2017-03-16,,,,,0.0067,1.6651,0.0,0.0
2017-03-17,,,,,0.002,1.6671,0.0,0.0
2017-03-20,,,,,0.0069,1.674,0.0,0.0
2017-03-21,,,,,0.0063,1.6677,0.0,0.0
2017-03-22,,,,,0.0006,1.6671,0.0,0.0
2017-03-23,,,,,0.0073,1.6598,0.0,0.0
2017-03-24,,,,,0.0024,1.6622,0.0,0.0
2017-03-27,,,,,0.007,1.6692,0.0,0.0
2017-03-28,,,,,0.0016,1.6676,0.0,0.0
2017-03-29,,,,,0.0184,1.686,0.0,0.0
2017-03-30,,,,,0.0127,1.6987,0.0,0.0
2017-03-31,,,,,0.0117,1.7104,0.0,0.0
2017-04-03,,,,,0.0021,1.7083,0.0,0.0
2017-04-04,,,,,0.023,1.7313,0.0,0.0
2017-04-05,,,,,0.0047,1.736,0.0,0.0
