Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1984-02-23,0.784,0.784,0.784,,,0.784,0.0,29.0
1984-02-24,0.7895,0.7895,0.7895,,,0.7895,0.0,29.0
1984-02-27,0.8095,0.8095,0.8095,,,0.8095,0.0,29.0
1984-02-28,0.8065,0.8065,0.8065,,,0.8065,0.0,29.0
1984-02-29,0.8065,0.8065,0.8065,,,0.8065,0.0,29.0
1984-03-01,0.8115,0.8115,0.8115,,,0.8115,0.0,29.0
1984-03-02,0.8105,0.8105,0.8105,,,0.8105,0.0,29.0
1984-03-05,0.8125,0.8155,0.8125,,,0.8155,10.0,33.0
1984-03-06,0.8135,0.8135,0.8135,,,0.8135,0.0,33.0
1984-03-07,0.8095,0.8095,0.8095,,,0.8095,0.0,33.0
1984-03-08,0.81,0.8135,0.81,,,0.8135,1.0,32.0
1984-03-09,0.8185,0.8185,0.8185,,,0.8185,0.0,32.0
1984-03-12,0.815,0.815,0.813,,,0.813,8.0,28.0
1984-03-13,0.8135,0.8175,0.8135,,,0.814,0.0,29.0
1984-03-14,0.811,0.811,0.811,,,0.811,0.0,29.0
1984-03-15,0.809,0.809,0.809,,,0.809,0.0,29.0
1984-03-16,0.805,0.805,0.805,,,0.805,0.0,29.0
1984-03-19,0.8075,0.815,0.8075,,,0.815,1.0,29.0
1984-03-20,0.8135,0.8135,0.8135,,,0.8135,0.0,29.0
1984-03-21,0.8135,0.8135,0.8135,,,0.8135,0.0,29.0
1984-03-22,0.8115,0.8115,0.8115,,,0.8115,0.0,29.0
1984-03-23,0.8115,0.8115,0.8115,,,0.8115,0.0,29.0
1984-03-26,0.8125,0.8125,0.8125,,,0.8125,0.0,29.0
1984-03-27,0.813,0.813,0.813,,,0.813,0.0,29.0
1984-03-28,0.812,0.812,0.812,,,0.812,0.0,29.0
1984-03-29,0.81,0.817,0.81,,,0.817,7.0,32.0
1984-03-30,0.817,0.817,0.817,,,0.817,0.0,32.0
1984-04-02,0.813,0.817,0.813,,,0.817,35.0,53.0
1984-04-03,0.821,0.821,0.821,,,0.821,0.0,53.0
1984-04-04,0.817,0.817,0.8155,,,0.8155,2.0,55.0
1984-04-05,0.8135,0.8135,0.8135,,,0.8135,0.0,55.0
1984-04-06,0.812,0.812,0.812,,,0.812,0.0,55.0
1984-04-09,0.814,0.814,0.814,,,0.814,0.0,55.0
1984-04-10,0.816,0.82,0.816,,,0.82,4.0,55.0
1984-04-11,0.82,0.82,0.818,,,0.818,1.0,55.0
1984-04-12,0.815,0.815,0.815,,,0.815,0.0,55.0
1984-04-13,0.82,0.82,0.815,,,0.815,6.0,55.0
1984-04-16,0.816,0.816,0.816,,,0.816,0.0,55.0
1984-04-17,0.815,0.815,0.815,,,0.815,0.0,55.0
1984-04-18,0.815,0.815,0.815,,,0.815,0.0,55.0
1984-04-19,0.8195,0.82,0.8195,,,0.8195,20.0,55.0
1984-04-23,0.82,0.825,0.82,,,0.822,35.0,74.0
1984-04-24,0.8275,0.8275,0.8265,,,0.8265,15.0,89.0
1984-04-25,0.823,0.823,0.822,,,0.822,1.0,89.0
1984-04-26,0.82,0.82,0.82,,,0.82,0.0,89.0
1984-04-27,0.816,0.816,0.815,,,0.815,1.0,90.0
1984-04-30,0.813,0.813,0.813,,,0.813,0.0,90.0
1984-05-01,0.8175,0.818,0.814,,,0.814,6.0,94.0
1984-05-02,0.817,0.818,0.814,,,0.814,7.0,97.0
1984-05-03,0.822,0.822,0.8175,,,0.8175,35.0,122.0
1984-05-04,0.824,0.824,0.824,,,0.824,0.0,122.0
1984-05-07,0.824,0.824,0.815,,,0.815,7.0,124.0
1984-05-08,0.8225,0.8225,0.8225,,,0.8225,0.0,124.0
1984-05-09,0.83,0.832,0.825,,,0.832,22.0,120.0
1984-05-10,0.831,0.8383,0.831,,,0.8383,12.0,128.0
