Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-12-02,2.5801,2.5801,2.5801,,,2.5801,0.0,0.0
2013-12-03,2.5953,2.5953,2.5953,,,2.5953,0.0,0.0
2013-12-04,2.5968,2.5968,2.5968,,,2.5968,0.0,0.0
2013-12-05,2.5925,2.5925,2.5925,,,2.5925,0.0,0.0
2013-12-06,2.598,2.598,2.598,,,2.598,0.0,0.0
2013-12-09,2.5832,2.5832,2.5832,,,2.5832,0.0,0.0
2013-12-10,2.5913,2.5913,2.5913,,,2.5913,0.0,0.0
2013-12-11,2.6168,2.6168,2.6168,,,2.6168,0.0,0.0
2013-12-12,2.5862,2.5862,2.5862,,,2.5862,0.0,0.0
2013-12-13,2.5802,2.5802,2.5802,,,2.5802,0.0,0.0
2013-12-16,2.5844,2.5844,2.5844,,,2.5844,0.0,0.0
2013-12-17,2.5654,2.5654,2.5654,,,2.5654,0.0,0.0
2013-12-18,2.5892,2.5892,2.5892,,,2.5892,0.0,0.0
2013-12-19,2.5816,2.5816,2.5816,,,2.5816,0.0,0.0
2013-12-20,2.5973,2.5973,2.5973,,,2.5973,0.0,0.0
2013-12-23,2.5976,2.5976,2.5976,,,2.5976,0.0,0.0
2013-12-24,2.6118,2.6118,2.6118,,,2.6118,0.0,0.0
2013-12-26,2.6132,2.6132,2.6132,,,2.6132,0.0,0.0
2013-12-27,2.6123,2.6123,2.6123,,,2.6123,0.0,0.0
2013-12-30,2.5751,2.5751,2.5751,,,2.5751,0.0,0.0
2013-12-31,2.5669,2.5669,2.5669,,,2.5669,0.0,0.0
2014-01-02,2.5199,2.5199,2.5199,,,2.5199,0.0,0.0
2014-01-03,2.5031,2.5031,2.5031,,,2.5031,0.0,0.0
2014-01-06,2.5227,2.5227,2.5227,,,2.5227,0.0,0.0
2014-01-07,2.517,2.517,2.517,,,2.517,0.0,0.0
2014-01-08,2.5144,2.5144,2.5144,,,2.5144,0.0,0.0
2014-01-09,2.5087,2.5087,2.5087,,,2.5087,0.0,0.0
2014-01-10,2.5219,2.5219,2.5219,,,2.5219,0.0,0.0
