Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1995-06-30,0.5154,0.5154,0.5154,,,0.5154,4.0,3.0
1995-07-05,0.5121,0.5121,0.5121,,,0.5121,0.0,3.0
1995-07-06,0.5168,0.5168,0.5168,,,0.5168,0.0,3.0
1995-07-07,0.5105,0.5105,0.5105,,,0.5105,0.0,3.0
1995-07-10,0.5151,0.5151,0.5151,,,0.5151,0.0,3.0
1995-07-11,0.5132,0.5132,0.5132,,,0.5132,0.0,3.0
1995-07-12,0.5138,0.5138,0.5138,,,0.5138,0.0,3.0
1995-07-13,0.5085,0.5085,0.5085,,,0.5085,0.0,3.0
1995-07-14,0.511,0.511,0.5073,,,0.5073,10.0,11.0
1995-07-17,0.5078,0.5078,0.5078,,,0.5078,0.0,11.0
1995-07-18,0.5125,0.5125,0.5125,,,0.5125,0.0,11.0
1995-07-19,0.5088,0.5088,0.5088,,,0.5088,0.0,11.0
1995-07-20,0.5097,0.5097,0.5097,,,0.5097,0.0,11.0
1995-07-21,0.5107,0.5107,0.5107,,,0.5107,0.0,11.0
1995-07-24,0.5095,0.5135,0.5095,,,0.5135,26.0,31.0
1995-07-25,0.5128,0.5128,0.5128,,,0.5128,0.0,31.0
1995-07-26,0.5197,0.5197,0.5197,,,0.5197,0.0,31.0
1995-07-27,0.5178,0.5178,0.5178,,,0.5178,0.0,31.0
1995-07-28,0.515,0.515,0.515,,,0.515,0.0,31.0
1995-07-31,0.5158,0.5158,0.5158,,,0.5158,0.0,31.0
1995-08-01,0.5154,0.5154,0.5154,,,0.5154,0.0,31.0
1995-08-02,0.5194,0.5194,0.5194,,,0.5194,85.0,81.0
1995-08-03,0.5197,0.5197,0.5197,,,0.5197,0.0,81.0
1995-08-04,0.5177,0.5177,0.5177,,,0.5177,0.0,81.0
1995-08-07,0.519,0.519,0.519,,,0.519,0.0,81.0
1995-08-08,0.5208,0.5208,0.5208,,,0.5208,0.0,81.0
1995-08-09,0.5195,0.5195,0.5195,,,0.5195,0.0,81.0
1995-08-10,0.5217,0.5217,0.5217,,,0.5217,0.0,81.0
1995-08-11,0.5215,0.5215,0.5197,,,0.5197,1.0,82.0
1995-08-14,0.517,0.517,0.514,,,0.514,25.0,107.0
1995-08-15,0.5121,0.5121,0.5121,,,0.5121,0.0,107.0
1995-08-16,0.5139,0.5139,0.5139,,,0.5139,0.0,107.0
1995-08-17,0.5165,0.5165,0.5136,,,0.5136,4.0,111.0
1995-08-18,0.5146,0.5146,0.5146,,,0.5146,0.0,111.0
1995-08-21,0.5179,0.5179,0.5179,,,0.5179,0.0,111.0
1995-08-22,0.5166,0.5166,0.5166,,,0.5166,0.0,111.0
