Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.8175,0.0,0.0
2015-12-01,,,,,0.0288,1.8463,0.0,0.0
2015-12-02,,,,,0.0341,1.8122,0.0,0.0
2015-12-03,,,,,0.0363,1.8485,0.0,0.0
2015-12-04,,,,,0.0134,1.8351,0.0,0.0
2015-12-07,,,,,0.0312,1.8039,0.0,0.0
2015-12-08,,,,,0.0108,1.8147,0.0,0.0
2015-12-09,,,,,0.0016,1.8131,0.0,0.0
2015-12-10,,,,,0.0096,1.8035,0.0,0.0
2015-12-11,,,,,0.0223,1.7812,0.0,0.0
2015-12-14,,,,,0.0086,1.7726,0.0,0.0
2015-12-15,,,,,0.0042,1.7768,0.0,0.0
2015-12-16,,,,,0.0406,1.7362,0.0,0.0
2015-12-17,,,,,0.0102,1.726,0.0,0.0
2015-12-18,,,,,0.0071,1.7189,0.0,0.0
2015-12-21,,,,,0.009,1.7099,0.0,0.0
2015-12-22,,,,,0.0128,1.6971,0.0,0.0
2015-12-23,,,,,0.0181,1.7152,0.0,0.0
2015-12-24,,,,,0.0003,1.7155,0.0,0.0
2015-12-28,,,,,0.0213,1.6942,0.0,0.0
2015-12-29,,,,,0.0201,1.7143,0.0,0.0
2015-12-30,,,,,0.0302,1.6841,0.0,0.0
2015-12-31,,,,,0.0121,1.6962,0.0,0.0
2016-01-04,,,,,0.0054,1.6908,0.0,0.0
2016-01-05,,,,,0.0138,1.677,0.0,0.0
2016-01-06,,,,,0.0386,1.6384,0.0,0.0
2016-01-07,,,,,0.0147,1.6237,0.0,0.0
2016-01-08,,,,,0.0064,1.6173,0.0,0.0
2016-01-11,,,,,0.0373,1.58,0.0,0.0
2016-01-12,,,,,0.0317,1.5483,0.0,0.0
2016-01-13,,,,,0.0195,1.5288,0.0,0.0
2016-01-14,,,,,0.0021,1.5267,0.0,0.0
2016-01-15,,,,,0.0547,1.472,0.0,0.0
2016-01-19,,,,,0.0425,1.4295,0.0,0.0
2016-01-20,,,,,0.0366,1.3929,0.0,0.0
2016-01-21,,,,,0.0184,1.4113,0.0,0.0
2016-01-22,,,,,0.0729,1.4842,0.0,0.0
2016-01-25,,,,,0.0362,1.448,0.0,0.0
2016-01-26,,,,,0.0323,1.4803,0.0,0.0
2016-01-27,,,,,0.0355,1.5158,0.0,0.0
2016-01-28,,,,,0.0062,1.522,0.0,0.0
2016-01-29,,,,,0.0421,1.5641,0.0,0.0
2016-02-01,,,,,0.0387,1.5254,0.0,0.0
2016-02-02,,,,,0.0257,1.4997,0.0,0.0
2016-02-03,,,,,0.0495,1.5492,0.0,0.0
2016-02-04,,,,,0.0092,1.5584,0.0,0.0
2016-02-05,,,,,0.0128,1.5456,0.0,0.0
2016-02-08,,,,,0.0188,1.5268,0.0,0.0
2016-02-09,,,,,0.0596,1.4672,0.0,0.0
2016-02-10,,,,,0.003,1.4702,0.0,0.0
2016-02-11,,,,,0.0001,1.4701,0.0,0.0
2016-02-12,,,,,0.0691,1.5392,0.0,0.0
2016-02-16,,,,,0.0308,1.5084,0.0,0.0
2016-02-17,,1.57,,1.57,0.0485,1.5569,0.0,0.0
2016-02-18,,,,,0.0046,1.5523,0.0,0.0
2016-02-19,,,,,0.0199,1.5324,0.0,0.0
2016-02-22,1.57,1.57,1.57,1.57,0.0338,1.5662,5.0,0.0
2016-02-23,1.5527,1.5527,1.5527,1.5527,0.0243,1.5419,101.0,5.0
2016-02-24,,,,,0.0203,1.5622,0.0,106.0
2016-02-25,,,,,0.0009,1.5613,0.0,106.0
2016-02-26,,,,,0.0161,1.5452,0.0,106.0
2016-02-29,,,,,0.0271,1.5723,0.0,106.0
2016-03-01,,,,,0.0005,1.5718,0.0,106.0
2016-03-02,,,,,0.0034,1.5684,0.0,106.0
2016-03-03,,,,,0.0038,1.5646,0.0,106.0
2016-03-04,,,,,0.0331,1.5977,0.0,106.0
2016-03-07,,,,,0.0179,1.6156,0.0,106.0
2016-03-08,,,,,0.0295,1.5861,0.0,106.0
2016-03-09,,,,,0.0233,1.6094,0.0,106.0
2016-03-10,,,,,0.0189,1.5905,0.0,106.0
2016-03-11,,,,,0.0051,1.5956,0.0,106.0
2016-03-14,,,,,0.0174,1.5782,0.0,106.0
2016-03-15,,,,,0.0134,1.5648,0.0,106.0
2016-03-16,,,,,0.0342,1.599,0.0,106.0
2016-03-17,,,,,0.0082,1.6072,0.0,106.0
2016-03-18,,,,,0.0059,1.6013,0.0,106.0
2016-03-21,,,,,0.0115,1.6128,0.0,106.0
2016-03-22,,,,,0.0135,1.6263,0.0,106.0
2016-03-23,,,,,0.0305,1.5958,0.0,106.0
2016-03-24,,,,,0.0041,1.5917,0.0,106.0
2016-03-28,,,,,0.0104,1.5813,0.0,106.0
2016-03-29,,,,,0.0112,1.5701,0.0,106.0
2016-03-30,,,,,0.0112,1.5813,0.0,106.0
2016-03-31,,,,,0.0073,1.5886,0.0,106.0
2016-04-01,,,,,0.0405,1.5481,0.0,106.0
2016-04-04,1.55,1.55,1.55,1.55,0.0112,1.5369,3.0,106.0
2016-04-05,,,,,0.0055,1.5314,0.0,108.0
2016-04-06,,,,,0.0263,1.5577,0.0,108.0
2016-04-07,,,,,0.0139,1.5438,0.0,108.0
2016-04-08,,,,,0.0485,1.5923,0.0,108.0
2016-04-11,,,,,0.0135,1.6058,0.0,108.0
2016-04-12,,,,,0.0334,1.6392,0.0,108.0
2016-04-13,,,,,0.0058,1.6334,0.0,108.0
2016-04-14,,,,,0.0183,1.6151,0.0,108.0
2016-04-15,,,,,0.0288,1.5863,0.0,108.0
2016-04-18,,,,,0.0078,1.5785,0.0,108.0
2016-04-19,,,,,0.0221,1.6006,0.0,108.0
2016-04-20,,,,,0.0374,1.638,0.0,108.0
2016-04-21,,,,,0.0203,1.6177,0.0,108.0
2016-04-22,,,,,0.0205,1.6382,0.0,108.0
2016-04-25,,,,,0.0114,1.6268,0.0,108.0
2016-04-26,,,,,0.0277,1.6545,0.0,108.0
2016-04-27,,,,,0.0225,1.677,0.0,108.0
2016-04-28,,,,,0.0159,1.6929,0.0,108.0
2016-04-29,,,,,0.0128,1.6801,0.0,108.0
2016-05-02,,,,,0.0206,1.6595,0.0,108.0
2016-05-03,,,,,0.0087,1.6508,0.0,108.0
2016-05-04,,,,,0.0037,1.6545,0.0,108.0
2016-05-05,,,,,0.0071,1.6616,0.0,108.0
2016-05-06,,,,,0.0087,1.6703,0.0,108.0
2016-05-09,,,,,0.0267,1.6436,0.0,108.0
2016-05-10,,,,,0.0547,1.6983,1.0,108.0
2016-05-11,,,,,0.0389,1.7372,0.0,109.0
2016-05-12,,,,,0.0026,1.7346,0.0,109.0
2016-05-13,,,,,0.0162,1.7184,0.0,109.0
2016-05-16,,,,,0.0141,1.7325,0.0,109.0
2016-05-17,,,,,0.011,1.7435,0.0,109.0
2016-05-18,,,,,0.0027,1.7462,0.0,109.0
2016-05-19,,,,,0.0039,1.7423,0.0,109.0
2016-05-20,,,,,0.004,1.7383,0.0,109.0
2016-05-23,,,,,0.0004,1.7379,0.0,109.0
2016-05-24,,,,,0.0051,1.743,0.0,109.0
2016-05-25,,,,,0.0222,1.7652,0.0,109.0
2016-05-26,,,,,0.0037,1.7615,0.0,109.0
2016-05-27,,,,,0.0013,1.7602,170.0,109.0
2016-05-31,,,,,0.0016,1.7586,0.0,279.0
2016-06-01,,,,,0.0059,1.7645,0.0,279.0
2016-06-02,,,,,0.003,1.7675,0.0,284.0
2016-06-03,,,,,0.0158,1.7517,0.0,284.0
2016-06-06,,,,,0.0155,1.7672,0.0,284.0
2016-06-07,,,,,0.0254,1.7926,0.0,284.0
2016-06-08,,,,,0.01,1.8026,0.0,284.0
2016-06-09,,,,,0.0118,1.7908,1.0,284.0
2016-06-10,,,,,0.0279,1.7629,1.0,283.0
2016-06-13,,,,,0.0001,1.763,0.0,284.0
2016-06-14,,,,,0.0131,1.7499,0.0,284.0
2016-06-15,,,,,0.017,1.7329,0.0,284.0
2016-06-16,,,,,0.04,1.6929,0.0,284.0
2016-06-17,,,,,0.0491,1.742,0.0,284.0
2016-06-20,,,,,0.0323,1.7743,0.0,284.0
2016-06-21,,,,,,1.7743,0.0,284.0
2016-06-22,,,,,0.0063,1.768,0.0,284.0
2016-06-23,,,,,0.0178,1.7858,0.0,284.0
2016-06-24,,,,,0.0522,1.7336,0.0,284.0
2016-06-27,,,,,0.0194,1.7142,0.0,284.0
2016-06-28,,,,,0.0427,1.7569,0.0,284.0
2016-06-29,,,,,0.0519,1.8088,0.0,284.0
2016-06-30,,,,,0.0395,1.7693,0.0,284.0
2016-07-01,,,,,0.0275,1.7968,0.0,284.0
2016-07-05,,,,,0.0397,1.7571,0.0,284.0
2016-07-06,,,,,0.0284,1.7855,0.0,284.0
2016-07-07,,,,,0.0503,1.7352,0.0,284.0
2016-07-08,,,,,0.0099,1.7451,0.0,284.0
2016-07-11,,,,,0.0031,1.7482,0.0,284.0
2016-07-12,,,,,0.0341,1.7823,0.0,284.0
2016-07-13,,,,,0.0525,1.7298,0.0,284.0
2016-07-14,,,,,0.0195,1.7493,0.0,284.0
2016-07-15,,,,,0.0022,1.7471,0.0,284.0
2016-07-18,,,,,0.0135,1.7336,0.0,284.0
2016-07-19,,,,,0.0088,1.7424,0.0,284.0
2016-07-20,,,,,0.0087,1.7511,0.0,284.0
2016-07-21,,,,,0.0265,1.7246,0.0,284.0
2016-07-22,,,,,0.0141,1.7105,0.0,284.0
2016-07-25,,,,,0.0182,1.6923,1.0,284.0
2016-07-26,,,,,,1.6923,0.0,284.0
2016-07-27,,,,,0.0261,1.6662,0.0,284.0
2016-07-28,,,,,0.0207,1.6455,0.0,284.0
2016-07-29,,,,,0.0072,1.6527,0.0,284.0
2016-08-01,,,,,0.0309,1.6218,0.0,284.0
2016-08-02,,,,,0.0061,1.6157,0.0,284.0
2016-08-03,,,,,0.0207,1.6364,0.0,284.0
2016-08-04,,,,,0.0174,1.6538,100.0,284.0
2016-08-05,,,,,0.0031,1.6507,0.0,384.0
2016-08-08,,,,,0.0246,1.6753,0.0,384.0
2016-08-09,,,,,0.0038,1.6715,0.0,384.0
2016-08-10,,,,,0.0059,1.6656,0.0,384.0
2016-08-11,,,,,0.0396,1.7052,0.0,384.0
2016-08-12,,,,,0.0186,1.7238,0.0,384.0
2016-08-15,,,,,0.0293,1.7531,0.0,384.0
2016-08-16,,,,,0.0124,1.7655,0.0,384.0
2016-08-17,,,,,0.0233,1.7888,0.0,384.0
2016-08-18,,,,,0.0262,1.815,0.0,384.0
2016-08-19,,,,,0.0011,1.8161,0.0,384.0
2016-08-22,,,,,0.0337,1.7824,0.0,384.0
2016-08-23,,,,,0.0152,1.7976,0.0,384.0
2016-08-24,,,,,0.016,1.7816,0.0,384.0
2016-08-25,,,,,0.0114,1.793,0.0,384.0
2016-08-26,,,,,0.0066,1.7864,0.0,384.0
2016-08-29,,,,,0.0078,1.7786,0.0,384.0
2016-08-30,,,,,0.0124,1.7662,0.0,384.0
2016-08-31,,,,,0.0474,1.7188,0.0,384.0
2016-09-01,,,,,0.0354,1.6834,0.0,384.0
2016-09-02,,,,,0.0233,1.7067,0.0,384.0
2016-09-06,,,,,0.0059,1.7126,0.0,384.0
2016-09-07,,,,,0.0193,1.7319,0.0,384.0
2016-09-08,,,,,0.0525,1.7844,0.0,384.0
2016-09-09,,,,,0.0466,1.7378,0.0,384.0
2016-09-12,,,,,0.0105,1.7483,0.0,384.0
2016-09-13,,,,,0.0185,1.7298,0.0,384.0
2016-09-14,,,,,0.0373,1.6925,0.0,384.0
2016-09-15,,,,,0.0141,1.7066,0.0,384.0
2016-09-16,,,,,0.0173,1.6893,0.0,384.0
2016-09-19,,,,,0.0028,1.6921,0.0,384.0
2016-09-20,,,,,0.0056,1.6977,0.0,384.0
2016-09-21,,,,,0.0152,1.7129,0.0,384.0
2016-09-22,,,,,0.0225,1.7354,0.0,384.0
2016-09-23,,,,,0.0432,1.6922,0.0,384.0
2016-09-26,,,,,0.0317,1.7239,0.0,384.0
2016-09-27,,,,,0.0291,1.6948,0.0,384.0
2016-09-28,,,,,0.0527,1.7475,0.0,384.0
2016-09-29,,,,,0.0178,1.7653,0.0,384.0
2016-09-30,,,,,0.0141,1.7794,0.0,384.0
2016-10-03,,,,,0.0173,1.7967,0.0,384.0
2016-10-04,,,,,0.0036,1.8003,0.0,384.0
2016-10-05,,,,,0.0246,1.8249,0.0,384.0
2016-10-06,,,,,0.0095,1.8344,0.0,384.0
2016-10-07,,,,,0.0096,1.8248,0.0,384.0
2016-10-10,,,,,0.0228,1.8476,1.0,384.0
2016-10-11,,,,,0.02,1.8276,60.0,385.0
2016-10-12,,,,,0.0175,1.8101,0.0,445.0
2016-10-13,,,,,0.0078,1.8179,0.0,445.0
2016-10-14,,,,,0.0067,1.8112,0.0,445.0
2016-10-17,,,,,0.008,1.8032,0.0,445.0
2016-10-18,,,,,0.0066,1.8098,0.0,445.0
2016-10-19,,,,,0.0176,1.8274,300.0,445.0
2016-10-20,,,,,0.0251,1.8023,0.0,545.0
2016-10-21,,,,,0.0124,1.8147,0.0,545.0
2016-10-24,,,,,0.0034,1.8181,0.0,545.0
2016-10-25,,,,,0.001,1.8171,0.0,545.0
2016-10-26,,,,,0.015,1.8021,0.0,545.0
2016-10-27,,,,,0.0181,1.8202,151.0,545.0
2016-10-28,,,,,0.019,1.8012,0.0,436.0
2016-10-31,,,,,0.047,1.7542,0.0,436.0
2016-11-01,,,,,0.0028,1.757,0.0,436.0
2016-11-02,,,,,0.0027,1.7543,300.0,436.0
