Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-12-31,,,,,0.0,1.6502,0.0,0.0
2015-01-02,,,,,0.0235,1.6267,0.0,0.0
2015-01-05,,,,,0.0365,1.5902,0.0,0.0
2015-01-06,,,,,0.0215,1.5687,0.0,0.0
2015-01-07,,,,,0.0045,1.5642,0.0,0.0
2015-01-08,,,,,0.0008,1.5634,0.0,0.0
2015-01-09,,,,,0.0008,1.5642,0.0,0.0
2015-01-12,,,,,0.0386,1.5256,0.0,0.0
2015-01-13,,,,,0.0006,1.5262,0.0,0.0
2015-01-14,,,,,0.0467,1.5729,0.0,0.0
2015-01-15,,,,,0.045,1.5279,0.0,0.0
2015-01-16,,,,,0.0369,1.5648,0.0,0.0
2015-01-20,,,,,0.0492,1.5156,0.0,0.0
2015-01-21,,,,,0.0206,1.5362,0.0,0.0
2015-01-22,,,,,0.014,1.5222,0.0,0.0
2015-01-23,,,,,0.0136,1.5358,0.0,0.0
2015-01-26,,,,,0.0115,1.5243,0.0,0.0
2015-01-27,,,,,0.0371,1.5614,0.0,0.0
2015-01-28,,,,,0.017,1.5444,0.0,0.0
2015-01-29,,,,,0.0148,1.5592,0.0,0.0
2015-01-30,,,,,0.0835,1.6427,0.0,0.0
2015-02-02,,,,,0.036,1.6787,0.0,0.0
2015-02-03,,,,,0.0571,1.7358,0.0,0.0
2015-02-04,,,,,0.0843,1.6515,0.0,0.0
2015-02-05,,,,,0.0413,1.6928,0.0,0.0
2015-02-06,,,,,0.0181,1.7109,0.0,0.0
2015-02-09,,,,,0.0178,1.7287,0.0,0.0
2015-02-10,,,,,0.0226,1.7061,0.0,0.0
2015-02-11,,,,,0.0177,1.6884,0.0,0.0
2015-02-12,,,,,0.0491,1.7375,0.0,0.0
2015-02-13,,,,,0.0113,1.7488,0.0,0.0
2015-02-17,,,,,0.0009,1.7497,0.0,0.0
2015-02-18,,,,,0.0424,1.7073,0.0,0.0
2015-02-19,,,,,0.0148,1.6925,0.0,0.0
2015-02-20,,,,,0.0034,1.6891,0.0,0.0
2015-02-23,,,,,0.0129,1.6762,0.0,0.0
2015-02-24,,,,,0.0228,1.699,0.0,0.0
2015-02-25,,,,,0.0603,1.7593,0.0,0.0
2015-02-26,,,,,0.0319,1.7274,0.0,0.0
2015-02-27,,,,,0.037,1.7644,0.0,0.0
2015-03-02,,,,,0.0523,1.7121,0.0,0.0
2015-03-03,,,,,0.0386,1.7507,0.0,0.0
2015-03-04,,,,,0.022,1.7287,0.0,0.0
2015-03-05,,,,,0.0283,1.7004,0.0,0.0
2015-03-06,,,,,0.0152,1.6852,0.0,0.0
2015-03-09,,,,,0.0159,1.6693,0.0,0.0
2015-03-10,,,,,0.008,1.6613,0.0,0.0
2015-03-11,,,,,0.0204,1.6817,0.0,0.0
2015-03-12,,,,,0.0025,1.6792,0.0,0.0
2015-03-13,,,,,0.0014,1.6806,0.0,0.0
2015-03-16,,,,,0.0021,1.6785,0.0,0.0
2015-03-17,,,,,0.0096,1.6689,0.0,0.0
2015-03-18,,,,,0.0538,1.7227,0.0,0.0
2015-03-19,,,,,0.032,1.6907,0.0,0.0
2015-03-20,,,,,0.0181,1.7088,0.0,0.0
2015-03-23,,,,,0.0084,1.7172,0.0,0.0
2015-03-24,,,,,0.0238,1.6934,0.0,0.0
2015-03-25,,,,,0.0239,1.7173,0.0,0.0
2015-03-26,,,,,0.0257,1.743,0.0,0.0
2015-03-27,,,,,0.0536,1.6894,0.0,0.0
2015-03-30,,,,,0.0129,1.7023,0.0,0.0
2015-03-31,,,,,0.0168,1.6855,0.0,0.0
2015-04-01,,,,,0.0407,1.7262,0.0,0.0
2015-04-02,,,,,0.0425,1.6837,0.0,0.0
2015-04-06,,,,,0.0651,1.7488,0.0,0.0
2015-04-07,,,,,0.0072,1.7416,0.0,0.0
2015-04-08,,,,,0.0579,1.6837,0.0,0.0
2015-04-09,,,,,0.021,1.7047,0.0,0.0
2015-04-10,,,,,0.0242,1.7289,0.0,0.0
2015-04-13,,,,,0.0042,1.7331,0.0,0.0
2015-04-14,,,,,0.0133,1.7464,0.0,0.0
2015-04-15,,,,,0.0656,1.812,0.0,0.0
2015-04-16,,,,,0.001,1.813,0.0,0.0
2015-04-17,,,,,0.0188,1.7942,0.0,0.0
2015-04-20,,,,,0.0075,1.8017,0.0,0.0
2015-04-21,,,,,0.02,1.7817,0.0,0.0
2015-04-22,,,,,0.0177,1.7994,0.0,0.0
2015-04-23,,,,,0.0328,1.8322,0.0,0.0
2015-04-24,,,,,0.0048,1.837,0.0,0.0
2015-04-27,,,,,0.0194,1.8176,0.0,0.0
2015-04-28,,,,,0.0079,1.8097,0.0,0.0
2015-04-29,,,,,0.021,1.8307,0.0,0.0
2015-04-30,,,,,0.0073,1.838,0.0,0.0
2015-05-01,,,,,0.0049,1.8331,0.0,0.0
2015-05-04,,,,,0.0045,1.8376,0.0,0.0
2015-05-05,,,,,0.0181,1.8557,0.0,0.0
2015-05-06,,,,,0.0037,1.852,0.0,0.0
2015-05-07,,,,,0.0336,1.8184,0.0,0.0
2015-05-08,,,,,0.0062,1.8246,0.0,0.0
2015-05-11,,,,,0.0033,1.8213,0.0,0.0
2015-05-12,,,,,0.0358,1.8571,0.0,0.0
2015-05-13,,,,,0.0088,1.8483,0.0,0.0
2015-05-14,,,,,0.0033,1.845,0.0,0.0
2015-05-15,,,,,0.0027,1.8423,0.0,0.0
2015-05-18,,,,,0.0141,1.8282,0.0,0.0
2015-05-19,,,,,0.0434,1.7848,0.0,0.0
2015-05-20,,,,,0.0175,1.8023,0.0,0.0
2015-05-21,,,,,0.0226,1.8249,0.0,0.0
2015-05-22,,,,,0.0252,1.7997,0.0,0.0
2015-05-26,,,,,0.035,1.7647,0.0,0.0
2015-05-27,,,,,0.0288,1.7359,0.0,0.0
2015-05-28,,,,,0.0159,1.7518,0.0,0.0
2015-05-29,,,,,0.0577,1.8095,0.0,0.0
