Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2008-02-01,2.1292,2.1292,2.1292,,,2.1292,0.0,0.0
2008-02-04,2.154,2.154,2.154,,,2.154,0.0,0.0
2008-02-05,2.13,2.13,2.13,,,2.13,0.0,0.0
2008-02-06,2.1097,2.1097,2.1097,,,2.1097,0.0,0.0
2008-02-07,2.1299,2.1299,2.1299,,,2.1299,0.0,0.0
2008-02-08,2.2084,2.2084,2.2084,,,2.2084,0.0,0.0
2008-02-11,2.2269,2.2269,2.2269,,,2.2269,0.0,0.0
2008-02-12,2.2162,2.2162,2.2162,,,2.2162,0.0,0.0
2008-02-13,2.2246,2.2246,2.2246,,,2.2246,0.0,0.0
2008-02-14,2.2813,2.2813,2.2813,,,2.2813,0.0,0.0
2008-02-15,2.2688,2.2688,2.2688,,,2.2688,0.0,0.0
2008-02-19,2.3369,2.3369,2.3369,,,2.3369,0.0,0.0
2008-02-20,2.3389,2.3389,2.3389,,,2.3389,0.0,0.0
2008-02-21,2.3152,2.3152,2.3152,,,2.3152,0.0,0.0
2008-02-22,2.329,2.329,2.329,,,2.329,0.0,0.0
2008-02-25,2.3371,2.3371,2.3371,,,2.3371,0.0,0.0
2008-02-26,2.391,2.391,2.391,,,2.391,0.0,0.0
2008-02-27,2.3651,2.3651,2.3651,,,2.3651,0.0,0.0
2008-02-28,2.4254,2.4254,2.4254,,,2.4254,0.0,0.0
2008-02-29,2.4106,2.4106,2.4106,,,2.4106,0.0,0.0
2008-03-03,2.4087,2.4087,2.4087,,,2.4087,0.0,0.0
2008-03-05,2.4463,2.4463,2.4463,,,2.4463,0.0,0.0
2008-03-06,2.4367,2.4367,2.4367,,,2.4367,0.0,0.0
2008-03-07,2.4392,2.4392,2.4392,,,2.4392,0.0,0.0
2008-03-10,0.0,2.4397,2.4397,,,2.4397,0.0,0.0
2008-03-11,2.4438,2.4438,2.4438,,,2.4438,0.0,0.0
2008-03-12,2.4781,2.4781,2.4781,,,2.4781,0.0,0.0
2008-03-13,0.0,2.497,2.497,,,2.497,0.0,0.0
2008-03-14,2.4881,2.4881,2.4881,,,2.4881,0.0,0.0
2008-03-17,2.3688,2.3688,2.3688,,,2.3688,0.0,0.0
2008-03-18,2.5061,2.5061,2.5061,,,2.5061,0.0,0.0
2008-03-19,2.3797,2.3797,2.3797,,,2.3797,0.0,0.0
2008-03-20,2.378,2.378,2.378,,,2.378,0.0,0.0
2008-03-24,2.3663,2.3663,2.3663,,,2.3663,0.0,0.0
2008-03-25,2.4017,2.4017,2.4017,,,2.4017,0.0,0.0
2008-03-26,2.4613,2.4613,2.4613,,,2.4613,0.0,0.0
2008-03-27,2.4702,2.4702,2.4702,,,2.4702,0.0,0.0
2008-03-28,2.4549,2.4549,2.4549,,,2.4549,0.0,0.0
2008-03-31,2.3805,2.3805,2.3805,,,2.3805,0.0,0.0
2008-04-01,2.3741,2.3741,2.3741,,,2.3741,0.0,0.0
2008-04-02,2.455,2.455,2.455,,,2.455,0.0,0.0
2008-04-03,2.4129,2.4129,2.4129,,,2.4129,0.0,0.0
2008-04-04,2.4553,2.4553,2.4553,,,2.4553,0.0,0.0
2008-04-07,2.4966,2.4966,2.4966,,,2.4966,0.0,0.0
2008-04-08,2.48,2.48,2.48,,,2.48,0.0,0.0
2008-04-09,2.5103,2.5103,2.5103,,,2.5103,0.0,0.0
2008-04-10,2.5187,2.5187,2.5187,,,2.5187,0.0,0.0
2008-04-11,2.5274,2.5274,2.5274,,,2.5274,0.0,0.0
2008-04-14,2.5414,2.5414,2.5414,,,2.5414,0.0,0.0
2008-04-15,2.5966,2.5966,2.5966,,,2.5966,0.0,0.0
2008-04-16,2.6361,2.6361,2.6361,,,2.6361,0.0,0.0
2008-04-17,2.6449,2.6449,2.6449,,,2.6449,0.0,0.0
2008-04-18,2.6784,2.6784,2.6784,,,2.6784,0.0,0.0
2008-04-21,2.6766,2.6766,2.6766,,,2.6766,0.0,0.0
2008-04-22,2.7122,2.7122,2.7122,,,2.7122,0.0,0.0
2008-04-23,2.7315,2.7315,2.7315,,,2.7315,0.0,0.0
2008-04-24,2.6789,2.6789,2.6789,,,2.6789,0.0,0.0
2008-04-25,2.7218,2.7218,2.7218,,,2.7218,0.0,0.0
2008-04-28,2.7109,2.7109,2.7109,,,2.7109,0.0,0.0
2008-04-29,2.6494,2.6494,2.6494,,,2.6494,0.0,0.0
2008-04-30,2.61,2.61,2.61,,,2.61,0.0,0.0
2008-05-02,2.6881,2.6881,2.6881,,,2.6881,0.0,0.0
2008-05-05,2.7751,2.7751,2.7751,,,2.7751,0.0,0.0
2008-05-06,2.8202,2.8202,2.8202,,,2.8202,0.0,0.0
2008-05-07,2.8629,2.8629,2.8629,,,2.8629,0.0,0.0
2008-05-08,2.8915,2.8915,2.8915,,,2.8915,0.0,0.0
2008-05-09,2.9519,2.9519,2.9519,,,2.9519,0.0,0.0
2008-05-12,2.9089,2.9089,2.9089,,,2.9089,0.0,0.0
2008-05-13,2.9407,2.9407,2.9407,,,2.9407,0.0,0.0
2008-05-14,2.9296,2.9296,2.9296,,,2.9296,0.0,0.0
2008-05-15,2.917,2.917,2.917,,,2.917,0.0,0.0
2008-05-16,2.9629,2.9629,2.9629,,,2.9629,0.0,0.0
2008-05-19,3.0015,3.0015,3.0015,,,3.0015,0.0,0.0
2008-05-20,3.1306,3.1306,3.1306,,,3.1306,0.0,0.0
2008-05-21,3.2285,3.2285,3.2285,,,3.2285,0.0,0.0
2008-05-22,3.1397,3.1397,3.1397,,,3.1397,0.0,0.0
2008-05-23,3.1227,3.1227,3.1227,,,3.1227,0.0,0.0
2008-05-27,3.0637,3.0637,3.0637,,,3.0637,0.0,0.0
2008-05-28,3.0863,3.0863,3.0863,,,3.0863,0.0,0.0
2008-05-29,3.0029,3.0029,3.0029,,,3.0029,0.0,0.0
2008-05-30,3.0129,3.0129,3.0129,,,3.0129,0.0,0.0
2008-06-02,3.0334,3.0334,3.0334,,,3.0334,0.0,0.0
2008-06-03,2.9812,2.9812,2.9812,,,2.9812,0.0,0.0
2008-06-04,2.9261,2.9261,2.9261,,,2.9261,0.0,0.0
2008-06-05,3.0605,3.0605,3.0605,,,3.0605,0.0,0.0
2008-06-06,3.2687,3.2687,3.2687,,,3.2687,0.0,0.0
2008-06-09,3.1727,3.1727,3.1727,,,3.1727,0.0,0.0
2008-06-10,3.1433,3.1433,3.1433,,,3.1433,0.0,0.0
2008-06-11,3.2755,3.2755,3.2755,,,3.2755,0.0,0.0
2008-06-12,3.3122,3.3122,3.3122,,,3.3122,0.0,0.0
2008-06-13,3.2608,3.2608,3.2608,,,3.2608,0.0,0.0
2008-06-17,3.2641,3.2641,3.2641,,,3.2641,0.0,0.0
2008-06-18,3.2712,3.2712,3.2712,,,3.2712,0.0,0.0
2008-06-19,3.1904,3.1904,3.1904,,,3.1904,0.0,0.0
2008-06-20,3.2395,3.2395,3.2395,,,3.2395,0.0,0.0
2008-06-23,3.2584,3.2584,3.2584,,,3.2584,0.0,0.0
