Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-01-31,0.0,0.0,0.0,,,2.4556,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,2.4733,0.0,0.0
2013-02-04,0.0,0.0,0.0,,,2.4401,0.0,0.0
2013-02-05,0.0,0.0,0.0,,,2.4602,0.0,0.0
2013-02-06,0.0,0.0,0.0,,,2.4678,0.0,0.0
2013-02-07,0.0,0.0,0.0,,,2.4737,0.0,0.0
2013-02-08,0.0,0.0,0.0,,,2.5031,0.0,0.0
2013-02-11,0.0,0.0,0.0,,,2.4916,0.0,0.0
2013-02-12,0.0,0.0,0.0,,,2.5047,0.0,0.0
2013-02-13,0.0,0.0,0.0,,,2.5065,0.0,0.0
2013-02-14,0.0,0.0,0.0,,,2.5053,0.0,0.0
2013-02-15,0.0,0.0,0.0,,,2.5027,0.0,0.0
2013-02-19,0.0,0.0,0.0,,,2.4977,0.0,0.0
2013-02-20,0.0,0.0,0.0,,,2.4624,0.0,0.0
2013-02-21,0.0,0.0,0.0,,,2.4163,0.0,0.0
2013-02-22,0.0,0.0,0.0,,,2.4267,0.0,0.0
2013-02-25,0.0,0.0,0.0,,,2.4289,0.0,0.0
2013-02-26,0.0,0.0,0.0,,,2.3904,0.0,0.0
2013-02-27,0.0,0.0,0.0,,,2.3693,0.0,0.0
2013-02-28,0.0,0.0,0.0,,,2.3567,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,2.3434,0.0,0.0
2013-03-04,0.0,0.0,0.0,,,2.3399,0.0,0.0
2013-03-05,0.0,0.0,0.0,,,2.3627,0.0,0.0
2013-03-06,0.0,0.0,0.0,,,2.3617,0.0,0.0
2013-03-07,0.0,0.0,0.0,,,2.3812,0.0,0.0
2013-03-08,0.0,0.0,0.0,,,2.4237,0.0,0.0
2013-03-11,0.0,0.0,0.0,,,2.4244,0.0,0.0
2013-03-12,0.0,0.0,0.0,,,2.4227,0.0,0.0
2013-03-13,0.0,0.0,0.0,,,2.4177,0.0,0.0
2013-03-14,0.0,0.0,0.0,,,2.4277,0.0,0.0
2013-03-15,0.0,0.0,0.0,,,2.445,0.0,0.0
2013-03-18,0.0,0.0,0.0,,,2.4228,0.0,0.0
2013-03-19,0.0,0.0,0.0,,,2.371,0.0,0.0
2013-03-20,0.0,0.0,0.0,,,2.3953,0.0,0.0
2013-03-21,0.0,0.0,0.0,,,2.3771,0.0,0.0
2013-03-22,0.0,0.0,0.0,,,2.3822,0.0,0.0
2013-03-25,0.0,0.0,0.0,,,2.3986,0.0,0.0
2013-03-26,0.0,0.0,0.0,,,2.4351,0.0,0.0
2013-03-27,0.0,0.0,0.0,,,2.4528,0.0,0.0
2013-03-28,0.0,0.0,0.0,,,2.4656,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,2.4668,0.0,0.0
2013-04-02,0.0,0.0,0.0,,,2.4659,0.0,0.0
2013-04-03,0.0,0.0,0.0,,,2.397,0.0,0.0
2013-04-04,0.0,0.0,0.0,,,2.4028,0.0,0.0
2013-04-05,0.0,0.0,0.0,,,2.3626,0.0,0.0
2013-04-08,0.0,0.0,0.0,,,2.3806,0.0,0.0
2013-04-09,0.0,0.0,0.0,,,2.4097,0.0,0.0
2013-04-10,0.0,0.0,0.0,,,2.4049,0.0,0.0
2013-04-11,0.0,0.0,0.0,,,2.3896,0.0,0.0
2013-04-12,0.0,0.0,0.0,,,2.357,0.0,0.0
2013-04-15,0.0,0.0,0.0,,,2.3043,0.0,0.0
2013-04-16,0.0,0.0,0.0,,,2.2955,0.0,0.0
2013-04-17,0.0,0.0,0.0,,,2.2482,0.0,0.0
2013-04-18,0.0,0.0,0.0,,,2.2706,0.0,0.0
2013-04-19,0.0,0.0,0.0,,,2.2711,0.0,0.0
2013-04-22,0.0,0.0,0.0,,,2.2945,0.0,0.0
2013-04-23,0.0,0.0,0.0,,,2.292,0.0,0.0
2013-04-24,0.0,0.0,0.0,,,2.3235,0.0,0.0
2013-04-25,0.0,0.0,0.0,,,2.354,0.0,0.0
2013-04-26,0.0,0.0,0.0,,,2.35,0.0,0.0
2013-04-29,0.0,0.0,0.0,,,2.3528,0.0,0.0
2013-04-30,0.0,0.0,0.0,,,2.3395,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,2.2849,0.0,0.0
2013-05-02,0.0,0.0,0.0,,,2.3499,0.0,0.0
2013-05-03,0.0,0.0,0.0,,,2.3834,0.0,0.0
2013-05-06,0.0,0.0,0.0,,,2.3961,0.0,0.0
2013-05-07,0.0,0.0,0.0,,,2.3927,0.0,0.0
2013-05-08,0.0,0.0,0.0,,,2.4056,0.0,0.0
2013-05-09,0.0,0.0,0.0,,,2.4166,0.0,0.0
2013-05-10,0.0,0.0,0.0,,,2.4049,0.0,0.0
2013-05-13,0.0,0.0,0.0,,,2.3823,0.0,0.0
2013-05-14,0.0,0.0,0.0,,,2.3751,0.0,0.0
2013-05-15,0.0,0.0,0.0,,,2.3822,0.0,0.0
2013-05-16,0.0,0.0,0.0,,,2.3896,0.0,0.0
2013-05-17,0.0,0.0,0.0,,,2.4067,0.0,0.0
2013-05-20,0.0,0.0,0.0,,,2.4114,0.0,0.0
2013-05-21,0.0,0.0,0.0,,,2.3946,0.0,0.0
2013-05-22,0.0,0.0,0.0,,,2.3717,0.0,0.0
2013-05-23,0.0,0.0,0.0,,,2.367,0.0,0.0
2013-05-24,0.0,0.0,0.0,,,2.369,0.0,0.0
2013-05-28,0.0,0.0,0.0,,,2.3925,0.0,0.0
2013-05-29,0.0,0.0,0.0,,,2.3541,0.0,0.0
2013-05-30,0.0,0.0,0.0,,,2.3508,0.0,0.0
2013-05-31,0.0,0.0,0.0,,,2.2972,0.0,0.0
2013-06-03,0.0,0.0,0.0,,,2.323,0.0,0.0
2013-06-04,0.0,0.0,0.0,,,2.3499,0.0,0.0
2013-06-05,0.0,0.0,0.0,,,2.3528,0.0,0.0
2013-06-06,0.0,0.0,0.0,,,2.3764,0.0,0.0
2013-06-07,0.0,0.0,0.0,,,2.3921,0.0,0.0
