Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.6158,0.0,0.0
2016-12-02,,,,,0.0237,1.6395,0.0,0.0
2016-12-05,,,,,0.0143,1.6538,0.0,0.0
2016-12-06,,,,,0.0235,1.6303,0.0,0.0
2016-12-07,,,,,0.0218,1.6085,0.0,0.0
2016-12-08,,,,,0.0114,1.5971,0.0,0.0
2016-12-09,,,,,0.004,1.5931,0.0,0.0
2016-12-12,,,,,0.0111,1.6042,0.0,0.0
2016-12-13,,,,,0.0108,1.5934,0.0,0.0
2016-12-14,,,,,0.023,1.5704,0.0,0.0
2016-12-15,,,,,0.0009,1.5695,0.0,0.0
2016-12-16,,,,,0.0102,1.5797,0.0,0.0
2016-12-19,,,,,0.0034,1.5831,0.0,0.0
2016-12-20,,,,,0.0255,1.6086,0.0,0.0
2016-12-21,,,,,0.0102,1.5984,0.0,0.0
2016-12-22,,,,,0.001,1.5994,0.0,0.0
2016-12-23,,,,,0.0087,1.6081,0.0,0.0
2016-12-27,,,,,0.0155,1.6236,0.0,0.0
2016-12-28,,,,,0.0025,1.6211,0.0,0.0
2016-12-29,,,,,0.0025,1.6236,0.0,0.0
2016-12-30,,,,,0.0057,1.6293,0.0,0.0
2017-01-03,,,,,0.0311,1.5982,0.0,0.0
2017-01-04,,,,,0.0244,1.6226,0.0,0.0
2017-01-05,,,,,0.0066,1.616,0.0,0.0
2017-01-06,,,,,0.0103,1.6057,0.0,0.0
2017-01-09,,,,,0.0491,1.5566,0.0,0.0
2017-01-10,,,,,0.0184,1.5382,0.0,0.0
2017-01-11,,,,,0.0201,1.5583,0.0,0.0
2017-01-12,,,,,0.0102,1.5685,0.0,0.0
2017-01-13,,,,,0.0028,1.5657,0.0,0.0
2017-01-17,,,,,0.0048,1.5609,0.0,0.0
2017-01-18,,,,,0.0471,1.5138,0.0,0.0
2017-01-19,,,,,0.0033,1.5171,0.0,0.0
2017-01-20,,,,,0.0312,1.5483,0.0,0.0
2017-01-23,,,,,0.0062,1.5421,0.0,0.0
2017-01-24,,,,,0.0039,1.5382,0.0,0.0
2017-01-25,,,,,0.0198,1.5184,0.0,0.0
2017-01-26,,,,,0.014,1.5324,0.0,0.0
2017-01-27,,,,,0.0221,1.5103,0.0,0.0
2017-01-30,,,,,0.0111,1.4992,0.0,0.0
2017-01-31,,,,,0.0038,1.503,0.0,0.0
2017-02-01,,,,,0.0207,1.5237,0.0,0.0
2017-02-02,,,,,0.0113,1.5124,0.0,0.0
2017-02-03,,,,,0.0152,1.5276,0.0,0.0
2017-02-06,,,,,0.0227,1.5049,0.0,0.0
2017-02-07,,,,,0.0147,1.4902,0.0,0.0
2017-02-08,,,,,0.0121,1.5023,0.0,0.0
2017-02-09,,,,,0.0072,1.5095,0.0,0.0
2017-02-10,,,,,0.0105,1.52,0.0,0.0
2017-02-13,,,,,0.0299,1.4901,0.0,0.0
2017-02-14,,,,,0.001,1.4891,0.0,0.0
2017-02-15,,,,,0.0039,1.4852,0.0,0.0
2017-02-16,,,,,0.0069,1.4783,0.0,0.0
2017-02-17,,,,,0.0037,1.4746,0.0,0.0
2017-02-21,,,,,0.0167,1.4579,0.0,0.0
2017-02-22,,,,,0.0033,1.4546,0.0,0.0
2017-02-23,,,,,0.0125,1.4671,0.0,0.0
2017-02-24,,,,,0.0024,1.4647,0.0,0.0
2017-02-27,,,,,0.0045,1.4692,0.0,0.0
2017-02-28,,,,,0.0027,1.4719,0.0,0.0
2017-03-01,,,,,0.0141,1.4578,0.0,0.0
2017-03-02,,,,,0.0193,1.4385,0.0,0.0
2017-03-03,,,,,0.0171,1.4556,0.0,0.0
2017-03-06,,,,,0.0019,1.4537,0.0,0.0
2017-03-07,,,,,0.0009,1.4528,0.0,0.0
2017-03-08,,,,,0.0405,1.4123,0.0,0.0
2017-03-09,,,,,0.0244,1.3879,0.0,0.0
2017-03-10,,,,,0.0236,1.3643,0.0,0.0
2017-03-13,,,,,0.0021,1.3622,0.0,0.0
2017-03-14,,,,,0.0055,1.3567,0.0,0.0
2017-03-15,,,,,0.0068,1.3635,0.0,0.0
2017-03-16,,,,,0.001,1.3625,0.0,0.0
2017-03-17,,,,,0.0013,1.3612,0.0,0.0
2017-03-20,,,,,0.0065,1.3677,0.0,0.0
2017-03-21,,,,,0.0083,1.3594,0.0,0.0
2017-03-22,,,,,0.0024,1.3618,0.0,0.0
2017-03-23,,,,,0.0066,1.3552,0.0,0.0
2017-03-24,,,,,0.0074,1.3626,0.0,0.0
2017-03-27,,,,,0.0061,1.3687,0.0,0.0
2017-03-28,,,,,0.0025,1.3712,0.0,0.0
2017-03-29,,,,,0.019,1.3902,0.0,0.0
2017-03-30,,,,,0.0106,1.4008,0.0,0.0
2017-03-31,,,,,0.0148,1.4156,0.0,0.0
2017-04-03,,,,,0.0018,1.4138,0.0,0.0
2017-04-04,,,,,0.0218,1.4356,0.0,0.0
2017-04-05,,,,,0.0045,1.4401,0.0,0.0
