Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-07-06,1.97,1.97,1.97,,,1.97,0.0,0.0
2007-07-09,1.96,1.96,1.96,,,1.96,0.0,0.0
2007-07-10,1.97,1.97,1.97,,,1.97,0.0,0.0
2007-07-11,1.96,1.96,1.96,,,1.96,0.0,0.0
2007-07-12,1.96,1.96,1.96,,,1.96,0.0,0.0
2007-07-13,1.96,1.96,1.96,,,1.96,0.0,0.0
2007-07-16,1.91,1.91,1.91,,,1.91,0.0,0.0
2007-07-17,1.89,1.89,1.89,,,1.89,0.0,0.0
2007-07-18,1.94,1.94,1.94,,,1.94,0.0,0.0
2007-07-19,1.94,1.94,1.94,,,1.94,0.0,0.0
2007-07-20,1.92,1.92,1.92,,,1.92,0.0,0.0
2007-07-23,1.9,1.9,1.9,,,1.9,0.0,0.0
2007-07-24,1.87,1.87,1.87,,,1.87,0.0,0.0
2007-07-25,1.91,1.91,1.91,,,1.91,0.0,0.0
2007-07-26,1.88,1.88,1.88,,,1.88,0.0,0.0
2007-07-27,1.91,1.91,1.91,,,1.91,0.0,0.0
2007-07-30,1.89,1.89,1.89,,,1.89,0.0,0.0
2007-07-31,1.92,1.92,1.92,,,1.92,0.0,0.0
2007-08-01,1.89,1.89,1.89,,,1.89,0.0,0.0
2007-08-02,1.89,1.89,1.89,,,1.89,0.0,0.0
2007-08-03,1.88,1.88,1.88,,,1.88,0.0,0.0
2007-08-06,1.81,1.81,1.81,,,1.81,0.0,0.0
2007-08-07,1.84,1.84,1.84,,,1.84,0.0,0.0
2007-08-08,1.84,1.84,1.84,,,1.84,0.0,0.0
2007-08-09,1.83,1.83,1.83,,,1.83,0.0,0.0
2007-08-10,1.84,1.84,1.84,,,1.84,0.0,0.0
2007-08-13,1.81,1.81,1.81,,,1.81,0.0,0.0
2007-08-14,1.82,1.82,1.82,,,1.82,0.0,0.0
2007-08-15,1.85,1.85,1.85,,,1.85,0.0,0.0
2007-08-16,1.81,1.81,1.81,,,1.81,0.0,0.0
2007-08-17,1.83,1.83,1.83,,,1.83,0.0,0.0
2007-08-20,1.81,1.81,1.81,,,1.81,0.0,0.0
2007-08-21,1.78,1.78,1.78,,,1.78,0.0,0.0
2007-08-22,1.78,1.78,1.78,,,1.78,0.0,0.0
2007-08-23,1.8,1.8,1.8,,,1.8,0.0,0.0
2007-08-24,1.82,1.82,1.82,,,1.82,0.0,0.0
2007-08-27,1.84,1.84,1.84,,,1.84,0.0,0.0
2007-08-28,1.81,1.81,1.81,,,1.81,0.0,0.0
2007-08-29,1.85,1.85,1.85,,,1.85,0.0,0.0
2007-08-30,1.84,1.84,1.84,,,1.84,0.0,0.0
2007-08-31,1.85,1.85,1.85,,,1.85,0.0,0.0
2007-09-04,1.87,1.87,1.87,,,1.87,0.0,0.0
2007-09-05,1.85,1.85,1.85,,,1.85,0.0,0.0
2007-09-06,1.85,1.85,1.85,,,1.85,0.0,0.0
2007-09-07,1.86,1.86,1.86,,,1.86,0.0,0.0
2007-09-10,1.88,1.88,1.88,,,1.88,0.0,0.0
2007-09-11,1.88,1.88,1.88,,,1.88,0.0,0.0
2007-09-12,1.92,1.92,1.92,,,1.92,0.0,0.0
2007-09-13,1.92,1.92,1.92,,,1.92,0.0,0.0
2007-09-14,1.89,1.89,1.89,,,1.89,0.0,0.0
2007-09-17,1.9,1.9,1.9,,,1.9,0.0,0.0
2007-09-18,1.92,1.92,1.92,,,1.92,0.0,0.0
2007-09-19,1.93,1.93,1.93,,,1.93,0.0,0.0
2007-09-20,1.95,1.95,1.95,,,1.95,0.0,0.0
2007-09-21,1.95,1.95,1.95,,,1.95,0.0,0.0
2007-09-24,1.95,1.95,1.95,,,1.95,0.0,0.0
2007-09-25,1.93,1.93,1.93,,,1.93,0.0,0.0
2007-09-26,1.93,1.93,1.93,,,1.93,0.0,0.0
2007-09-27,1.96,1.96,1.96,,,1.96,0.0,0.0
2007-09-28,1.93,1.93,1.93,,,1.93,0.0,0.0
2007-10-01,1.9017,1.9017,1.9017,,,1.9017,0.0,0.0
2007-10-02,1.9032,1.9032,1.9032,,,1.9032,0.0,0.0
2007-10-03,1.9003,1.9003,1.9003,,,1.9003,0.0,0.0
2007-10-04,1.9386,1.9386,1.9386,,,1.9386,0.0,0.0
