Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-02-28,0.0,0.0,0.0,,,2.3617,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,2.3484,0.0,0.0
2013-03-04,0.0,0.0,0.0,,,2.3449,0.0,0.0
2013-03-05,0.0,0.0,0.0,,,2.3677,0.0,0.0
2013-03-06,0.0,0.0,0.0,,,2.3667,0.0,0.0
2013-03-07,0.0,0.0,0.0,,,2.3862,0.0,0.0
2013-03-08,0.0,0.0,0.0,,,2.4287,0.0,0.0
2013-03-11,0.0,0.0,0.0,,,2.4294,0.0,0.0
2013-03-12,0.0,0.0,0.0,,,2.4277,0.0,0.0
2013-03-13,0.0,0.0,0.0,,,2.4227,0.0,0.0
2013-03-14,0.0,0.0,0.0,,,2.4327,0.0,0.0
2013-03-15,0.0,0.0,0.0,,,2.45,0.0,0.0
2013-03-18,0.0,0.0,0.0,,,2.4278,0.0,0.0
2013-03-19,0.0,0.0,0.0,,,2.376,0.0,0.0
2013-03-20,0.0,0.0,0.0,,,2.4003,0.0,0.0
2013-03-21,0.0,0.0,0.0,,,2.3821,0.0,0.0
2013-03-22,0.0,0.0,0.0,,,2.3872,0.0,0.0
2013-03-25,0.0,0.0,0.0,,,2.4036,0.0,0.0
2013-03-26,0.0,0.0,0.0,,,2.4401,0.0,0.0
2013-03-27,0.0,0.0,0.0,,,2.4578,0.0,0.0
2013-03-28,0.0,0.0,0.0,,,2.4706,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,2.4718,0.0,0.0
2013-04-02,0.0,0.0,0.0,,,2.4709,0.0,0.0
2013-04-03,0.0,0.0,0.0,,,2.402,0.0,0.0
2013-04-04,0.0,0.0,0.0,,,2.4078,0.0,0.0
2013-04-05,0.0,0.0,0.0,,,2.3676,0.0,0.0
2013-04-08,0.0,0.0,0.0,,,2.3856,0.0,0.0
2013-04-09,0.0,0.0,0.0,,,2.4147,0.0,0.0
2013-04-10,0.0,0.0,0.0,,,2.4099,0.0,0.0
2013-04-11,0.0,0.0,0.0,,,2.3946,0.0,0.0
2013-04-12,0.0,0.0,0.0,,,2.362,0.0,0.0
